individual,Status,group,ESR2B_accessibility_score,AR_accessibility_score,PGR_accessibility_score,ESR2B_n_genes,AR_n_genes,PGR_n_genes,ESR2B_n_peaks,AR_n_peaks,PGR_n_peaks
B21M,M,M,-0.09426344557473286,-0.0574264566366833,-0.08156323128385894,1363,477,2300,1372,478,2339
B23M,M,M,-0.026712348860876648,-0.011895501859801575,0.008361846056848206,1363,477,2300,1372,478,2339
C13M,M,M,0.04971747599662062,0.09639516266303687,0.054059435976200394,1363,477,2300,1372,478,2339
C14M,M,M,-0.04396295431612802,0.009199704517944976,0.040361992121035015,1363,477,2300,1372,478,2339
C15M,M,M,-3.120023830740553e-4,0.023307764497004647,0.035162499063163793,1363,477,2300,1372,478,2339
D4M,M,M,-0.07515959395976642,-0.17979710430725376,-0.11025855239262342,1363,477,2300,1372,478,2339
A22D,D,I,-0.13541932190379072,-0.12224588124666017,-0.12319772094970421,1363,477,2300,1372,478,2339
A25D,D,I,0.11179125320239927,0.16460843709861267,0.12213253668439489,1363,477,2300,1372,478,2339
C21D,D,I,-0.09549550230159601,-0.12671666068889073,-0.07955369894307344,1363,477,2300,1372,478,2339
T13D,D,I,-0.056250570838895335,-0.08739851869574164,-0.055049305607100904,1363,477,2300,1372,478,2339
T14D,D,I,0.10115821754508281,0.09188097501563149,0.09869000308608143,1363,477,2300,1372,478,2339
T19D,D,I,-0.09189496536144454,-0.012673759184168456,-0.03964917933814305,1363,477,2300,1372,478,2339
T5D,D,I,-0.027701941201685176,-0.14405775645769706,-0.14859649880376063,1363,477,2300,1372,478,2339
A12D,E,LI,0.11545465989246041,0.1517753168749679,0.16924070565967766,1363,477,2300,1372,478,2339
T11D,E,LI,0.15564637549440558,0.19514359288760555,0.17191447813107427,1363,477,2300,1372,478,2339
T17D,NF,NF,0.0013550435709886236,-0.02504248515790958,-0.03059496798446677,1363,477,2300,1372,478,2339
B21F,F,F,0.0697029470055197,0.010172092857098096,0.025061883027142427,1363,477,2300,1372,478,2339
B23F,F,F,0.07195509816680566,0.03867465427178797,0.03413109593769147,1363,477,2300,1372,478,2339
C13F,F,F,0.11285504860920326,0.24254305348586166,0.16988647931276626,1363,477,2300,1372,478,2339
C14F,F,F,-0.008804610538482131,-0.11399101901912491,0.030117528859144514,1363,477,2300,1372,478,2339
C15F,F,F,-0.11519189526427072,-0.09937248611408726,-0.22254857760578797,1363,477,2300,1372,478,2339
D4F,F,F,-0.01846696697874287,-0.0430831248015332,-0.06810875100670076,1363,477,2300,1372,478,2339
