individual,group,ESR2B_score,AR_score,PGR_score,ESR2B_specific_score,AR_specific_score,PGR_specific_score,ESR2B_n_genes,AR_n_genes,PGR_n_genes,ESR2B_n_unique_genes,AR_n_unique_genes,PGR_n_unique_genes
A12D,LI,0.8149413851852544,0.3417288132693257,0.41304566329286385,0.7970296250389477,0.23471200130312309,0.373914005215175,142,111,254,132,86,226
A22D,I,-0.15558041076857881,0.08106946198041459,0.026361800871364596,-0.19887282173117585,0.014676011162686518,-0.012546392848074718,142,111,254,132,86,226
A25D,I,-0.802072318680123,-0.15804484099827004,-1.183486637880104,-0.7522872560273344,0.11687023281637138,-1.1710952844202847,142,111,254,132,86,226
B21F,F,-0.2379144974761925,0.2501879481583202,0.24829950639248033,-0.25538573192470676,0.22306138297970113,0.22953146163876206,142,111,254,132,86,226
B21M,M,0.19273506119331013,-0.08305791941234607,0.039762443679293574,0.2053696005277196,-0.08383394742638338,0.041188763886793336,142,111,254,132,86,226
B23F,F,0.8228100824926553,0.4480629188860831,0.4491905203293789,0.8085294221462378,0.40609008965082516,0.4290090727833597,142,111,254,132,86,226
B23M,M,-0.17471553575765933,-1.1376426656974152,-0.38784866063909057,-0.15265990085331477,-1.1968754328957618,-0.3285718486511758,142,111,254,132,86,226
C13F,F,0.8012572587093479,0.4794257950472043,0.4528378780130089,0.7941740286327819,0.4544454870936731,0.4341406578791487,142,111,254,132,86,226
C13M,M,-0.1458615879658184,-1.1508380528000792,0.1832912129481135,-0.10735428643338943,-1.2743480035082322,0.28059599133017776,142,111,254,132,86,226
C14F,F,0.44766465238008535,0.14669462329704192,0.2815374753652312,0.4450485146792635,0.13222071710147587,0.2762149337445194,142,111,254,132,86,226
C14M,M,-0.8187195093618658,-0.38814329984195206,0.017307782205719074,-0.80971273505825625,-0.34114030429988096,0.07101417994369967,142,111,254,132,86,226
C15F,F,0.09388990984167857,0.6389928617932344,0.2905822369615875,0.07022453649091565,0.6284510434117357,0.24194152801082686,142,111,254,132,86,226
C15M,M,-0.64954557801536,0.3588017467193674,0.4650795562840987,-0.6730211223050804,0.29217818140047885,0.47844038304831843,142,111,254,132,86,226
C21D,I,-0.050822476011077526,-0.1386078664031282,0.16696725897373416,-0.04384085901531661,-0.2243569415737027,0.15782806937674276,142,111,254,132,86,226
D4F,F,0.3218327948532718,0.45782781179462717,0.28942328303319886,0.2854060511893488,0.4086962534376895,0.25592596083399577,142,111,254,132,86,226
D4M,M,-0.7130934843941045,0.09717623867025917,0.053811952745743026,-0.7558178513371369,0.14076035121343078,0.06731688511640313,142,111,254,132,86,226
T11D,LI,-0.41355525098083157,0.4722384550577197,0.19297505815846885,-0.44190712541891486,0.5773175514640769,0.21514965170120728,142,111,254,132,86,226
T13D,I,-0.048406744336877465,-0.5778793527912981,-0.2756003205887953,-0.02749809396907343,-0.546746221863618,-0.2271484396894193,142,111,254,132,86,226
T14D,I,0.3805037311843453,-6.234226816511742e-5,-0.23057337649320928,0.4242473210401206,0.04103255118737373,-0.22056042406284593,142,111,254,132,86,226
T17D,NF,0.4682795591115364,0.6153009141544328,0.1650697531992989,0.4368550144998332,0.6080647249824743,0.11138703550979091,142,111,254,132,86,226
T19D,I,-0.38404014719763385,-0.007907433066390898,0.025310178242341424,-0.37256257307607243,-0.012468523084793863,0.03599276155567701,142,111,254,132,86,226
T5D,I,0.2504131059946362,-0.7453238155489864,-1.6833445650947267,0.324036242904602,-0.5988072045527443,-1.7396689519027981,142,111,254,132,86,226
