individual,Status,group,ESR2B_score,AR_score,PGR_score,ESR2B_n_genes,AR_n_genes,PGR_n_genes
B21M,M,M,-0.2574634202959941,-0.38535977856902087,-0.27169180338850124,1214,445,2067
B23M,M,M,-0.030726732180649016,0.05549424881301137,-0.010999324849098973,1214,445,2067
C13M,M,M,0.03369726121660808,0.06300446549244829,0.04501219010920121,1214,445,2067
C14M,M,M,-0.021495328974760967,-0.01838562453740963,-0.044828532150652724,1214,445,2067
C15M,M,M,-0.04020451528700455,-0.013128603041141537,-0.005848486319129857,1214,445,2067
D4M,M,M,-0.13657609986479502,-0.12224211206674881,-0.07304232082675673,1214,445,2067
A22D,D,I,-0.01622150474428262,-0.033405436004165324,-0.0306335516249229,1214,445,2067
A25D,D,I,0.05033828146010133,0.06783537219160554,0.02899589345248756,1214,445,2067
C21D,D,I,-0.005902431633975664,-0.041526500155720326,-0.02791677614719844,1214,445,2067
T13D,D,I,-0.14553558968416752,-0.09732441274536982,-0.04432643278182898,1214,445,2067
T14D,D,I,0.07701106468178995,0.15783477060295484,0.053114057446819705,1214,445,2067
T19D,D,I,-0.08268194661816661,-0.05670971555873311,-0.09429980187006728,1214,445,2067
T5D,D,I,-0.019762251903384598,0.054168740501741856,-0.010952787228432891,1214,445,2067
A12D,E,LI,0.1267061244523648,0.08395854921444268,0.08117861083236215,1214,445,2067
T11D,E,LI,0.0818591310750554,0.05103597418939102,0.02904167307674255,1214,445,2067
T17D,NF,NF,-0.03723871443323745,-0.03799822006556741,-0.006079021414748348,1214,445,2067
B21F,F,F,0.10676278440736267,0.06079497965312181,0.07416820883775106,1214,445,2067
B23F,F,F,0.011361368198927699,-0.0031340667090491276,0.028257126531935146,1214,445,2067
C13F,F,F,0.16137192811965803,0.1586556123927694,0.12731050099554195,1214,445,2067
C14F,F,F,0.122705340636123,0.04640290941944991,0.07967400251592774,1214,445,2067
C15F,F,F,-0.011401543855326358,-0.03411031233208243,0.015156521895765784,1214,445,2067
D4F,F,F,0.03339679522775336,0.04413915931407162,0.05871005290680377,1214,445,2067
