"","cluster","n","expected","enrichment","residual","p_value","p_adj","signif"
"1",0,38,11.1538461538462,3.40689655172414,8.03840252285013,9.10172211504932e-16,7.88815916637608e-15,TRUE
"2",1,44,11.1538461538462,3.9448275862069,9.83495093769916,7.96063999200437e-23,1.03488319896057e-21,TRUE
"3",2,15,11.1538461538462,1.3448275862069,1.1516335992622,0.249471668511053,0.29483015369488,FALSE
"4",3,9,11.1538461538462,0.806896551724138,-0.64491481558683,0.518982390078152,0.539741685681278,FALSE
"5",4,19,11.1538461538462,1.70344827586207,2.34933254249488,0.0188071016628367,0.0444531493848867,TRUE
"6",5,8,11.1538461538462,0.717241379310345,-0.944339551395002,0.344996160752958,0.373745840815704,FALSE
"7",6,52,11.1538461538462,4.66206896551724,12.2303488241645,2.1401759614288e-34,5.56445749971489e-33,TRUE
"8",7,6,11.1538461538462,0.537931034482759,-1.54318902301134,0.122784919871891,0.152019424603294,FALSE
"9",8,11,11.1538461538462,0.986206896551724,-0.0460653439704882,0.96325816817584,0.96325816817584,FALSE
"10",9,5,11.1538461538462,0.448275862068965,-1.84261375881952,0.0653854236210574,0.094445611897083,FALSE
"11",10,8,11.1538461538462,0.717241379310345,-0.944339551395002,0.344996160752958,0.373745840815704,FALSE
"12",11,23,11.1538461538462,2.06206896551724,3.54703148572757,0.000389598026822497,0.00253238717434623,TRUE
"13",12,6,11.1538461538462,0.537931034482759,-1.54318902301134,0.122784919871891,0.152019424603294,FALSE
"14",13,4,11.1538461538462,0.358620689655172,-2.14203849462769,0.0321903845045862,0.0557966664746161,FALSE
"15",15,3,11.1538461538462,0.268965517241379,-2.44146323043586,0.0146278778662326,0.0380324824522049,FALSE
"16",16,4,11.1538461538462,0.358620689655172,-2.14203849462769,0.0321903845045862,0.0557966664746161,FALSE
"17",17,3,11.1538461538462,0.268965517241379,-2.44146323043586,0.0146278778662326,0.0380324824522049,FALSE
"18",18,6,11.1538461538462,0.537931034482759,-1.54318902301134,0.122784919871891,0.152019424603294,FALSE
"19",19,4,11.1538461538462,0.358620689655172,-2.14203849462769,0.0321903845045862,0.0557966664746161,FALSE
"20",20,5,11.1538461538462,0.448275862068965,-1.84261375881952,0.0653854236210574,0.094445611897083,FALSE
"21",21,3,11.1538461538462,0.268965517241379,-2.44146323043586,0.0146278778662326,0.0380324824522049,FALSE
"22",22,2,11.1538461538462,0.179310344827586,-2.74088796624403,0.00612733961729077,0.02275869000708,FALSE
"23",23,1,11.1538461538462,0.0896551724137931,-3.0403127020522,0.00236332634521993,0.0122892969951437,FALSE
"24",24,4,11.1538461538462,0.358620689655172,-2.14203849462769,0.0321903845045862,0.0557966664746161,FALSE
"25",25,5,11.1538461538462,0.448275862068965,-1.84261375881952,0.0653854236210574,0.094445611897083,FALSE
"26",26,2,11.1538461538462,0.179310344827586,-2.74088796624403,0.00612733961729077,0.02275869000708,FALSE
