"","cluster_id","n","expected","enrichment","residual","p_value","p_adj","signif"
"1",0,8,3.53333333333333,2.26415094339623,2.37624512214189,0.0174898398092601,0.0874491990463004,FALSE
"2",1,11,3.53333333333333,3.11320754716981,3.97223065193869,7.12027256119127e-05,0.00106804088417869,TRUE
"3",2,9,3.53333333333333,2.54716981132075,2.90824029874083,0.0036346892757374,0.0272601695680305,TRUE
"4",3,5,3.53333333333333,1.41509433962264,0.7802595923451,0.435238091975915,0.544047614969894,FALSE
"5",5,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
"6",6,3,3.53333333333333,0.849056603773585,-0.283730760852763,0.776616719318302,0.8039298293777,FALSE
"7",11,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
"8",12,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
"9",13,2,3.53333333333333,0.566037735849057,-0.815725937451695,0.414656900860963,0.544047614969894,FALSE
"10",15,3,3.53333333333333,0.849056603773585,-0.283730760852763,0.776616719318302,0.8039298293777,FALSE
"11",17,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
"12",19,2,3.53333333333333,0.566037735849057,-0.815725937451695,0.414656900860963,0.544047614969894,FALSE
"13",20,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
"14",22,4,3.53333333333333,1.13207547169811,0.248264415746168,0.8039298293777,0.8039298293777,FALSE
"15",23,1,3.53333333333333,0.283018867924528,-1.34772111405063,0.177748098461897,0.296246830769828,FALSE
