"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC111562565",-1.35719543301766,0.121032967696673,-0.567806082138903,0.516561745270966,0.789389350878753,1,"Model failed to converge with max|grad| = 0.007826",FALSE,"NA","NA","NA"
"2","LOC111576189",-0.815001604937436,0.15492550808307,-0.766914206806503,0.198739451021846,0.0480873981309331,0.841904649190619,NA,TRUE,"0.74027379101255","0.861307717867307","0.970935477471597"
"3","LOC111562838",-0.334345201771498,0.7039602611416,-0.0296116696345785,0.973673279909747,0.304733532136919,0.310174215157578,NA,TRUE,"0.950143806501426","0.999595682788164","0.822502309034769"
"4","LOC111567616",0.0623869625475753,0.926037937202,-0.252874985502159,0.715417591400965,-0.315261948049734,0.190159768974915,NA,TRUE,"0.984872823535449","0.982368920212478","0.782251724286986"
"5","celf6",-0.21124289913626,0.640344265528481,-0.00291305115404423,0.995035112279809,0.208329847982216,0.237636310863549,NA,TRUE,"0.950143806501426","0.999595682788164","0.794685405793443"
"6","ntrk3b",-0.31648707986955,0.523172258971154,-0.607427726975705,0.240625182354019,-0.290940647106156,0.164445824549458,NA,TRUE,"0.941703084240968","0.861307717867307","0.733381395763227"
"7","LOC111565766",0.742340135812864,0.23517995278322,0.693388123344675,0.2812426213356,-0.048952012468189,0.820954402823643,NA,TRUE,"0.765105959733224","0.861307717867307","0.970935477471597"
"8","shank2b",0.430306878807359,0.536533621734457,0.578083340809575,0.417496901671501,0.147776462002217,0.513655070598046,NA,TRUE,"0.943341349276318","0.861307717867307","0.909359717577281"
"9","madd",1.07428695952798,0.13718564033241,1.04983040546959,0.153464629033877,-0.0244565540583908,0.902714504430691,NA,TRUE,"0.74027379101255","0.861307717867307","0.970935477471597"
"10","negr1",0.0729458609435383,0.875993225820394,0.102333560782076,0.83251020220852,0.0293876998385378,0.869234646177914,NA,TRUE,"0.984573575004014","0.982368920212478","0.970935477471597"
"11","srsf11",-0.0672904720193898,0.913092451794362,-0.339558516135832,0.594304118386132,-0.272268044116442,0.239403134799698,NA,TRUE,"0.984573575004014","0.953279760364332","0.794685405793443"
"12","adcyap1r1b",0.210217900989172,0.713972229903186,-0.0273427856948873,0.963257098649864,-0.237560686684059,0.267074918906762,NA,TRUE,"0.950143806501426","0.999595682788164","0.802377371121227"
"13","nlgn1",0.355526974364821,0.480862282552475,0.395514111879958,0.450814940846578,0.0399871375151362,0.843692676802723,NA,TRUE,"0.904929807323162","0.883662039218641","0.970935477471597"
"14","celf5a",0.829608575872576,0.118942178123768,0.747964773504995,0.174138423759247,-0.0816438023675812,0.6800298252862,NA,TRUE,"0.74027379101255","0.861307717867307","0.947034960053797"
"15","unc13a",1.5321366715818,0.0171820517677988,1.40358793955302,0.0329793939905441,-0.128548732028781,0.517727870990979,NA,TRUE,"0.641600522334333","0.677346897407783","0.909830596815029"
"16","syt7a",0.533325279274822,0.456445016674928,0.00512631016323802,0.994484040295261,-0.528198969111583,0.0393250062776809,NA,TRUE,"0.904929807323162","0.999595682788164","0.427212568198442"
"17","scamp5a",-0.958270493946267,0.0798836835256059,-0.995157011872513,0.083370027234875,-0.0368865179262466,0.888267668384803,NA,TRUE,"0.689883271472176","0.729610395018547","0.970935477471597"
"18","LOC111566794",0.0503685617793446,0.943133778833523,0.111141139240398,0.878464742248789,0.0607725774610539,0.816850128934989,NA,TRUE,"0.987297166615061","0.982368920212478","0.970935477471597"
"19","map1ab",-0.25849997561877,0.590971630094943,-0.452908650041257,0.368188705428127,-0.194408674422488,0.348595840526626,NA,TRUE,"0.950143806501426","0.861307717867307","0.822502309034769"
"20","cpne2",0.362451010746296,0.607322843092223,0.345693944545255,0.633989238163537,-0.0167570662010409,0.946999427207141,NA,TRUE,"0.950143806501426","0.975812035617781","0.970935477471597"
"21","ndrg4",0.128858738333213,0.825651271291243,0.442178506865274,0.461059040083086,0.313319768532061,0.130864449235611,NA,TRUE,"0.984573575004014","0.883662039218641","0.676652829186593"
"22","grin2ab",0.444162774205809,0.62175332396744,0.959450488124522,0.292762871404927,0.515287713918713,0.0434491922900907,NA,TRUE,"0.950143806501426","0.861307717867307","0.43268153988882"
"23","LOC111582199",-0.932431592802052,0.163848378904012,-0.89981883122922,0.197929074249816,0.032612761572832,0.91380821231788,NA,TRUE,"0.74027379101255","0.861307717867307","0.970935477471597"
"24","grin2bb",0.270318102557052,0.534033907212974,0.12741677092059,0.776929991899995,-0.142901331636462,0.379029975506343,NA,TRUE,"0.943341349276318","0.982368920212478","0.833167418709973"
"25","ctnna2",1.00356767307667,0.217310344296116,1.03013926382265,0.214426145343598,0.026571590745979,0.910353373222288,NA,TRUE,"0.765105959733224","0.861307717867307","0.970935477471597"
"26","sh3gl2a",0.437794180719617,0.605816127118267,0.920130628701797,0.288195299810648,0.482336447982179,0.0784332434211573,NA,TRUE,"0.950143806501426","0.861307717867307","0.585607305219518"
"27","LOC111586508",0.204156847099264,0.636854311090354,-0.33837412057999,0.454160792393637,-0.542530967679253,0.0023534964925666,NA,TRUE,"0.950143806501426","0.883662039218641","0.0703107077154272"
"28","rims1b",0.497165487262615,0.465657647684232,0.606040421583,0.384370668726211,0.108874934320385,0.620064384708227,NA,TRUE,"0.904929807323162","0.861307717867307","0.947034960053797"
"29","sh3pxd2aa",0.547239109498963,0.440810713982421,0.646571122477515,0.373822078830708,0.0993320129785519,0.669348456888622,NA,TRUE,"0.904929807323162","0.861307717867307","0.947034960053797"
"30","ttyh3b",0.126893072891369,0.839752416796425,0.360270525515718,0.575256197497131,0.233377452624349,0.286629859862445,NA,TRUE,"0.984573575004014","0.952197582398306","0.802377371121227"
"31","nav1b",-0.107441596604131,0.885903836483714,-0.241235551621348,0.754800089811627,-0.133793955017217,0.63177352290363,NA,TRUE,"0.984573575004014","0.982368920212478","0.947034960053797"
"32","LOC111569772",-0.189441845240162,0.808684505520085,0.142273697637781,0.859796171475269,0.331715542877943,0.261509020100311,NA,TRUE,"0.984573575004014","0.982368920212478","0.801290459025313"
"33","igsf21a",-0.12472076321897,0.838163164369742,-0.0837219983707445,0.894572928181811,0.0409987648482253,0.862567900873673,NA,TRUE,"0.984573575004014","0.985266957767064","0.970935477471597"
"34","chd6",0.46901775597573,0.543740136371687,0.657187985377425,0.404634353734131,0.188170229401696,0.439782324055985,NA,TRUE,"0.943341349276318","0.861307717867307","0.833167418709973"
"35","LOC111577384",0.577401586916088,0.359301158060052,0.472959431197591,0.465079119563316,-0.104442155718497,0.629878655636899,NA,TRUE,"0.859366754177873","0.883662039218641","0.947034960053797"
"36","LOC111577385",0.78035894739652,0.207189632710786,0.782114302642859,0.218714610335512,0.00175535524633839,0.993373651929858,NA,TRUE,"0.765105959733224","0.861307717867307","1"
"37","bsnb",0.316567577222437,0.682823896600232,0.0810885782116517,0.919089160061649,-0.235478999010785,0.39133306532671,NA,TRUE,"0.950143806501426","0.98794633247732","0.833167418709973"
"38","asic1b",1.52355356747305,0.0660202597079776,1.29016372593606,0.127259977552114,-0.233389841536995,0.32995883023096,NA,TRUE,"0.689883271472176","0.861307717867307","0.822502309034769"
"39","slc32a1",0.357952701875934,0.475069888410743,-0.223148478401211,0.66875448575334,-0.581101180277145,0.00313147628970049,NA,TRUE,"0.904929807323162","0.982368920212478","0.0831580925820464"
"40","atp2b2",-0.523010862266931,0.275081368917764,-0.611732357225015,0.220925878053919,-0.0887214949580845,0.668279622572202,NA,TRUE,"0.782874663577474","0.861307717867307","0.947034960053797"
"41","cacna2d2a",-0.462996776492821,0.478439665443091,-0.000346867447622124,0.999595682788164,0.462649909045199,0.116333747071633,NA,TRUE,"0.904929807323162","0.999595682788164","0.661994417860006"
"42","grin1b",-0.322756777980541,0.523143855967952,-0.383341893596617,0.466254852156746,-0.0605851156160756,0.77521739936008,NA,TRUE,"0.941703084240968","0.883662039218641","0.955639115012308"
"43","LOC111587607",-0.247143049827876,0.789885190274205,0.25660494351154,0.786115458010858,0.503747993339417,0.126828525654756,NA,TRUE,"0.978147981738523","0.982368920212478","0.676652829186593"
"44","cacna1ba",1.29919723254236,0.039171716856294,1.36596223579919,0.0340090492422318,0.0667650032568325,0.732739289443794,NA,TRUE,"0.641600522334333","0.677346897407783","0.947034960053797"
"45","abca2",0.410101392044756,0.555682853953843,0.512929676771412,0.471723341313562,0.102828284726656,0.65873157345983,NA,TRUE,"0.943341349276318","0.883662039218641","0.947034960053797"
"46","LOC111562509",0.310515008971736,0.666056058227513,0.246451739269269,0.73820142484949,-0.0640632697024669,0.786506736597751,NA,TRUE,"0.950143806501426","0.982368920212478","0.959056683912564"
