"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC129348986",0.00440317527273934,0.93069951083578,0.0197581717626019,0.69231935084698,0.0153549964898626,0.75577587585364,NA,FALSE,"0.998028858435576","0.9879440136341","0.972275679772514"
"2","trip4",-0.00729856810135891,0.924235087996727,0.0607625638887659,0.416451328800472,0.0680611319901248,0.357794641390333,NA,FALSE,"0.998028858435576","0.98385557998116","0.92104247317817"
"3","cln6a",-0.268635541583442,0.0105920831827295,-0.159455237553452,0.110497681771706,0.109180304029991,0.294941782959169,NA,TRUE,"0.70773684142398","0.929713472731524","0.90009748778596"
"4","LOC118470268",0.00378773167754106,0.98392160064476,-0.0103957713451679,0.954499131542672,-0.0141835030227089,0.937303533386322,NA,FALSE,"0.998855866024426","0.998768913733331","0.994009242841498"
"5","calml4a",-0.498601436092131,0.0924359874868254,-0.442623438100024,0.1147321763436,0.0559779979921068,0.858034699431329,NA,TRUE,"0.900695216119859","0.935760266113548","0.984850720294463"
"6","LOC111568352",0.0939059944257232,0.589675533614855,0.153716222604956,0.360361651018322,0.0598102281792326,0.716752813719684,NA,FALSE,"0.978738616807398","0.98385557998116","0.969509156433321"
"7","rxfp3.3a2",-0.166050605550014,0.481473691662059,-0.272421830216212,0.241854565482186,-0.106371224666198,0.653245796683327,NA,FALSE,"0.974586946854149","0.975438956905136","0.963468076495038"
"8","rps17",-0.0666086906647809,0.570475875897329,-0.205723141919644,0.0802631225438601,-0.139114451254863,0.238198895250543,NA,TRUE,"0.978738616807398","0.900627656925566","0.877728994665496"
"9","csnk1g1",-0.00600241798054778,0.927715406730358,-0.0573977148718181,0.383089195901238,-0.0513952968912703,0.427471661186405,NA,TRUE,"0.998028858435576","0.98385557998116","0.932388502816311"
"10","LOC111571203",0.0352089336611645,0.780252071998497,0.0333001121735817,0.786632011961901,-0.0019088214875828,0.987319721385352,NA,TRUE,"0.99466234488557","0.990215921797459","0.999376172696224"
"11","neo1a",-0.0733797416661465,0.156020937527874,0.0248001109481564,0.629788380826672,0.0981798526143029,0.0539720376398703,NA,TRUE,"0.93179734601606","0.98385557998116","0.725661446648367"
"12","LOC111567962",-0.0504697469198221,0.614739175087485,-0.0522002917021783,0.593688260210969,-0.00173054478235623,0.985848871630833,NA,FALSE,"0.980427211902772","0.98385557998116","0.999376172696224"
"13","bbs4",0.0348536927565652,0.652437899622217,0.065320307565185,0.388761888794591,0.0304666148086198,0.681171639248184,NA,TRUE,"0.985582124262636","0.98385557998116","0.965609176075626"
"14","scamp2l",0.214340260717045,0.0763744284082628,0.313204972936484,0.00704663676466217,0.0988647122194389,0.363628540445041,NA,TRUE,"0.882597425611681","0.773395601611769","0.92104247317817"
"15","myo9aa",0.0404148321649937,0.773665089418894,-0.0994833394241011,0.474366906073574,-0.139898171589095,0.307656465529516,NA,FALSE,"0.99466234488557","0.98385557998116","0.904151196059994"
"16","senp8",-0.0730593260244101,0.794630226173067,0.00682007576341715,0.979676696852315,0.0798794017878273,0.766119079796329,NA,FALSE,"0.99466234488557","0.999635362028834","0.972752472019127"
"17","LOC111580711",0.398478459231764,0.183200740362301,-0.0248989358926311,0.933445194742083,-0.423377395124395,0.139429670196587,NA,FALSE,"0.939206918742917","0.998435704839337","0.835739676997153"
"18","anp32a",-0.0624263650440883,0.713545846414598,0.166812476374183,0.289719215672863,0.229238841418271,0.146282657994857,NA,TRUE,"0.990552611778371","0.980952682936296","0.839622784019863"
"19","coro2ba",0.0366153294917384,0.609431594621536,-0.0204132678293587,0.775421580198793,-0.057028597321097,0.41307404742295,NA,FALSE,"0.979991987230861","0.990215921797459","0.932074979549084"
"20","itga11a",-0.069957113832899,0.787908026913275,0.116251351733243,0.638335581687984,0.186208465566142,0.452655543440227,NA,FALSE,"0.99466234488557","0.98385557998116","0.939879587515216"
"21","LOC111564424",0.0619930437127123,0.80851756948377,-0.103811178610434,0.687247203505403,-0.165804222323146,0.509957611569104,NA,TRUE,"0.996083781919612","0.987855652460662","0.948182341947966"
"22","LOC111564416",0.0915271277763939,0.622842586810469,-0.0559867586510253,0.764637229952525,-0.147513886427419,0.414485123063464,NA,TRUE,"0.982131842500062","0.990215921797459","0.932074979549084"
"23","cpeb1b",0.442105474067436,0.000757706681680416,0.127578364611909,0.348242032612802,-0.314527109455527,0.00942228816593065,NA,TRUE,"0.312647002558499","0.98385557998116","0.507799359514748"
"24","LOC111564421",0.337198220352638,0.250847234350325,-0.170355343044614,0.593481247285659,-0.507553563397252,0.0838529387473718,NA,TRUE,"0.957094577466918","0.98385557998116","0.779986729811079"
"25","LOC111564418",0.17424681705514,0.204956304485547,-0.127570739069413,0.370624790314652,-0.301817556124553,0.0255806634382967,NA,TRUE,"0.947485091584341","0.98385557998116","0.640085798654721"
"26","LOC111564417",-0.0390982845373664,0.860246997268214,-0.052440262638996,0.807733898822434,-0.0133419781016296,0.950574236789304,NA,TRUE,"0.996726999890046","0.992025465057347","0.995231459502654"
"27","LOC111564410",-0.168719875655931,0.18564932350176,0.00829477757859938,0.945209033264068,0.17701465323453,0.150719374695907,NA,FALSE,"0.939993345766898","0.998435704839337","0.84420315869261"
"28","cars1",0.0372763076603104,0.663214020317082,-0.0311044800180909,0.714978462410536,-0.0683807876784013,0.411462453271445,NA,TRUE,"0.985582124262636","0.988993678607241","0.932074979549084"
"29","pex16",-0.230794488955899,0.144532573449662,-0.375963636878219,0.0168963759026276,-0.14516914792232,0.371929403903758,NA,FALSE,"0.924927913139545","0.861573231072954","0.92104247317817"
"30","arfgap2",-0.0415493723031281,0.617102056787458,-0.0273039560311332,0.736867937381149,0.0142454162719949,0.859903771602728,NA,TRUE,"0.98055958233394","0.989720564803643","0.984850720294463"
"31","glceb",0.152517137977327,0.11066704453557,0.0710749839053008,0.45030225171531,-0.0814421540720266,0.376138519224995,NA,FALSE,"0.917426199855759","0.98385557998116","0.921688846351781"
"32","tle3b",0.111423715046993,0.191739524221579,0.100514878700599,0.234663518790885,-0.0109088363463942,0.8933821443934,NA,TRUE,"0.941098928000933","0.975438956905136","0.989937563685668"
