gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	23	24	25	26	3	4	5	6_0	6_1	6_2	6_3	7	8	9
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS040939107	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0F3C5EBCC	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC05C1C7836	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.013	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.013	0.016	0.395	0.0	0.0	0.0	0.0	0.164	0.0	0.046	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.013	0.016	0.395	0.0	0.0	0.0	0.0	0.164	0.0	0.046	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.013	0.016	0.395	0.0	0.0	0.0	0.0	0.164	0.0	0.046	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0
