"","cluster","gene","KT_estimate","KT_p.value","KT_q.value"
"1",11,"neo1a",0.216297435903232,0.212689500906083,0.998194049975054
"2",11,"LOC111567962",-0.203743248399742,0.157279823622,0.998194049975054
"3",11,"anp32a",0.0173651972232155,0.766441930337678,0.998194049975054
"4",11,"coro2ba",-0.10219254185769,0.582127749924328,0.998194049975054
"5",11,"arfgap2",-0.0521756087741679,0.494454523497375,0.998194049975054
"6",11,"glceb",-0.318648789585547,0.141584257091462,0.998194049975054
"7",11,"tle3b",-0.0362523514040367,0.593002552260127,0.998194049975054
"8",11,"pias1a",-0.360614833857578,0.109325632431974,0.998194049975054
"9",11,"dmxl2",-0.0668387983993364,0.72504046799578,0.998194049975054
"10",11,"LOC111567331",0.00804634530691538,0.87531866264115,0.998194049975054
"11",11,"phka2",-0.109538127530562,0.0715417369639177,0.998194049975054
"12",11,"cdkl5",-0.221782645920914,0.125408694945648,0.998194049975054
"13",11,"nhsb",-0.223476934761563,0.296769470084554,0.998194049975054
"14",11,"baz2ba",-0.0650766904771795,0.265598251372528,0.998194049975054
"15",11,"LOC111564834",0.00974203306251458,0.962625341084563,0.998194049975054
"16",11,"LOC129349311",-0.0330261939146552,0.851375532795927,0.998194049975054
"17",11,"LOC111562565",-0.0249066382582074,0.93632437481023,0.998194049975054
"18",11,"pcdh17",-0.0876100302500958,0.230373886667968,0.998194049975054
"19",11,"tgfbrap1",-0.0036318407185174,0.936861085574099,0.998194049975054
"20",11,"gpc6a",0.033425074451444,0.840483762629134,0.998194049975054
"21",11,"acsf3",-0.0637867993541832,0.458357742748432,0.998194049975054
"22",11,"ankrd11",0.14337395175598,0.479798258705451,0.998194049975054
"23",11,"LOC111580055",-0.147026558322673,0.539664472810006,0.998194049975054
"24",11,"bdnf",-0.159363171231554,0.435508332794918,0.998194049975054
"25",11,"slc17a6b",0.00890433923449572,0.970361810606177,0.998194049975054
"26",11,"eif3jb",0.0927592554731497,0.272700261046966,0.998194049975054
"27",11,"golm2",-0.149161651041813,0.411115899238455,0.998194049975054
"28",11,"fam189a1",-0.14953068003653,0.462947653455424,0.998194049975054
"29",11,"tjp1a",-0.199698512718096,0.0564680496027787,0.998194049975054
"30",11,"apba2b",-0.0278061470775217,0.676154555344461,0.998194049975054
"31",11,"syt7b",0.0737931616789886,0.608860611295639,0.998194049975054
"32",11,"dagla",-0.288974173215818,0.272848416045603,0.998194049975054
"33",11,"plekha7b",-0.12326854117993,0.576619400760082,0.998194049975054
"34",11,"tub",-0.141122054935643,0.300620969897984,0.998194049975054
"35",11,"lmo1",-0.0316216700293802,0.579799023455046,0.998194049975054
"36",11,"stk33",-0.115698623838507,0.126401571181416,0.998194049975054
"37",11,"sbf2",0.0181989454193388,0.917641083727861,0.998194049975054
"38",11,"cpne7",0.0636517238929931,0.609857183045232,0.998194049975054
"39",11,"zfhx3b",0.0155228471273157,0.814926943531235,0.998194049975054
"40",11,"znf821",-0.147798889468403,0.138559817203306,0.998194049975054
"41",11,"rnf111",-0.0369931179611946,0.719222788820528,0.998194049975054
"42",11,"tcf12",-0.174048824340016,0.337310123089652,0.998194049975054
"43",11,"furina",-0.0534284387519107,0.73464223782918,0.998194049975054
"44",11,"got2b",-0.0904210702024853,0.452373692474642,0.998194049975054
"45",11,"cog4",-0.0114155285275462,0.75120146901467,0.998194049975054
"46",11,"tcf25",0.00132988367714456,0.986903017090374,0.998194049975054
"47",11,"gse1b",-0.0770013754564663,0.505277119941475,0.998194049975054
"48",11,"kiaa1549lb",-0.0290916222319719,0.817324627389731,0.998194049975054
"49",11,"elp4",-0.0299501803266732,0.648644063573608,0.998194049975054
"50",11,"LOC111576189",-0.12939143349733,0.393296398831673,0.998194049975054
"51",11,"kifbp",-0.0394923817673652,0.603268148795987,0.998194049975054
"52",11,"galnt2",-0.108104730652109,0.426597572823055,0.998194049975054
"53",11,"tfb2m",0.0146128570347023,0.574532853376727,0.998194049975054
"54",11,"si:ch73-167i17.6",0.0634000785295288,0.32040622042556,0.998194049975054
"55",11,"tln2a",-0.0316847314784686,0.73189202452021,0.998194049975054
"56",11,"LOC111582592",-0.0418082525623103,0.680542771070727,0.998194049975054
"57",11,"LOC111587577",-0.196915764219362,0.34185889292834,0.998194049975054
"58",11,"trpm7",-0.10032945269308,0.50590869741487,0.998194049975054
"59",11,"LOC111562838",-0.0168583255686354,0.900925431267636,0.998194049975054
"60",11,"igdcc4",-0.108574861168467,0.44019387125016,0.998194049975054
"61",11,"insyn1",0.0085160113515617,0.969661123110026,0.998194049975054
"62",11,"LOC111571657",0.0287558047568629,0.282093153698821,0.998194049975054
"63",11,"LOC111571642",-0.141635677631896,0.46347004731203,0.998194049975054
"64",11,"nptnb",0.0987943591838536,0.451324926486347,0.998194049975054
"65",11,"hcn4",0.225159787340804,0.0350192267477033,0.998194049975054
"66",11,"pkma",-0.226019203105517,0.216382262995649,0.998194049975054
"67",11,"LOC111567616",0.295741737091507,0.0241787023434422,0.998194049975054
"68",11,"celf6",0.279411733577554,0.194840527908065,0.998194049975054
"69",11,"fto",-0.0489199367029187,0.833955376322492,0.998194049975054
"70",11,"LOC111572241",-0.279441386687641,0.181222676167244,0.998194049975054
"71",11,"LOC111577669",-0.218299495242063,0.146306903113818,0.998194049975054
"72",11,"LOC118471239",0.129325042690153,0.735946240133461,0.998194049975054
"73",11,"ntrk3b",-0.198476686085866,0.288787492081642,0.998194049975054
"74",11,"znf536",-0.365073462782035,0.135760184688735,0.998194049975054
"75",11,"LOC118471399",-0.0425203238588117,0.845137814857301,0.998194049975054
"76",11,"znf507",-0.0483512684129616,0.758867116971342,0.998194049975054
"77",11,"LOC111563846",-0.104272163880769,0.689170476245211,0.998194049975054
"78",11,"mtss1lb",-0.234557348234085,0.247512175667365,0.998194049975054
"79",11,"cdh8",0.0564282044264961,0.79425428450306,0.998194049975054
"80",11,"phkb",-0.0239870894461381,0.857505763648516,0.998194049975054
"81",11,"itfg1",-0.315492768842069,0.289964836626487,0.998194049975054
"82",11,"LOC111565766",-0.241642696353733,0.310288341604566,0.998194049975054
"83",11,"spg21",-0.062067941538136,0.604244649461038,0.998194049975054
"84",11,"znf414",-0.0832712400704705,0.0401297197772104,0.998194049975054
"85",11,"dok4",-0.345284633368381,0.0994905877315499,0.998194049975054
"86",11,"nadsyn1",0.0132073293881854,0.890760184310304,0.998194049975054
"87",11,"ano1a",-0.00993479454162628,0.870603940048214,0.998194049975054
"88",11,"vstm2b",-0.00227558996468983,0.985352072695389,0.998194049975054
"89",11,"LOC111583408",-0.00196551402880356,0.988899003371273,0.998194049975054
"90",11,"lrrk1",-0.000938505017566013,0.992017116545547,0.998194049975054
"91",11,"adamts17",-0.198734937340371,0.0727102099720409,0.998194049975054
"92",11,"minar1",0.099151902637875,0.439994166473004,0.998194049975054
"93",11,"arnt2",-0.0783096368719916,0.547117058395505,0.998194049975054
"94",11,"abhd17c",0.00468537287294349,0.94353139488617,0.998194049975054
"95",11,"adamtsl3",-0.0643161328347457,0.522338621339004,0.998194049975054
"96",11,"snrpa1",-0.10979696982151,0.173602507769327,0.998194049975054
"97",11,"shank2b",-0.0739882223901969,0.709371499876839,0.998194049975054
"98",11,"LOC111574458",0.0797553021865745,0.666558374124531,0.998194049975054
"99",11,"LOC111574567",-0.041410354982881,0.605598160445641,0.998194049975054
"100",11,"ppip5k1a",-0.200966207172629,0.0362648637986451,0.998194049975054
"101",11,"map1aa",-0.110478671589173,0.611580335629085,0.998194049975054
"102",11,"tp53bp1",-0.14737452815378,0.452202868298529,0.998194049975054
"103",11,"LOC111581987",-0.0285104103242693,0.339313654261641,0.998194049975054
"104",11,"pacsin3",-0.0974912685165756,0.310755272726068,0.998194049975054
"105",11,"LOC111575108",-0.00994866877602445,0.864195454853779,0.998194049975054
"106",11,"LOC111576513",0.0909691792268689,0.521531090977262,0.998194049975054
"107",11,"mpped2a",-0.296715626163017,0.145760602914095,0.998194049975054
"108",11,"nav2a",-0.0593727387938468,0.816923973569636,0.998194049975054
"109",11,"slc6a5",0.0152516129646265,0.862729145935425,0.998194049975054
"110",11,"LOC111575341",0.215394013434103,0.559065033278944,0.998194049975054
"111",11,"mapk8ip1b",-0.0890943500640806,0.586388823691638,0.998194049975054
"112",11,"LOC111588881",-0.32020731446653,0.0916703658570424,0.998194049975054
"113",11,"ttc17",0.0961151893006461,0.196244389328819,0.998194049975054
"114",11,"kcnq1.1",0.0112126678469037,0.952876531118553,0.998194049975054
"115",11,"luzp2",-0.210022906023308,0.110051026413211,0.998194049975054
"116",11,"madd",-0.0975383758048912,0.662139442936906,0.998194049975054
"117",11,"kcna4",-0.0953192506573495,0.496257164961726,0.998194049975054
"118",11,"ddb1",-0.139210136893747,0.175881597955756,0.998194049975054
"119",11,"tspan4a",-0.0347620037902455,0.884902056809832,0.998194049975054
"120",11,"LOC111588983",-0.0694275316431903,0.602120243303879,0.998194049975054
"121",11,"LOC111567996",0.0210180007561224,0.912195831578983,0.998194049975054
"122",11,"stmn4l",-0.0237368824337722,0.891133542276953,0.998194049975054
"123",11,"kifc3",0.0382649420552104,0.816682587345306,0.998194049975054
"124",11,"katnb1",0.0012372250480432,0.987400037366692,0.998194049975054
"125",11,"slc9a5",-0.135996806878852,0.467463342755279,0.998194049975054
"126",11,"agbl4",-0.180830710531421,0.327640808971036,0.998194049975054
"127",11,"LOC111566277",0.0554292334282417,0.756088017090362,0.998194049975054
"128",11,"LOC111564939",-0.0011501042785927,0.991021129631247,0.998194049975054
"129",11,"tle5",-0.0455135529307203,0.736318162194615,0.998194049975054
"130",11,"tle2b",-0.17066027705781,0.372950269037856,0.998194049975054
"131",11,"tle2a",-0.00244143223917127,0.985244599733805,0.998194049975054
"132",11,"LOC111569286",0.0722429459447222,0.405318359625421,0.998194049975054
"133",11,"insrb",0.145745885253473,0.57185890209209,0.998194049975054
"134",11,"ncln",-0.0955624560644111,0.431447312807731,0.998194049975054
"135",11,"cers1",-0.0745308853607947,0.634825213317859,0.998194049975054
"136",11,"LOC111568755",-0.142738490121259,0.0325969394405734,0.998194049975054
"137",11,"abl2",-0.0298070433790051,0.839987842798715,0.998194049975054
"138",11,"eps15",0.109119327643101,0.327247204307028,0.998194049975054
"139",11,"negr1",-0.297839386013681,0.070918488799804,0.998194049975054
"140",11,"ptger3",-0.0846684445603853,0.177575846461548,0.998194049975054
"141",11,"ankrd13c",0.119503638494226,0.406346295641983,0.998194049975054
"142",11,"srsf11",0.225304631910677,0.326793000117206,0.998194049975054
"143",11,"xxylt1",0.00482878177748923,0.94607725544451,0.998194049975054
"144",11,"patj",-0.118278846612028,0.159786988268464,0.998194049975054
"145",11,"nfia",-0.0380093076554039,0.86661409207957,0.998194049975054
"146",11,"rab3b",-0.00740643767893787,0.956956502479243,0.998194049975054
"147",11,"plppr3b",-0.0206050544660073,0.804163502296316,0.998194049975054
"148",11,"ttll7",-0.12876734608989,0.127330728539444,0.998194049975054
"149",11,"adgrl2a",-0.108233724835627,0.649693302849044,0.998194049975054
"150",11,"actl6a",0.0134602655330127,0.604614370012159,0.998194049975054
"151",11,"usp13",-0.0388050881522086,0.810190859997334,0.998194049975054
"152",11,"pex5la",-0.144541988500207,0.535544627498134,0.998194049975054
"153",11,"ccdc50a",0.0112884490250495,0.93229963893564,0.998194049975054
"154",11,"p3h2",-0.0112081657321763,0.783028385425483,0.998194049975054
"155",11,"pik3r3b",0.109155995640145,0.224304026875679,0.998194049975054
"156",11,"b4galt6",-0.218595889247134,0.062441742012228,0.998194049975054
"157",11,"pde6d",-0.110234694255626,0.109367672825992,0.998194049975054
"158",11,"nfic",-0.0674624189024967,0.590950742425129,0.998194049975054
"159",11,"pde4dip",-0.0556768956793229,0.763643253456378,0.998194049975054
"160",11,"LOC129347775",0.0155655561215781,0.613719609193171,0.998194049975054
"161",11,"eps15l1a",-0.0996713461127308,0.310838592923881,0.998194049975054
"162",11,"arhgap39",0.17582506270854,0.376272954792405,0.998194049975054
"163",11,"st3gal3a",-0.0951278496946992,0.48801515258606,0.998194049975054
"164",11,"LOC111566523",-0.010570386333691,0.905439389248153,0.998194049975054
"165",11,"adcyap1r1b",-0.0503517897679728,0.736789198835148,0.998194049975054
"166",11,"tut4",-0.00841345519287179,0.877764117496954,0.998194049975054
"167",11,"LOC111582127",0.0354323074958739,0.432669882585497,0.998194049975054
"168",11,"LOC111569887",-0.0354838201375649,0.806100690474794,0.998194049975054
"169",11,"phactr1",0.0390298939713391,0.737739338021184,0.998194049975054
"170",11,"brinp3a.2",-0.0608162798523625,0.381429416440503,0.998194049975054
"171",11,"fnbp1l",-0.0429540324221256,0.647999858813519,0.998194049975054
"172",11,"ttc14",-0.163644570309694,0.0663086827428478,0.998194049975054
"173",11,"LOC111580207",0.117323540700284,0.443505824041868,0.998194049975054
"174",11,"lrrc7",-0.00592455385139569,0.971685225699098,0.998194049975054
"175",11,"lrp8",-0.09343642159933,0.412362059724296,0.998194049975054
"176",11,"dock7",0.0125065135489399,0.903901589790355,0.998194049975054
"177",11,"raver2",-0.0770506944883398,0.508172354011615,0.998194049975054
"178",11,"jak1",0.0513193540002399,0.644237320842943,0.998194049975054
"179",11,"sgip1a",0.197447920415164,0.293422351667598,0.998194049975054
"180",11,"pde4ba",0.0806770354018348,0.633411346444741,0.998194049975054
"181",11,"ivns1abpa",-0.058457990369445,0.220942398945645,0.998194049975054
"182",11,"ano8b",-0.103777134677991,0.704538542703181,0.998194049975054
"183",11,"dennd1b",-0.0713561886815777,0.660502007126615,0.998194049975054
"184",11,"LOC111573959",0.0236848233924989,0.818876476394047,0.998194049975054
"185",11,"LOC111573943",-0.220526379635047,0.400952835752533,0.998194049975054
"186",11,"arid3a",-0.086405765482563,0.371053887617716,0.998194049975054
"187",11,"kdm4b",0.0937082212787788,0.308415577263056,0.998194049975054
"188",11,"ptprsa",0.206676975484265,0.316582631483691,0.998194049975054
"189",11,"si:zfos-943e10.1",0.00656632282991175,0.898891140726703,0.998194049975054
"190",11,"camsap2a",-0.11936017687595,0.38374893145419,0.998194049975054
"191",11,"LOC111574896",-0.0566878128218069,0.280727480865227,0.998194049975054
"192",11,"rnf13",-0.00490823618676188,0.959814705247903,0.998194049975054
"193",11,"LOC111575595",-0.0843307725903591,0.50694464780889,0.998194049975054
"194",11,"apc2",-0.128163991152808,0.657702710267427,0.998194049975054
"195",11,"si:ch73-60h1.1",0.197189021496654,0.334170432261907,0.998194049975054
"196",11,"btbd8",-0.0885277833278177,0.186671728668452,0.998194049975054
"197",11,"LOC111579959",0.0838141739370954,0.485353119518661,0.998194049975054
"198",11,"akr1a1b",-0.112211446124936,0.427208605067225,0.998194049975054
"199",11,"tbl1xr1a",-0.104175179124413,0.599289639126681,0.998194049975054
"200",11,"nlgn1",-0.177576029614252,0.421325287162981,0.998194049975054
"201",11,"mcf2l2",0.101624879640983,0.643710733324491,0.998194049975054
"202",11,"LOC111588740",-0.161046858569391,0.591546077746244,0.998194049975054
"203",11,"szt2",0.023940341213986,0.79701641989996,0.998194049975054
"204",11,"kif1aa",-0.0997219277685066,0.344559370482087,0.998194049975054
"205",11,"rab6ba",0.0252368592736526,0.897625689533781,0.998194049975054
"206",11,"atp1b1a",0.126345141388165,0.247683558450089,0.998194049975054
"207",11,"tmem131",0.0832357435772313,0.371319891828653,0.998194049975054
"208",11,"gabra5",0.128586181772071,0.274864718442492,0.998194049975054
"209",11,"LOC111581777",-0.307102001527517,0.139738041941518,0.998194049975054
"210",11,"cpeb2",-0.213935346498885,0.235113139872125,0.998194049975054
"211",11,"slain2",-0.0498768374786637,0.48544381679167,0.998194049975054
"212",11,"fryl",-0.110381891875755,0.426363812091216,0.998194049975054
"213",11,"scfd2",-0.162329331264183,0.303405289433612,0.998194049975054
"214",11,"ralgps2",0.126688583076327,0.201787370082022,0.998194049975054
"215",11,"ncanb",-0.00606166558451809,0.97953291414255,0.998194049975054
"216",11,"LOC118470501",0.0191595837462566,0.877293245169753,0.998194049975054
"217",11,"yjefn3",-0.0192486055536794,0.761502874974231,0.998194049975054
"218",11,"atp5f1d",-0.0125160298399929,0.893232765145538,0.998194049975054
"219",11,"cbarpb",-0.186683788592996,0.355917412181056,0.998194049975054
"220",11,"bsg",-0.0921739076670728,0.666000483710431,0.998194049975054
"221",11,"hcn2b",0.00956913301986643,0.915230807126298,0.998194049975054
"222",11,"celf5a",-0.0170911670243851,0.924095297390938,0.998194049975054
"223",11,"unc13a",0.429129890601187,0.0996789726270439,0.998194049975054
"224",11,"zbtb7a",0.0493355533756402,0.516161574605882,0.998194049975054
"225",11,"tmem59l",-0.105226438901686,0.639865798147921,0.998194049975054
"226",11,"slc44a5b",0.0548056786841761,0.686094165719468,0.998194049975054
"227",11,"btf3l4",0.0460414498697282,0.416959876371737,0.998194049975054
"228",11,"hnrnpm",0.170462213748168,0.0434575752747071,0.998194049975054
