"","cluster","gene","length_estimate","length_summary_p.value","length_summary_q.value"
"1",6,"LOC129348986",0.0148180359866796,0.53114335163223,0.805405640494998
"2",6,"trip4",0.00661523724686987,0.689587940445229,0.854717137336665
"3",6,"chrna7a",0.000611995157592064,0.578697423180293,0.827154188928632
"4",6,"cln6a",0.011473917182066,0.251393171808998,0.711581795476034
"5",6,"LOC118470268",0.00408667195988428,0.248555910784595,0.710419510903184
"6",6,"calml4a",-0.00337021313901987,0.0948592636854726,0.58869486069301
"7",6,"LOC111568352",0.00271403235845232,0.0990106127940463,0.588925080704035
"8",6,"rxfp3.3a2",0.000572276305664224,0.64976145408112,0.827154188928632
"9",6,"rps17",0.0029572689005175,0.494169342015428,0.782078706269802
"10",6,"LOC129347713",-0.00640324112831837,0.0357974093731846,0.486970956860402
"11",6,"csnk1g1",0.0207672746903433,0.0999665180503119,0.589743100618511
"12",6,"LOC111571203",0.00953396619991108,0.158659096546988,0.651689573340103
"13",6,"neo1a",0.0176793019650131,0.666426978313069,0.838284347186447
"14",6,"LOC129349243",0.000683863166575533,0.621834573307422,0.827154188928632
"15",6,"LOC111567962",0.00610055419967658,0.713804395358418,0.86903877845638
"16",6,"LOC129347359",0.000247760449972065,0.619931409415139,0.827154188928632
"17",6,"bbs4",0.00673939341990935,0.14491131426279,0.639309068526131
"18",6,"scamp2l",0.00773274679786861,0.22351003100415,0.70444848608545
"19",6,"LOC129347348",0.0015568833216013,0.307116577831939,0.727794357457295
"20",6,"myo9aa",0.00627777426158402,0.368189774911264,0.748123389475134
"21",6,"senp8",0.00373884314510272,0.264406040561576,0.72138303662507
"22",6,"LOC111580711",-0.00238002264741157,0.291067480392284,0.726648798918097
"23",6,"anp32a",-6.09991558309376e-05,0.983239620460613,0.993855223109498
"24",6,"coro2ba",-0.00273268027386375,0.833775046938542,0.921531341030622
"25",6,"itga11a",-0.00175103603701477,0.588271997504883,0.827154188928632
"26",6,"LOC111564424",0.00231128341459153,0.224492017573078,0.70444848608545
"27",6,"LOC129349160",0.000403052896249002,0.396805962233421,0.748123389475134
"28",6,"LOC111564416",0.00282775065244565,0.423885249102534,0.748123389475134
"29",6,"cpeb1b",-0.00221926481606818,0.804917434939407,0.912453747587078
"30",6,"LOC111564421",0.000507583167970998,0.839825625413453,0.924993763825337
"31",6,"LOC111564418",0.00469504638314636,0.307454449219484,0.7278797694452
"32",6,"LOC111564417",0.00466484029848617,0.0823410534565156,0.572435472326498
"33",6,"LOC111564410",-0.00436044538228885,0.484711931590375,0.775142286066597
"34",6,"ccnb2",0.00124578523936946,0.284711490223546,0.726648798918097
