"","cluster","gene","length_estimate","length_summary_p.value","length_summary_q.value"
"1",14,"LOC129348986",-0.0127622778853544,0.579842939206638,0.89679725285194
"2",14,"trip4",0.010362023791105,0.137757698736519,0.846593895601445
"3",14,"chrna7a",-0.00762359367960166,0.0755639380213778,0.732301670669374
"4",14,"cln6a",0.0113188086530589,0.380078035386619,0.89507664235742
"5",14,"LOC118470268",-0.000367560573707855,0.911558368251177,0.972867195026381
"6",14,"LOC111568352",-0.0652005799936929,0.000103422563786303,0.238742446335459
"7",14,"rxfp3.3a2",-0.00559748286794602,0.0197474272956859,0.511875806521627
"8",14,"rps17",0.00485664018565504,0.759581998861868,0.950902210383571
"9",14,"LOC129347713",0.00206011416069045,0.358876376561129,0.891234069708313
"10",14,"csnk1g1",0.0323243655784496,0.0521329565209355,0.665901742694648
"11",14,"LOC111571203",-0.000399095425312144,0.975905911368506,0.99415857591474
"12",14,"neo1a",0.0107369559255577,0.772348454636487,0.953187160744272
"13",14,"LOC129349243",-0.000963843726262489,0.816479351549597,0.953335766102578
"14",14,"LOC111567962",0.0109304045491444,0.204199862786303,0.891234069708313
"15",14,"bbs4",-0.00146808345837064,0.79715152951072,0.953335766102578
"16",14,"scamp2l",-0.00206529262254259,0.510164413154251,0.89679725285194
"17",14,"LOC129347348",0.000432722178133727,0.76655086165713,0.950902210383571
"18",14,"myo9aa",0.0353589953433035,0.188394795882677,0.891234069708313
"19",14,"LOC111580711",0.031546257767051,0.45822133853437,0.89679725285194
"20",14,"anp32a",0.0054316767429488,0.187084982595223,0.891234069708313
"21",14,"coro2ba",-0.00592547077127548,0.343856589001115,0.891234069708313
"22",14,"itga11a",0.00443806368441509,0.480956434464629,0.89679725285194
"23",14,"LOC111588606",0.00325437635161203,0.297449546734637,0.891234069708313
"24",14,"LOC129349160",0.00152055221454192,0.554877440955613,0.89679725285194
"25",14,"LOC111564416",0.00371033353058285,0.641668910036781,0.927134149332395
"26",14,"cpeb1b",-0.00142485312784025,0.603830618977608,0.907736542142554
"27",14,"LOC111564421",-0.0103163087142667,0.0290433018414589,0.588050786706383
"28",14,"LOC111564418",0.0114504465042596,0.1506604023094,0.858057635251963
"29",14,"LOC111564417",0.00256511277455269,0.220199944473632,0.891234069708313
"30",14,"LOC111564410",0.00416454531342442,0.564662581370596,0.89679725285194
"31",14,"LOC111564425",-0.000917931570202753,0.816479351549597,0.953335766102578
"32",14,"ccnb2",-0.000213283284264044,0.90403321200743,0.97050940091603
"33",14,"cars1",-0.0302717893710718,0.0812293684771255,0.746385158035366
"34",14,"pex16",-0.0118671762393149,0.144501468996945,0.853315693172067
"35",14,"arfgap2",0.00119546400274528,0.889760027566278,0.97050940091603
"36",14,"glceb",0.015713819911933,0.512999440542296,0.89679725285194
"37",14,"LOC111564414",0.00194937794084703,0.358876376561129,0.891234069708313
"38",14,"tle3b",0.0162647827809004,0.0553462687708148,0.675501535621889
"39",14,"LOC129348677",0.0059960750023544,0.273069086037764,0.891234069708313
"40",14,"uacab",-0.00246724394610021,0.407236261547692,0.89679725285194
"41",14,"LOC111564639",-0.00402224137905459,0.699869428941716,0.950902210383571
"42",14,"pias1a",-0.0603735812315415,0.0124632582073446,0.427558098879281
"43",14,"skor1a",0.000613888044760049,0.84870120161981,0.967189046622059
"44",14,"map2k5",0.000898107652542027,0.967584701001568,0.991155927278689
"45",14,"smad3a",0.0120851000486422,0.384943291818846,0.896150962858098
"46",14,"smad6a",0.0133890945297256,0.52653916777572,0.89679725285194
"47",14,"tmem208",0.00367993098877815,0.585334737993763,0.89679725285194
"48",14,"slc39a1",0.0033497906929746,0.806990532406207,0.953335766102578
"49",14,"LOC111565738",0.0146660903958664,0.182407786749832,0.886944650964226
"50",14,"LOC111565745",0.00525610142355164,0.383268703736723,0.896078631961565
"51",14,"mibp2",0.00681455804578289,0.0715250704987445,0.722331528259071
"52",14,"bloc1s6",-0.00490767683816134,0.824993854767413,0.958132412339169
"53",14,"slc30a4",0.0378018176452412,0.0174224940049406,0.487452254868879
"54",14,"spata5l1",-0.00154367839296532,0.640918319227905,0.926716616138013
"55",14,"LOC111565744",0.000528389473560382,0.76655086165713,0.950902210383571
"56",14,"LOC129349619",-0.00617797049731673,0.00460848838921997,0.238742446335459
"57",14,"cops2",0.00180373099089529,0.748027516857731,0.950902210383571
"58",14,"secisbp2l",-0.00952488169905707,0.425367821804792,0.89679725285194
"59",14,"dut",-0.00535667199250254,0.0195614063267761,0.511875806521627
"60",14,"slc12a1",-0.00767593385362172,0.111113635800868,0.800223043655043
"61",14,"ctxn2",0.00216986500357434,0.358876376561129,0.891234069708313
"62",14,"myef2",0.0173596342213153,0.10334835368698,0.791245148893577
