id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,directionality,classification,max_exprmean_column,max_exprmean_value,max_score_column,max_score_value
CPI-CS0603C3490,Glutamate_byGLS_and_SLC1A6_GRIK1,complex:Glutamate_byGLS_and_SLC1A6,simple:P39086,,GRIK1,True,False,True,curated,False,Ligand-Receptor,Signaling by Glutamate,12|9,1.2100000381469727,12|9,100.0
CPI-CS029E9BA69,SerotoninDopamin_byDDC_HTR2C,complex:SerotoninDopamin_byDDC,simple:P28335,,HTR2C,True,False,True,curated,False,Ligand-Receptor,Signaling by Serotonin/Dopamine,28|23,1.2100000381469727,28|23,100.0
CPI-CC07643D38C,GABA_byGAD1_and_SLC6A13_GABA-A_a1b2_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a1b2_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|16,1.218999981880188,29|16,100.0
CPI-SS0606E97F0,SEMA4D_PLXNB1,simple:Q92854,simple:O43157,SEMA4D,PLXNB1,True,True,True,curated,False,Ligand-Receptor,Signaling by Semaphorin,3|2,1.2230000495910645,3|2,100.0
CPI-SS029811409,CNTN1_NOTCH2,simple:Q12860,simple:Q04721,CNTN1,NOTCH2,False,False,True,curated,False,Ligand-Receptor,Signaling by Notch,27|26,1.2259999513626099,27|26,100.0
CPI-SS026C7F8A2,ENTPD1_ADORA1,simple:P49961,simple:P30542,ENTPD1,ADORA1,False,False,True,curated,False,Ligand-Receptor,Signaling by Ectonucleoside,14|8,1.2300000190734863,14|8,100.0
CPI-SS0EF309375,EFNA3_EPHA3,simple:P52797,simple:P29320,EFNA3,EPHA3,True,False,True,curated,False,Ligand-Receptor,Signaling by Ephrin,19|9,1.2309999465942383,19|9,100.0
CPI-SS0FC612D4D,DLK1_NOTCH1,simple:P80370,simple:P46531,DLK1,NOTCH1,False,False,True,curated,False,Ligand-Receptor,Signaling by Notch,13|18,0.9300000071525574,13|18,100.0
CPI-SS09CA492BA,EFNA1_EPHA3,simple:P20827,simple:P29320,EFNA1,EPHA3,True,False,True,curated,False,Ligand-Receptor,Signaling by Ephrin,4|9,0.9309999942779541,4|9,100.0
CPI-SS0D0DC29DB,PDYN_OPRM1,simple:P01213,simple:P35372,PDYN,OPRM1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,17|5,0.9350000023841858,17|5,100.0
CPI-SS0BA4E3F44,NTN4_UNC5D,simple:Q9HB63,simple:Q6UXZ4,NTN4,UNC5D,True,False,True,curated,False,Ligand-Receptor,Signaling by Netrin,14|15,0.9390000104904175,14|15,100.0
CPI-CS007D418BE,2arachidonoylglycerol_byDAGLB_CNR1,complex:2arachidonoylglycerol_byDAGLB,simple:P21554,,CNR1,True,False,True,curated,False,Ligand-Receptor,Signaling by Arachidonoylglycerol,27|24,0.9419999718666077,27|24,100.0
CPI-SC033AB13AE,IGF1_IGF1R_enhancerComGPC3,simple:P05019,complex:IGF1R_enhancerComGPC3,IGF1,,True,False,True,curated,False,Ligand-Receptor,Signaling by Insulin-like growth factor,7|27,0.9580000042915344,7|27,100.0
CPI-SS0E41702C1,IGF1_IGF1R,simple:P05019,simple:P08069,IGF1,IGF1R,True,False,True,curated,False,Ligand-Receptor,Signaling by Insulin-like growth factor,7|27,0.9580000042915344,7|27,100.0
CPI-SS05632AB58,NCAM1_FGFR1,simple:P13591,simple:P11362,NCAM1,FGFR1,True,True,True,curated,False,Ligand-Receptor,Signaling by Fibroblast growth factor,9|4,0.9599999785423279,9|4,100.0
CPI-CS0C43745D6,Glutamate_byGLS_and_SLC1A6_GRM3,complex:Glutamate_byGLS_and_SLC1A6,simple:Q14832,,GRM3,True,False,True,curated,False,Ligand-Receptor,Signaling by Glutamate,12|28,0.9980000257492065,12|28,100.0
CPI-SS0DAB76F63,PNOC_OPRL1,simple:Q13519,simple:P41146,PNOC,OPRL1,True,False,True,curated,False,Ligand-Receptor,Signaling by Opioid,5|20,1.0199999809265137,5|20,100.0
CPI-SS03446CB39,EFNB1_EPHA4,simple:P98172,simple:P54764,EFNB1,EPHA4,False,False,True,curated,False,Ligand-Receptor,Signaling by Ephrin,6|24,1.0269999504089355,6|24,100.0
CPI-CC07774ECF6,GABA_byGAD1_and_SLC6A13_GABA-A_a1b2g2S_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a1b2g2S_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|27,1.0399999618530273,29|27,100.0
CPI-SS0F5177C81,TAC3_TACR3,simple:Q9UHF0,simple:P29371,TAC3,TACR3,True,False,True,curated,False,Ligand-Receptor,Signaling by Tachykinins,21|21,1.0420000553131104,21|21,100.0
CPI-SS0C5E9FBFB,NECTIN1_NECTIN3,simple:Q15223,simple:Q9NQS3,NECTIN1,NECTIN3,True,True,False,curated,False,Adhesion-Adhesion,Adhesion by Nectin,18|12,1.055999994277954,18|12,100.0
CPI-SS06E797E50,EFNB1_EPHB2,simple:P98172,simple:P29323,EFNB1,EPHB2,False,False,True,curated,False,Ligand-Receptor,Signaling by Ephrin,6|18,1.069000005722046,6|18,100.0
CPI-CS0D4790CB0,Glutamate_byGLS_and_SLC1A6_GRIA2,complex:Glutamate_byGLS_and_SLC1A6,simple:P42262,,GRIA2,True,False,True,curated,False,Ligand-Receptor,Signaling by Glutamate,12|31,1.0800000429153442,12|31,100.0
CPI-CC040318B79,GABA_byGAD1_and_SLC6A13_GABA-A_a6b3g2S_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a6b3g2S_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7580000162124634,29|13,100.0
CPI-CC0604DCB2A,GABA_byGAD1_and_SLC6A13_GABA-A_a1b3_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a1b3_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7580000162124634,29|13,100.0
CPI-CC002C86EAE,GABA_byGAD1_and_SLC6A13_GABA-A_a2b3g2S_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a2b3g2S_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7580000162124634,29|13,100.0
CPI-CC036F9ABD3,GABA_byGAD1_and_SLC6A13_GABA-A_a1b3g2S_complex,complex:GABA_byGAD1_and_SLC6A13,complex:GABA-A_a1b3g2S_complex,,,True,False,True,curated,False,Ligand-Receptor,Signaling by GABA,29|13,0.7580000162124634,29|13,100.0
