,meanscell_abundance_w_sf_0,meanscell_abundance_w_sf_1,meanscell_abundance_w_sf_2,meanscell_abundance_w_sf_3,meanscell_abundance_w_sf_4,meanscell_abundance_w_sf_5,meanscell_abundance_w_sf_6,meanscell_abundance_w_sf_7,meanscell_abundance_w_sf_8,meanscell_abundance_w_sf_9,meanscell_abundance_w_sf_10,meanscell_abundance_w_sf_11,meanscell_abundance_w_sf_12,meanscell_abundance_w_sf_13,meanscell_abundance_w_sf_14,meanscell_abundance_w_sf_15,meanscell_abundance_w_sf_16,meanscell_abundance_w_sf_17,meanscell_abundance_w_sf_18,meanscell_abundance_w_sf_19,meanscell_abundance_w_sf_20,meanscell_abundance_w_sf_21,meanscell_abundance_w_sf_22,meanscell_abundance_w_sf_23,meanscell_abundance_w_sf_24,meanscell_abundance_w_sf_25,meanscell_abundance_w_sf_26
cellid_000117295-1_4,0.07656422,0.20271955,0.15246703,0.13527893,0.097061485,0.08371235,0.25737485,0.18322398,0.060152635,0.21308452,0.26475453,0.14393474,0.22572918,0.15902637,0.12050548,0.1867134,0.23586443,0.07602715,0.08862536,0.12180567,0.18898489,0.106199265,0.0600223,0.18390296,0.1124633,0.14951204,0.46400425
cellid_000117312-1_4,0.4857712,0.32408723,0.4671193,0.4671083,0.42271733,0.49752662,0.88162076,0.48886964,0.34966412,0.6271937,0.61554873,0.62340605,0.46465024,0.39895535,0.4242303,0.5730579,0.78747195,0.37048808,0.47378013,0.3777304,0.538472,0.5422446,0.5207474,0.8328373,0.4053117,0.3968176,0.7935911
cellid_000117322-1_4,0.48835397,0.14776167,0.452084,0.48276863,0.37612778,0.45442164,1.294245,0.3970648,0.47959,0.37624294,0.3889103,0.37702775,0.38465083,0.27761385,0.5334988,0.19748266,0.47462323,0.49728423,0.37393612,0.2987837,0.39482358,0.5812075,0.3706634,0.47917745,0.31422046,0.29330942,0.20282839
cellid_000117326-1_4,0.54268205,0.56983984,0.4882392,0.46836367,0.48436382,0.53793806,1.7755976,0.64262176,0.32767186,0.71411836,0.59589803,0.65746254,0.44258916,0.55230963,0.46618614,0.47538304,0.6904101,0.5070855,0.46763432,0.40819955,0.5528854,0.60084146,0.38389042,0.5419846,0.4091274,0.36637047,0.741818
cellid_000117336-1_4,0.064252555,0.12597433,0.09681144,0.15258504,0.082856216,0.09077156,0.1792801,0.14532587,0.06396305,0.18116097,0.19727583,0.1121777,0.14764656,0.12832364,0.09309025,0.27898294,0.091117285,0.10092031,0.08809116,0.0945249,0.21817032,0.09390395,0.031422235,0.18553878,0.11267723,0.10561661,0.20502602
cellid_000117342-1_4,0.031926643,0.062631555,0.04567446,0.05933039,0.032297492,0.027747791,0.04967819,0.08245185,0.03602881,0.074981,0.07216263,0.059637126,0.051357582,0.05169198,0.030924227,0.06567643,0.058367394,0.041749727,0.0649633,0.036915798,0.11534273,0.05674918,0.022236839,0.07392958,0.015972953,0.0324808,0.07506308
cellid_000117348-1_4,0.6257825,0.22868322,0.6345912,0.3437394,0.5238218,0.44192985,2.2465358,0.42430875,0.33641362,0.50468993,0.43058518,0.3539617,0.5228249,0.36985123,0.8009726,0.23384558,0.5913215,0.44451016,0.4798711,0.4319301,0.37877885,0.4636705,0.5940054,0.57297945,0.3494951,0.43697712,0.36320633
cellid_000117351-1_4,0.028271224,0.078156024,0.22260283,0.06037232,0.055191744,0.033292472,0.04180147,0.08506356,0.039665334,0.06467078,0.09304454,0.123809956,0.072566815,0.07158776,0.043432817,0.121481895,0.083205625,0.04331083,0.03724134,0.046551522,0.0958649,0.041807618,0.025126446,0.050080467,0.04356747,0.036698677,0.10176458
cellid_000117354-1_4,0.046065148,0.27304283,0.17053354,0.08362446,0.073457405,0.05668637,0.06528538,0.10976968,0.0487872,0.103593275,0.2522103,0.8101036,0.14092875,0.123074554,0.09796979,0.140261,0.13462251,0.06205955,0.06452195,0.07907296,0.21978275,0.07353584,0.03907755,0.13656086,0.05784532,0.05935749,0.58186066
cellid_000117355-1_4,0.19397558,0.15962099,0.1675359,0.21867782,0.18679066,0.23920439,0.53086776,0.20073263,0.13324574,0.23819569,0.17849785,0.3476921,0.2286559,0.2335474,0.17994907,0.16796905,0.17255974,0.19040614,0.19636542,0.1464377,0.30099735,0.14016934,0.15935002,0.3856878,0.1670864,0.1450251,0.15229505
cellid_000117360-1_4,0.028319255,0.07337944,0.096192196,0.059717227,0.06849165,0.04780654,0.18182616,0.08793862,0.035379797,0.12355287,0.14277653,0.08471131,0.07487945,0.10398467,0.052413136,0.11791763,0.16254297,0.08122423,0.06970534,0.045903694,0.097668044,0.054452993,0.027892258,0.11906869,0.054888714,0.052918445,0.13852237
cellid_000117377-1_4,0.31188396,0.2271738,0.25044116,0.3078285,0.30617902,0.270747,0.43505108,0.3481766,0.33008644,0.4077729,0.42317197,0.29075155,0.30779085,0.24183577,0.6721175,0.26661146,0.46078345,0.26842234,0.31505623,0.3349039,0.36529705,0.5362082,0.2971851,0.51760685,0.29541692,0.23493367,0.42703438
cellid_000117390-1_4,0.09801964,1.1073593,0.24373816,0.15335016,0.26011032,0.19396847,0.34920716,0.27442265,0.17973429,0.22354513,0.25628433,0.27862605,0.2291653,0.20300667,0.19496302,0.4649134,0.23704843,0.17463662,0.1978691,0.23018196,0.25165412,0.20375325,0.09122539,0.29241854,0.20002489,0.14108601,0.43805096
