,q95cell_abundance_w_sf_0,q95cell_abundance_w_sf_1,q95cell_abundance_w_sf_2,q95cell_abundance_w_sf_3,q95cell_abundance_w_sf_4,q95cell_abundance_w_sf_5,q95cell_abundance_w_sf_6,q95cell_abundance_w_sf_7,q95cell_abundance_w_sf_8,q95cell_abundance_w_sf_9,q95cell_abundance_w_sf_10,q95cell_abundance_w_sf_11,q95cell_abundance_w_sf_12,q95cell_abundance_w_sf_13,q95cell_abundance_w_sf_14,q95cell_abundance_w_sf_15,q95cell_abundance_w_sf_16,q95cell_abundance_w_sf_17,q95cell_abundance_w_sf_18,q95cell_abundance_w_sf_19,q95cell_abundance_w_sf_20,q95cell_abundance_w_sf_21,q95cell_abundance_w_sf_22,q95cell_abundance_w_sf_23,q95cell_abundance_w_sf_24,q95cell_abundance_w_sf_25,q95cell_abundance_w_sf_26
cellid_000101261-1_3,1.0080757,0.42757207,0.43909258,0.33872962,1.3804289,0.7152062,0.55266666,0.79123896,0.81086564,0.6860814,0.73401046,0.50728536,0.70754534,0.63746524,0.95563275,0.64412856,0.45862168,0.97338575,0.82004476,0.5943108,0.47546232,0.3418429,0.63898265,0.5208992,0.52662545,0.8254667,0.35860956
cellid_000101269-1_3,0.27077284,0.27772346,0.6534609,0.57866234,0.2609317,0.36332142,0.299702,0.4244016,0.17511971,0.56503075,0.81467485,0.44837967,0.44398782,0.4100744,0.42034632,0.25831062,0.55024266,0.3697959,0.4658615,0.20810224,0.5834101,0.27062666,0.16191359,0.3690225,0.40545204,0.20370355,0.29884487
cellid_000101271-1_3,0.81804055,0.42029798,1.8083016,0.705992,0.6684425,0.39419413,0.7869677,0.9515858,0.43140963,1.0915403,0.6438391,0.61249095,0.9318091,0.6533236,0.56304306,0.5136128,0.784058,0.8694254,0.49857515,0.48003158,0.4776635,0.47331443,0.44343016,0.58291084,0.5237753,0.39321297,0.49081153
cellid_000101276-1_3,0.845944,0.63852173,1.158821,1.3354783,1.2912974,1.1366756,0.79056436,1.1323054,1.1642174,1.0992705,1.1972978,0.7479221,1.1025349,0.8741,1.1086677,0.9153656,0.83365613,0.908341,0.85565597,0.78061587,0.8110208,0.9314882,1.1252784,0.66556424,0.8193172,1.2056564,0.63319683
cellid_000101290-1_3,0.16124901,0.41533554,0.44496012,0.53049415,0.3551158,0.38829854,0.33053327,0.34126723,0.2497045,0.44381022,0.40984142,0.5819187,0.7262856,0.42723823,0.3796478,0.34386027,0.53036284,0.32589006,0.14463672,0.2044464,0.49749532,0.31261235,0.18517219,0.55580825,0.24620515,0.3931041,0.5369076
cellid_000101319-1_3,0.5951222,0.3512604,0.5700112,0.6888868,0.721202,1.4781764,0.761594,0.6318369,0.6474809,0.91385007,1.0583322,0.454817,0.5081221,0.4696264,0.431913,0.40592504,0.8414135,0.5117566,0.6331447,0.6213932,0.5609021,0.61856645,0.49654716,0.60405886,0.5748385,0.6754773,0.5298054
cellid_000101335-1_3,0.43841255,0.3754317,0.6611991,0.9852996,1.2059898,0.95343506,0.63099265,0.98231333,0.59368163,0.6499671,0.7926971,0.44129276,0.6515764,0.56495124,0.3864048,0.5886914,0.67730343,0.60921776,0.40870273,0.59900963,0.74563164,0.63532126,0.41401032,0.6956508,0.5872013,0.48049462,0.4490562
cellid_000101338-1_3,0.19985864,0.40091693,0.56745106,0.1655017,0.28065038,0.14509405,0.26759052,0.32017833,0.21703766,0.48348218,0.32363912,0.3761593,0.20064057,0.2853514,0.14185204,0.5324327,0.29115525,0.20406687,0.1138025,0.12588803,0.61385244,0.121547,0.13086563,0.2174284,0.14061698,0.25473097,0.74710625
cellid_000101340-1_3,1.2198626,0.38282645,0.7162482,0.53844875,1.7343701,0.6675013,0.5811126,0.8658939,1.0006701,1.123197,0.8332014,0.7029513,0.88471276,1.0169054,0.7694005,0.70511335,0.8725475,1.5798383,0.7538059,1.2584009,0.58114576,0.7959346,1.2728218,0.76898426,0.5004475,0.9843428,0.5391095
cellid_000101353-1_3,0.41795048,0.3025183,0.5326569,0.3772258,0.7799146,0.4115353,0.37491083,0.84602505,0.9281445,0.58683974,0.3657096,0.5633575,0.66656506,0.43117535,0.3972026,0.41246244,0.8070291,0.6048747,0.8217084,0.46972734,0.44020474,0.6056472,0.5407737,0.5091274,0.33039188,0.2861652,0.31780174
cellid_000101360-1_3,0.55538523,0.285536,0.5086034,0.26263574,1.1506543,0.43344158,0.4603163,0.5971189,1.0873848,0.8130817,0.7752747,0.5546963,0.57633656,0.724092,0.7671026,0.24090335,0.6294743,0.71789503,1.0604432,0.80981296,0.6089043,0.7012928,0.73984164,0.4147496,0.52401507,0.6504748,0.5347674
cellid_000101361-1_3,0.6335693,2.241358,1.3030034,0.7327514,0.95035416,0.5621703,1.0524393,0.95482725,0.94291085,1.0679855,0.77485913,0.7128052,1.1225696,0.8683658,0.9478563,0.88868344,1.2036649,0.8846594,0.82174,0.6301404,0.7585317,0.46870497,0.5729666,1.2348012,0.7831543,0.6750853,0.6305149
cellid_000101381-1_3,0.5763727,0.26035205,0.39533764,0.8192291,0.5416399,0.678853,0.6878574,0.60757524,0.62661207,0.54838777,0.6882038,0.3449206,0.64807135,0.43499947,0.6297665,0.23632418,0.7854938,0.50972426,0.54541624,0.53736734,0.31844932,0.2919339,0.22226806,0.6577446,0.51513976,0.47068268,0.43707323
cellid_000101387-1_3,0.58170503,1.2143545,1.7322098,0.4402608,0.6768958,0.61378336,0.6446468,0.6190666,0.6411502,0.84965956,0.6065909,0.7822222,1.8237599,0.69982994,0.5013317,1.0667143,0.9512087,0.46164405,0.5591049,0.7743918,0.58046114,0.64206666,0.6813429,0.70982784,0.7318373,0.4457032,0.39521986
cellid_000101395-1_3,0.6711262,0.22366329,0.7173568,0.39071926,0.9013331,0.45460123,0.44999084,0.78156143,0.9412596,0.5450509,0.94207376,0.6873995,0.92021716,0.5323452,0.52913225,0.3605827,0.64588845,0.81345415,0.70737123,0.5681312,0.47071856,0.5266874,0.84828734,0.5869721,0.6964219,0.7567673,0.4210849
cellid_000101422-1_3,0.29856196,0.21979417,0.4372025,0.41341084,0.6953725,0.43249363,0.29358155,0.5222988,0.23046717,0.44888553,0.3125281,0.358507,0.42624325,0.36685333,0.36456886,0.2457352,0.23255786,0.3377558,0.23538947,0.29868218,0.32426342,0.267883,0.26523158,0.18689016,0.2978777,0.30004054,0.17806351
cellid_000101423-1_3,0.57167935,1.0612758,0.54333013,0.63202935,1.3387623,0.72194105,0.48243877,0.6489033,0.66413796,0.7490359,0.6825304,0.46674228,1.0042745,0.77022254,0.7196756,0.6819671,0.9188107,1.0175617,0.5909011,0.73690104,0.6875221,0.32134378,0.3655792,0.6622269,0.40512282,0.50546086,0.50343096
cellid_000101428-1_3,0.33386528,0.24195537,1.6407918,0.42461586,0.46704254,0.19564585,0.1763586,0.44401333,0.25797245,0.4770697,0.63552827,0.9851745,0.4221255,0.22623564,0.65583694,0.27567396,0.3648019,0.29291818,0.3883959,0.40159085,0.4201414,0.15859695,0.16000752,0.30772015,0.20449504,0.23744816,0.24817878
cellid_000101442-1_3,1.0102931,0.3890068,0.6120833,1.3179259,1.1670418,0.85397285,0.91301185,0.7177763,1.0067768,1.0147341,0.91802955,0.8710864,0.8293893,0.8138106,0.5782058,0.78369516,0.67900693,0.7579646,0.6049931,0.78421867,0.90071404,0.7705178,0.61953163,0.9205347,0.81133455,0.75964195,0.80207247
cellid_000101445-1_3,0.2554379,0.3296271,6.2352653,0.28798836,0.26864558,0.33828875,0.25674912,0.51368576,0.2497773,0.40671366,0.65985227,1.0978774,0.7251556,0.53194,0.39740944,0.50539976,0.51110923,0.45821124,0.3099268,0.5891328,0.69028825,0.28533727,0.27701718,0.3637794,0.26898843,0.21127199,0.476842
cellid_000101456-1_3,0.69008327,0.41217163,2.3514917,0.43167904,0.83595055,0.55113703,0.39366895,0.5657969,0.8582026,0.55695623,0.7586264,0.5058813,1.1904054,0.718782,0.81314504,0.6196258,0.5997603,0.7460301,0.898939,0.7512109,0.7126093,0.5422253,0.54235625,0.76462704,0.60227346,1.8513696,0.50687814
cellid_000101465-1_3,0.6929635,0.5240447,0.9409031,1.0261937,1.7266488,1.597874,1.2311257,1.0799611,1.0869088,1.1964521,1.2863269,1.3071833,0.82062167,0.9483239,0.77886343,0.635249,0.79365313,0.82557446,1.0686632,1.0120271,0.960915,0.8406882,0.8694332,1.165743,0.9602536,0.8353856,0.59960914
cellid_000101468-1_3,0.3075924,0.26551569,0.5946664,0.41933963,0.51208913,1.1320827,0.32685998,0.4354478,0.4279811,0.7798266,0.58008224,0.71866304,0.4503459,0.5796661,0.34244984,0.32455122,0.6215194,0.43286112,0.4031586,0.5132437,0.59943444,0.45504606,0.27883032,0.56337357,0.32709837,0.69729376,0.3838886
cellid_000101480-1_3,0.32435486,0.79583406,5.2802615,0.34931865,0.7698974,0.46168366,0.50214106,0.6509946,0.4868796,0.63228196,0.66657656,0.94425935,0.59484345,0.6312165,0.38155472,0.5010261,1.0291355,0.5176064,0.46537542,0.44931847,0.76672757,0.37221986,0.34103847,0.53115827,0.58382034,0.52698123,0.68535215
cellid_000101494-1_3,0.89375377,0.3814921,0.68974704,0.68945754,1.0696712,1.162147,0.53031415,0.7704839,0.74912655,1.3639774,0.8954062,0.82517964,0.84313476,0.5593236,0.6043604,0.7597297,0.9743646,1.1227192,0.8743684,0.72484183,0.63716984,0.5775344,1.300694,0.71556246,0.48601326,0.81060946,0.46933684
cellid_000101500-1_3,0.5439754,0.47916,3.398477,0.43111712,0.77785146,0.7252731,0.37861136,0.9841265,0.8021989,0.615904,0.6007893,0.52073133,1.1946875,0.72435296,0.46878487,0.38061425,0.34194437,0.7094686,0.46153048,0.62857383,1.0004128,0.4941332,0.30159336,0.86492574,0.56720155,0.39120683,0.5259073
cellid_000101511-1_3,0.24978837,0.77013063,0.8701314,0.44454914,0.27863517,0.6538768,0.34312823,0.72600716,0.3498909,0.36819473,0.51873,0.5576437,0.8142851,0.7473796,0.42756966,0.5181589,0.33746815,0.33765578,0.32225037,0.44077381,0.3720648,0.4647855,0.30620158,0.5241598,0.35326937,0.36597824,0.35312307
cellid_000101523-1_3,0.8297912,0.36702156,0.74546385,0.5691862,0.9438048,0.61656976,0.62007535,0.64156854,1.0917778,0.7156321,0.61235976,0.73016405,0.70558465,0.8196952,0.49576604,0.2987907,0.4957424,0.6455008,0.80681586,0.8305749,0.6646093,0.69085366,1.1119232,0.5368533,0.63900685,0.7856777,0.6508261
cellid_000101563-1_3,0.5568117,0.40087932,0.6345305,0.69382435,0.70596975,0.67982274,0.48105556,0.67875177,0.4459929,0.7034584,0.6970172,0.33433464,0.501441,0.45018214,0.37521136,0.60118526,0.81662303,0.78024983,0.38637483,0.40330586,0.46647215,0.7291923,0.29134378,0.35367084,0.32698315,0.33391824,0.31645313
cellid_000101574-1_3,0.70254433,0.6991175,0.67694515,0.4206796,2.1429293,0.77673477,0.6535111,0.9625081,1.4234762,0.8347967,0.99425846,1.2248783,0.9054969,0.9489568,0.9232526,0.8496938,0.89301807,1.4816047,1.0073926,0.8446035,0.80527395,0.6526978,1.255358,1.0815414,0.70644003,0.49159408,0.5225633
