,q05cell_abundance_w_sf_0,q05cell_abundance_w_sf_1,q05cell_abundance_w_sf_2,q05cell_abundance_w_sf_3,q05cell_abundance_w_sf_4,q05cell_abundance_w_sf_5,q05cell_abundance_w_sf_6,q05cell_abundance_w_sf_7,q05cell_abundance_w_sf_8,q05cell_abundance_w_sf_9,q05cell_abundance_w_sf_10,q05cell_abundance_w_sf_11,q05cell_abundance_w_sf_12,q05cell_abundance_w_sf_13,q05cell_abundance_w_sf_14,q05cell_abundance_w_sf_15,q05cell_abundance_w_sf_16,q05cell_abundance_w_sf_17,q05cell_abundance_w_sf_18,q05cell_abundance_w_sf_19,q05cell_abundance_w_sf_20,q05cell_abundance_w_sf_21,q05cell_abundance_w_sf_22,q05cell_abundance_w_sf_23,q05cell_abundance_w_sf_24,q05cell_abundance_w_sf_25,q05cell_abundance_w_sf_26
cellid_000026963-13P5,0.009097845,0.009863902,0.022202335,0.06894535,0.021296699,0.016034361,0.032522064,0.027394976,0.011011055,0.030308325,0.032530263,0.035113502,0.025387464,0.028308148,0.053798676,0.011980961,0.017845338,0.024542447,0.014147548,0.021524644,0.03506214,0.016638419,0.022107596,0.010787568,0.010196198,0.014269946,0.04841249
cellid_000026965-13P5,0.0065826997,0.006825565,0.01863347,0.0104546575,0.013956607,0.014240475,0.014944561,0.019294614,0.01072021,0.03129405,0.022920758,0.04883191,0.0100945225,0.061213754,0.017865703,0.062488083,0.02177066,0.011982829,0.00914512,0.013604634,0.15036571,0.011111017,0.0048876447,0.014167072,0.013202012,0.026071765,0.0455155
cellid_000027006-13P5,0.09221429,0.014960654,0.120017044,0.44523278,0.07248093,0.07186791,0.11673208,0.058913253,0.060013436,0.07072446,0.08432168,0.05595092,0.07517795,0.041205537,0.06949497,0.016564861,0.058159105,0.058988065,0.055294216,0.053643934,0.10520797,0.079095535,0.08527128,0.042802062,0.050896153,0.08856484,0.02207309
cellid_000027010-13P5,0.061310112,0.023484597,0.08126974,0.040660404,0.058875754,0.033713292,0.10227069,0.05660603,0.068295896,0.050715614,0.05460298,0.041553292,0.04563683,0.05259638,1.1793368,0.03808345,0.06981827,0.04655373,0.08763245,0.094250605,0.050711114,0.05373416,0.14268155,0.031291407,0.05004581,0.058849484,0.018873686
cellid_000027014-13P5,0.028410284,0.020788742,0.030509721,0.20396294,0.038786843,0.06951428,0.051192354,0.03922759,0.032991488,0.051519822,0.080642216,0.03595881,0.03845676,0.029749032,0.042728554,0.015290563,0.02616682,0.0234534,0.046237525,0.030259937,0.03912,0.07912479,0.0331648,0.031353015,0.033777524,0.033060122,0.021466969
cellid_000027033-13P5,0.016485754,0.009906984,0.020262534,0.018803736,0.04141747,0.024270983,0.0153183155,0.04994105,0.03773311,0.032258965,0.034952644,0.027367184,0.033260062,0.019958297,0.014597437,0.0127204545,0.031324863,0.013723111,0.018000614,0.017746847,0.022429984,0.0185416,0.0443599,0.021550441,0.018139822,0.017999934,0.02558289
cellid_000027042-13P5,0.009641836,0.011138511,0.01354142,0.036505315,0.01833641,0.034910705,0.024191994,0.021993062,0.013728491,0.020557737,0.040183194,0.0154726785,0.02780211,0.0138697,0.01582842,0.012713531,0.028389808,0.019635765,0.021222645,0.020235416,0.022360904,0.009240232,0.0079261325,0.01620833,0.034324374,0.00799307,0.020569487
cellid_000027049-13P5,0.044235058,0.012800929,0.019562835,0.029774804,0.021118553,0.03785321,0.032780804,0.023131935,0.031650368,0.022996351,0.032963656,0.016214391,0.024505261,0.032818094,0.021768268,0.00966132,0.021898262,0.017539993,0.026510285,0.014098327,0.016362712,0.029515259,0.014732925,0.01823622,0.023170471,0.014373062,0.0060591274
cellid_000027055-13P5,0.05356874,0.019492134,0.04493221,0.49356705,0.04752328,0.084947646,0.14634185,0.046555914,0.06874195,0.059368506,0.08221118,0.077901535,0.09052761,0.042221025,0.039912097,0.02031923,0.06173289,0.037154756,0.038743857,0.0670711,0.051269375,0.055465836,0.05075799,0.036156856,0.047651403,0.03880357,0.035046604
cellid_000027066-13P5,0.19872327,0.029996995,0.08594025,0.30320048,0.18628886,0.3643739,0.16449511,0.11713563,0.18177387,0.11556259,0.1932278,0.067062385,0.108415216,0.084628135,0.11020318,0.051830053,0.10306389,0.07758084,0.18608223,0.12386566,0.07899418,0.19690211,0.15671217,0.18844464,0.13004157,0.16506618,0.058006868
