"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC129348986",0.0578930341802152,0.727637012845133,0.17740672934011,0.282542797173646,0.119513695159895,0.414952918830193,NA,TRUE,"1","1","1"
"2","trip4",0.0463736424855474,0.842820493387036,0.231620533140859,0.308526891275492,0.185246890655312,0.363889442055113,NA,TRUE,"1","1","1"
"3","chrna7a",-60.5851463446393,0.999989813116644,-32.7458199715966,0.99999487918489,27.8393263730428,0.999996812115852,NA,TRUE,"1","1","1"
"4","cln6a",0.229515448571242,0.538268600393735,-0.0781797129177206,0.83997620334919,-0.307695161488962,0.358219727267134,NA,TRUE,"1","1","1"
"5","LOC118470268",-0.335454194904356,0.813251514694576,0.229293912121049,0.85234707054694,0.564748107025405,0.646246973847691,NA,TRUE,"1","1","1"
"6","calml4a",-0.340507087782611,0.810499385620277,0.234169382086972,0.849248683664922,0.574676469869583,0.640466597978602,NA,TRUE,"1","1","1"
"7","LOC111568352",0.355098179615083,0.773067931166992,0.643567372574954,0.579775594838648,0.288469192959871,0.753967303303613,NA,TRUE,"1","1","1"
"8","rxfp3.3a2",30.9965880006478,0.999995546945886,30.8758361861984,0.99999556429342,-0.120751814449348,0.932192281169869,NA,TRUE,"1","1","1"
"9","rps17",0.347780432149414,0.413972602730741,-0.177744506729142,0.698311765263357,-0.525524938878556,0.176950771521419,NA,TRUE,"1","1","1"
"10","LOC129347713",33.2671569157774,0.999995487534723,32.0486979884811,0.999995652810452,-1.21845892729636,0.292945283413916,NA,TRUE,"1","1","1"
"11","csnk1g1",0.292716334190371,0.174940206225444,0.163190806801794,0.454166964906169,-0.129525527388577,0.484202779386433,NA,TRUE,"1","1","1"
"12","LOC111571203",-0.00555727009431775,0.990250935443552,0.100101574119656,0.820055849661546,0.105658844213974,0.788613017309852,NA,TRUE,"1","1","1"
"13","neo1a",-0.0906251829720447,0.559877090920718,-0.0458562741157901,0.768811590073925,0.0447689088562546,0.752569195429517,NA,TRUE,"1","1","1"
"14","LOC129349243",0.068829460362744,0.940479618769424,-0.0404019641678709,0.96506479889177,-0.109231424530615,0.894654029138347,NA,TRUE,"1","1","1"
"15","LOC111567962",0.565813434144645,0.0126683729150738,0.476330536791419,0.037981437715037,-0.0894828973532259,0.630339205766516,NA,TRUE,"1","1","1"
"16","LOC129347359",1560.51947833429,0.999788455840635,1529.70626268928,0.999834185417294,-30.8132156450108,0.999994437978511,NA,TRUE,"1","1","1"
"17","bbs4",0.0222530627653729,0.939456167815428,-0.177749410998083,0.552881112464715,-0.200002473763456,0.460068163905789,NA,TRUE,"1","1","1"
"18","scamp2l",-0.231082347216384,0.530174419740322,-0.370714144266165,0.321813275262,-0.139631797049781,0.697666754015812,NA,TRUE,"1","1","1"
"19","LOC129347348",0.368905397009396,0.764567326464778,0.256597157158843,0.835051546150718,-0.112308239850552,0.911220749741311,NA,TRUE,"1","1","1"
"20","myo9aa",0.780262855733666,0.143678365461546,0.155584289239915,0.786702322455368,-0.624678566493752,0.154923863715646,NA,TRUE,"1","1","1"
"21","senp8",1.04208345523554,0.365420496807253,1.32322385688874,0.23002019156777,0.281140401653209,0.690695596722813,NA,FALSE,"1","1","1"
"22","LOC111580711",0.0754182736619528,0.68961097938699,-0.0253543415771308,0.894631357872381,-0.100772615239084,0.555596661330003,NA,TRUE,"1","1","1"
