"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC129348986",-0.253821381415694,0.360037210736686,0.0193443835390182,0.94086668943886,0.273165764954713,0.313281910898657,NA,FALSE,"1","1","1"
"2","trip4",-0.494552066273688,0.321767503746779,-0.584750056133962,0.224038921337898,-0.0901979898602739,0.857455512371334,NA,FALSE,"1","1","1"
"3","chrna7a",-25.456419165414,0.999904548973099,-22.0102434161911,0.999501673019592,3.44617574922288,0.999987251910443,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"4","cln6a",-0.189370012153289,0.721317037059611,-1.55342863709077,0.0519781899445227,-1.36405862493749,0.0952173478582851,NA,TRUE,"1","1","1"
"5","LOC118470268",0.21077582178177,0.879790265984224,0.223826855399975,0.867784789642509,0.0130510336182048,0.992275923147756,NA,FALSE,"1","1","1"
"6","calml4a",-44.8476051497592,0.999993804643312,1.06738051063988,0.500610460874626,45.914985660399,0.999993657192786,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"7","LOC111568352",-0.159329450943042,0.832118473233385,-0.147319563641493,0.836597590535966,0.0120098873015489,0.987177316454218,NA,FALSE,"1","1","1"
"8","rxfp3.3a2",-0.597876400314137,0.629344898313945,-0.108961445341297,0.914696353019172,0.488914954972841,0.692892522912986,NA,TRUE,"1","1","1"
"9","rps17",-0.194635233311792,0.780674760191588,-0.124907332352439,0.851865596150418,0.0697279009593529,0.919810560490643,NA,FALSE,"1","1","1"
"10","csnk1g1",-0.458201909025231,0.195980735012971,-0.284270301913525,0.387407935503111,0.173931607111706,0.631709965853105,NA,TRUE,"1","1","1"
"11","LOC111571203",-0.0298746214719441,0.962663750692961,0.118334148299235,0.8455754302925,0.148208769771179,0.809834610285733,NA,FALSE,"1","1","1"
"12","neo1a",0.284071725269275,0.324233314009635,0.0686839456692232,0.813600765676751,-0.215387779600052,0.431632790672919,NA,FALSE,"1","1","1"
"13","LOC129349243",841.095031952078,0.99989607569747,807.234227048766,0.999926479642442,-33.8608049033115,0.999995436384825,NA,TRUE,"1","1","1"
"14","LOC111567962",-0.150589030631305,0.641471249737149,0.0145908093746295,0.962079069701756,0.165179840005935,0.594600235007364,NA,TRUE,"1","1","1"
"15","bbs4",-0.338382418043925,0.629950073617898,0.446832668362871,0.443192532052173,0.785215086406796,0.223840664849732,NA,FALSE,"1","1","1"
"16","scamp2l",-0.227844401025073,0.770467888873391,0.108641607588992,0.874922386076384,0.336486008614066,0.652345479493065,NA,TRUE,"1","1","1"
"17","LOC129347348",-0.810135604216273,0.16383494656196,-0.113223317813024,0.813514622214061,0.696912286403249,0.20579756055907,NA,TRUE,"1","1","1"
"18","myo9aa",-0.767821363043725,0.28625075566967,-0.252855739909164,0.684195663947258,0.514965623134561,0.475132680546167,NA,FALSE,"1","1","1"
"19","senp8",0.0825644431605669,0.953785200566021,-0.0790374606224943,0.955753624985195,-0.161601903783061,0.909635746474632,NA,TRUE,"1","1","1"
"20","LOC111580711",0.741455246237229,0.401081906934171,0.332531104776257,0.720351651495097,-0.408924141460972,0.600706931700051,NA,TRUE,"1","1","1"
"21","anp32a",33.6436088883727,0.999995842744219,33.90065420509,0.999995810981779,0.257045316717301,0.783268985134621,NA,TRUE,"1","1","1"
"22","coro2ba",-1.20139634451167,0.162950779540127,0.791249841963689,0.143143165722433,1.99264618647536,0.0133016585345923,NA,FALSE,"1","1","1"
"23","itga11a",-0.616953355153368,0.617920792362239,-0.76029369149304,0.538725280733248,-0.143340336339672,0.919809185095563,NA,TRUE,"1","1","1"
"24","LOC111588606",-39.8511541966786,0.999994494865136,-33.8290499050401,0.999995431802939,6.0221042916385,0.999999418475224,NA,TRUE,"1","1","1"
"25","LOC111564424",0.056711777704713,0.9682446269509,-33.7250050224069,0.958991594841599,-33.7817168001116,0.958922717297192,NA,TRUE,"1","1","1"
"26","LOC129349160",22321.7377964536,0.997241968706857,22288.909841451,0.997973623924707,-32.8279550025773,0.999995592837175,NA,TRUE,"1","1","1"
"27","LOC111564416",-0.197154686560278,0.775425879793706,-0.60009306717049,0.422689113283291,-0.402938380610212,0.605538413692851,NA,TRUE,"1","1","1"
"28","cpeb1b",1.43754892412806,0.204377671698167,-0.0833725411128999,0.953374997460302,-1.52092146524096,0.178925044484984,NA,TRUE,"1","1","1"
"29","LOC111564421",76.4745572092059,0.999992957079754,126.810462277944,0.999984331510256,50.3359050687381,0.999993046476282,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"30","LOC111564418",0.12931928449872,0.900618213049033,1.01775092993409,0.238414563090852,0.888431645435365,0.303570023796355,NA,FALSE,"1","1","1"
"31","LOC111564417",32.7891372146618,0.999995948628757,33.2524255338118,0.999995891385623,0.463288319149968,0.776416651935542,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"32","LOC111564410",-0.233505334630038,0.678443382032355,0.123326443240166,0.805267712234035,0.356831777870204,0.507915277501439,NA,TRUE,"1","1","1"
"33","ccnb2",841.095031952078,0.99989607569747,807.234227048766,0.999926479642442,-33.8608049033115,0.999995436384825,NA,TRUE,"1","1","1"
"34","cars1",0.0868694687894671,0.858873533457541,0.441222010435354,0.332249022897596,0.354352541645887,0.43132185392501,NA,FALSE,"1","1","1"
"35","pex16",-0.617787254323149,0.39440948839018,-0.508879936293563,0.444449912252878,0.108907318029586,0.888909354787177,NA,TRUE,"1","1","1"
"36","arfgap2",-0.217327413754249,0.660058712942941,-0.309704694223028,0.519123928270355,-0.0923772804687793,0.856977307606131,NA,TRUE,"1","1","1"
"37","glceb",-0.661769503488608,0.0907912548991637,-0.0472807940969948,0.886723284497156,0.614488709391614,0.113601422446262,NA,TRUE,"1","1","1"
"38","LOC111564414",0.187402325581,0.891629130203801,-0.632471606990012,0.676200159257986,-0.819873932571012,0.580055268590718,NA,FALSE,"1","1","1"
"39","tle3b",0.795226859838697,0.0507844448181589,0.666079337507319,0.0991201757155691,-0.129147522331378,0.70150532931434,NA,TRUE,"1","1","1"
"40","LOC129348677",0.769663739708008,0.535891227679898,-31.2008687287416,0.932947832842113,-31.9705324684496,0.931297605385595,NA,TRUE,"1","1","1"
"41","uacab",-31.1190082909272,0.999995069240763,0.602031294039322,0.62595715608167,31.7210395849665,0.999994973849825,NA,TRUE,"1","1","1"
"42","LOC111564639",-0.346453933929135,0.36009705856696,-0.487139396056742,0.206072054074878,-0.140685462127606,0.731905504410105,NA,FALSE,"1","1","1"
"43","rxfp3.3a1",-32.1736640580545,0.999995529258446,-0.0691705415534421,0.96156062101312,32.104493516501,0.999995538870146,NA,TRUE,"1","1","1"
"44","pias1a",0.148493541244398,0.642303414071949,-0.0047569415709366,0.988044017390123,-0.153250482815334,0.623445159306555,NA,FALSE,"1","1","1"
"45","skor1a",-1035.61087797858,0.999856938208334,-33.16772322159,0.999995538500797,1002.44315475699,0.999903391815095,NA,TRUE,"1","1","1"
"46","map2k5",0.360361936769959,0.2725543840495,0.265033883150134,0.415379277844044,-0.0953280536198246,0.754433603444908,NA,FALSE,"1","1","1"
"47","smad3a",-0.341431577043013,0.464741331402837,-0.521829534842877,0.264306507644549,-0.180397957799864,0.718677868892706,NA,TRUE,"1","1","1"
