"","gene","av_p.value","singular","warning","av_q.value","d_m_estimate","d_m_p.value","f_m_estimate","f_m_p.value","d_f_estimate","d_f_p.value"
"11428","nexmifb",5.42025289463261e-05,FALSE,NA,0.0102373161781469,0.706558366555758,0.000118439190717572,0.0419265560118346,0.824650881330075,0.664631810543924,0.000207018888336585
"72","LOC118470001",0.000148130917960158,TRUE,NA,0.0277233746185979,0.669059467669309,0.00325526241715974,-0.238235701296267,0.353358892596939,0.907295168965576,0.000100923122401908
"7635","efna3b",0.00021641509395136,FALSE,NA,0.0401381760286185,0.535148562374723,0.0167990714738407,-0.381508088610184,0.101279872301708,0.916656650984907,4.74605796199751e-05
"10026","akap11",0.000367715066404781,TRUE,NA,0.0675906256435288,NA,NA,NA,NA,NA,NA
"18707","LOC111566014",0.000440013711648933,FALSE,NA,0.0801642679797928,NA,NA,NA,NA,NA,NA
"11770","c14h5orf15",0.00046027979185037,TRUE,NA,0.0831208778493296,NA,NA,NA,NA,NA,NA
"634","hdgfl3",0.000662684251202888,TRUE,NA,0.118096643401071,NA,NA,NA,NA,NA,NA
"8608","LOC111588082",0.000665430156629148,TRUE,NA,0.118096643401071,NA,NA,NA,NA,NA,NA
"12095","mink1",0.000804273540933348,TRUE,NA,0.141517772540127,NA,NA,NA,NA,NA,NA
"5414","pde4d",0.00133210871735506,FALSE,NA,0.232407814950751,NA,NA,NA,NA,NA,NA
"7215","apeh",0.00141108663336052,TRUE,NA,0.244117987571369,NA,NA,NA,NA,NA,NA
"71","sema6dl",0.00161065543243489,FALSE,NA,0.276321361562808,NA,NA,NA,NA,NA,NA
"11610","ppp2r2ba",0.00162929173766921,FALSE,NA,0.277208504160298,NA,NA,NA,NA,NA,NA
"525","hcn4",0.00176253476385659,TRUE,NA,0.297420517897668,NA,NA,NA,NA,NA,NA
"6509","LOC129349260",0.00190610829866266,FALSE,NA,0.319032939386732,NA,NA,NA,NA,NA,NA
"575","LOC111577671",0.00198046280572945,TRUE,NA,0.328804740173807,NA,NA,NA,NA,NA,NA
"5052","si:dkeyp-14d3.1",0.00204810895922818,FALSE,NA,0.337315353149045,NA,NA,NA,NA,NA,NA
"13369","ifngr1l",0.00225242231014189,FALSE,NA,0.368020778562628,NA,NA,NA,NA,NA,NA
"5540","arl15a",0.00227604848971892,FALSE,NA,0.368952836675933,NA,NA,NA,NA,NA,NA
"1395","LOC111579959",0.002405010373544,FALSE,NA,0.377953805802674,NA,NA,NA,NA,NA,NA
"3848","blcap",0.00238141654334548,FALSE,NA,0.377953805802674,NA,NA,NA,NA,NA,NA
"10865","LOC111566089",0.00239154081137772,FALSE,NA,0.377953805802674,NA,NA,NA,NA,NA,NA
"18434","rps6ka3b",0.00239463784617825,TRUE,NA,0.377953805802674,NA,NA,NA,NA,NA,NA
"16507","LOC111566907",0.00259510349295767,FALSE,NA,0.404737845526664,NA,NA,NA,NA,NA,NA
"12688","pag1",0.00261689029678142,TRUE,NA,0.405067071728114,NA,NA,NA,NA,NA,NA
"13301","slc8a1b",0.00277064348999449,FALSE,NA,0.425665951705347,NA,NA,NA,NA,NA,NA
"12165","msi2b",0.00284848825956408,FALSE,NA,0.434383909627005,NA,NA,NA,NA,NA,NA
"14545","lrsam1",0.0029175613945164,TRUE,NA,0.44164585609492,NA,NA,NA,NA,NA,NA
"11447","mgarpa",0.00294279327323191,TRUE,NA,0.442213759970987,NA,NA,NA,NA,NA,NA
"3756","fhit",0.00296629052429589,TRUE,NA,0.44251465959188,NA,NA,NA,NA,NA,NA
"1204","lrp8",0.00305739574437577,FALSE,NA,0.452468394474379,NA,NA,NA,NA,NA,NA
"1384","ephx4",0.00312092641061649,TRUE,NA,0.452468394474379,NA,NA,NA,NA,NA,NA
"5629","ksr2",0.0031130552491155,TRUE,NA,0.452468394474379,NA,NA,NA,NA,NA,NA
"17098","syt14a",0.0030773241492766,TRUE,NA,0.452468394474379,NA,NA,NA,NA,NA,NA
"10645","enah",0.00320235954570495,TRUE,NA,0.461027803968027,NA,NA,NA,NA,NA,NA
"18454","LOC129348000",0.0032922696839765,FALSE,NA,0.470680249889057,NA,NA,NA,NA,NA,NA
"807","hsd17b12b",0.00331921283133313,FALSE,NA,0.471259548680381,NA,NA,NA,NA,NA,NA
"3166","fbxo41",0.00336070216794889,TRUE,NA,0.473375015644272,NA,NA,NA,NA,NA,NA
"16376","grapa",0.00338010041772517,FALSE,NA,0.473375015644272,NA,NA,NA,NA,NA,NA
"16914","itpk1b",0.00351283058595614,TRUE,NA,0.488639481574859,NA,NA,NA,NA,NA,NA
"3827","LOC111575996",0.00359427219904632,FALSE,NA,0.496612629273601,NA,NA,NA,NA,NA,NA
"10863","ches1",0.00372204495028243,FALSE,NA,0.507455227758042,NA,NA,NA,NA,NA,NA
"15350","capn15",0.00370425095137049,FALSE,NA,0.507455227758042,NA,NA,NA,NA,NA,NA
"14224","LOC111575345",0.00382334357635611,TRUE,NA,0.517836672410811,NA,NA,NA,NA,NA,NA
"1844","nudt4a",0.00393414128908375,TRUE,NA,0.522530107860433,NA,NA,NA,NA,NA,NA
"4033","magi1b",0.00389436514836615,FALSE,NA,0.522530107860433,NA,NA,NA,NA,NA,NA
"15977","LOC129347499",0.00392670355757891,TRUE,NA,0.522530107860433,NA,NA,NA,NA,NA,NA
"8453","LOC111570825",0.00396203201162295,FALSE,NA,0.522861237328729,NA,NA,NA,NA,NA,NA
"2411","lrp5",0.00398798888375523,TRUE,NA,0.52293456783356,NA,NA,NA,NA,NA,NA
"8022","mef2d",0.00405883602616413,TRUE,NA,0.525865795200376,NA,NA,NA,NA,NA,NA
"14522","LOC111583879",0.00408350903356184,TRUE,NA,0.525865795200376,NA,NA,NA,NA,NA,NA
"16628","gphna",0.00408723144881528,TRUE,NA,0.525865795200376,NA,NA,NA,NA,NA,NA
"18784","gba2",0.00413806085502798,TRUE,NA,0.525865795200376,NA,NA,NA,NA,NA,NA
"19627","dclre1c",0.00413480326301453,FALSE,NA,0.525865795200376,NA,NA,NA,NA,NA,NA
"3919","LOC111573839",0.00424726715092112,TRUE,NA,0.536432446846706,NA,NA,NA,NA,NA,NA
"11611","rpl26",0.0043705506829148,TRUE,NA,0.548637359202238,NA,NA,NA,NA,NA,NA
"1649","bsg",0.00442422295568909,FALSE,NA,0.550041262008846,NA,NA,NA,NA,NA,NA
"2956","ube2o",0.00443517022846789,FALSE,NA,0.550041262008846,NA,NA,NA,NA,NA,NA
"6156","LOC111567581",0.00450433801112336,TRUE,NA,0.555143978940271,NA,NA,NA,NA,NA,NA
"7988","smarcc1a",0.00453024668295359,TRUE,NA,0.555143978940271,NA,NA,NA,NA,NA,NA
"3898","si:dkey-156n14.3",0.00457016067935095,TRUE,NA,0.556459171734929,NA,NA,NA,NA,NA,NA
"4719","ppiaa",0.00459503857749735,FALSE,NA,0.556459171734929,NA,NA,NA,NA,NA,NA
"10440","hivep2a",0.00482361172935247,TRUE,NA,0.58072336065602,NA,NA,NA,NA,NA,NA
"2285","sv2",0.00488075910403977,TRUE,NA,0.584187137644574,NA,NA,NA,NA,NA,NA
"10695","lrfn2b",0.00491732040510188,FALSE,NA,0.585161128207124,NA,NA,NA,NA,NA,NA
"15475","tcf7l2",0.00494837665703303,TRUE,NA,0.585472587576661,NA,NA,NA,NA,NA,NA
"8872","LOC111577313",0.00497897532266845,FALSE,NA,0.585726656958716,NA,NA,NA,NA,NA,NA
"2960","cygb2",0.00502651732668774,TRUE,NA,0.587689706885069,NA,NA,NA,NA,NA,NA
"6789","agrn",0.00508272249969174,FALSE,NA,0.587689706885069,NA,NA,NA,NA,NA,NA
"9387","sytl5",0.00507804126488815,FALSE,NA,0.587689706885069,NA,NA,NA,NA,NA,NA
"12242","dscama",0.00510984881393245,FALSE,NA,0.587689706885069,NA,NA,NA,NA,NA,NA
"7972","LOC111566140",0.00516152768510709,TRUE,NA,0.588449981010931,NA,NA,NA,NA,NA,NA
"8788","LOC111580339",0.00520220996473452,FALSE,NA,0.588449981010931,NA,NA,NA,NA,NA,NA
"19197","appa",0.0051929988066025,FALSE,NA,0.588449981010931,NA,NA,NA,NA,NA,NA
"15092","llgl2",0.0053184228611914,FALSE,NA,0.598308040674029,NA,NA,NA,NA,NA,NA
"11658","nlgn3a",0.00550157971171058,FALSE,NA,0.612221737972895,NA,NA,NA,NA,NA,NA
"13652","macrod2",0.00549134953672044,FALSE,NA,0.612221737972895,NA,NA,NA,NA,NA,NA
"7516","lmtk3",0.00561997219117828,TRUE,NA,0.622034233869824,NA,NA,NA,NA,NA,NA
"1349","rnf13",0.00578114440316986,TRUE,NA,0.632860658857687,NA,NA,NA,NA,NA,NA
"1807","psmd7",0.00581098424395618,TRUE,NA,0.632860658857687,NA,NA,NA,NA,NA,NA
"4835","rabl6b",0.00584075023961532,TRUE,NA,0.632860658857687,NA,NA,NA,NA,NA,NA
"12336","spns2",0.00579198951486681,TRUE,NA,0.632860658857687,NA,NA,NA,NA,NA,NA
"6661","tspan31",0.00589704877588488,TRUE,NA,0.635615409157812,NA,NA,NA,NA,NA,NA
"7241","LOC111573883",0.0059828301895256,TRUE,NA,0.635872918643806,NA,NA,NA,NA,NA,NA
"11105","LOC129350403",0.00599209919934416,FALSE,NA,0.635872918643806,NA,NA,NA,NA,NA,NA
"13914","LOC111562817",0.00595838365456601,TRUE,NA,0.635872918643806,NA,NA,NA,NA,NA,NA
"5046","rimbp2b",0.00607580833045108,TRUE,NA,0.638176867852022,NA,NA,NA,NA,NA,NA
"9619","hs6st3b",0.00605527086804792,TRUE,NA,0.638176867852022,NA,NA,NA,NA,NA,NA
"5865","grik4",0.00617415160537141,FALSE,NA,0.645214513196859,NA,NA,NA,NA,NA,NA
"14806","rpl38",0.00627396858520681,TRUE,NA,0.652334299311377,NA,NA,NA,NA,NA,NA
"12460","ap4m1",0.00634854539144444,TRUE,NA,0.656771376752094,NA,NA,NA,NA,NA,NA
"7638","shc1",0.00657655230865276,TRUE,NA,0.670254863258586,NA,NA,NA,NA,NA,NA
"11698","LOC111585516",0.00651766298826978,FALSE,NA,0.670254863258586,NA,NA,NA,NA,NA,NA
"12274","robo3",0.00654434662843714,FALSE,NA,0.670254863258586,NA,NA,NA,NA,NA,NA
"17300","kcnh5b",0.00663462415875389,TRUE,NA,0.672842401755006,NA,NA,NA,NA,NA,NA
"554","wtip",0.00675364137862881,TRUE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"909","cdc34a",0.00683501020627206,TRUE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"2930","LOC111574999",0.00668254854592267,FALSE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"4252","ccdc174",0.00681902004216408,TRUE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"5059","pbx3b",0.00671832529246258,TRUE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"14157","LOC111567680",0.00677544991072286,TRUE,NA,0.673264857016856,NA,NA,NA,NA,NA,NA
"2330","ppip5k1b",0.00695359936406169,TRUE,NA,0.678453791980749,NA,NA,NA,NA,NA,NA
"6045","kirrel3b",0.0069462458505045,TRUE,NA,0.678453791980749,NA,NA,NA,NA,NA,NA
"2246","parvb",0.00704010551281393,TRUE,NA,0.683654019775002,NA,NA,NA,NA,NA,NA
"7187","slc9a8",0.00723881966369693,FALSE,NA,0.696381216899667,NA,NA,NA,NA,NA,NA
"10903","elp3",0.00721093777158547,FALSE,NA,0.696381216899667,NA,NA,NA,NA,NA,NA
"102","scml2",0.00729862091531118,TRUE,NA,0.698868412946564,NA,NA,NA,NA,NA,NA
"457","zdhhc7",0.00740312487289061,FALSE,NA,0.700821688308294,NA,NA,NA,NA,NA,NA
"1393","gng12b",0.00742114577409084,TRUE,NA,0.700821688308294,NA,NA,NA,NA,NA,NA
"16904","rtn1a",0.00736790213000243,TRUE,NA,0.700821688308294,NA,NA,NA,NA,NA,NA
