"","gene","av_p.value","singular","warning","av_q.value","d_m_estimate","d_m_p.value","f_m_estimate","f_m_p.value","d_f_estimate","d_f_p.value"
"5760","brpf3a",3.24867458089735e-07,FALSE,NA,5.04594436580477e-05,0.452388235996162,3.71843528222254e-06,0.0158683629899013,0.879193015904656,0.43651987300626,4.80359391372802e-06
"535","cdc42se2",4.03898314866173e-07,FALSE,NA,6.23545562096123e-05,0.481062969217949,1.05848704649758e-06,0.08567609247987,0.411660621325004,0.395386876738079,2.82881471752465e-05
"11100","mau2",6.15617719144834e-07,TRUE,NA,9.44676515649178e-05,0.704709686911231,3.32891947091983e-07,0.281924443928155,0.0563066496604006,0.422785242983076,0.000713767317555319
"20774","abcc1",5.66392390288169e-06,TRUE,NA,0.00086393493160542,0.52450429009894,2.6058567385091e-06,0.186874850410141,0.112552927482202,0.337629439688799,0.00123331196898613
"14621","rmnd5b",7.94220284714905e-06,TRUE,NA,0.00120423650669898,0.504900370918963,3.77487281933537e-05,0.0335527513218439,0.801071609170155,0.471347619597119,7.42808562581536e-05
"14765","znf346",8.69870399607467e-06,FALSE,NA,0.00131113660882846,0.532853289870387,0.000153123939506741,-0.0259167692906681,0.86839854914449,0.558770059161055,3.37367562084959e-05
"14685","LOC111569371",9.11569900823837e-06,FALSE,NA,0.00136590706374621,0.291462927916892,0.000176020817844941,-0.0416385565042323,0.602117100568721,0.333101484421124,1.05947254657685e-05
"3486","LOC111568891",1.79503858400037e-05,FALSE,NA,0.0026739776520609,-0.200802809986172,0.323500658703161,0.633715902633902,0.000895895215704581,-0.834518712620074,1.09951877104635e-05
"3572","crtac1a",2.84702180257493e-05,FALSE,NA,0.00421640618470879,0.698849320155549,1.27591442830602e-05,0.233056489699259,0.168376444816991,0.46579283045629,0.00222454384252227
"15518","ca4a",2.88245222788689e-05,FALSE,NA,0.0042442026358938,0.627911859856014,0.000680183240357813,-0.146562698662628,0.467647800245994,0.774474558518643,2.96479319478181e-05
"19799","LOC111583836",3.22614168486372e-05,TRUE,NA,0.00472296018037549,0.699079048771612,0.000286490541649229,-0.0207509018274185,0.925129319621037,0.71982995059903,0.00014748678991191
"20720","LOC111566885",3.60714427303674e-05,FALSE,NA,0.00525055920383227,0.740223726165287,6.35129802733804e-06,0.405644823934092,0.0177269022918195,0.334578902231195,0.0300946647504885
"23776","LOC111577193",5.3659458790156e-05,FALSE,NA,0.00776629201000933,0.339435581291936,0.00038956360179439,-0.0286585627475396,0.776084185143219,0.368094144039475,8.30784794867519e-05
"13607","napbb",5.50589006457902e-05,FALSE,NA,0.00792381568446449,0.325743661507221,0.000889592894420813,-0.0633822046752355,0.538115267725768,0.389125866182456,4.52306570031347e-05
"14440","st3gal5",5.75082840716086e-05,FALSE,NA,0.0082298231469443,0.346246153123219,5.03470206039729e-05,0.0652770720685017,0.456784329655591,0.280969081054717,0.000654372027056511
"20772","snrnp70",5.91089254121547e-05,FALSE,NA,0.00841162936884814,0.356831010118015,2.46293480948313e-05,0.104709638170054,0.224306031202297,0.252121371947961,0.00195578739365549
"6503","LOC129349168",6.1322031755672e-05,TRUE,NA,0.00867808952729019,0.81882549125027,0.00377393294382237,-0.477217749225926,0.202137580979019,1.2960432404762,7.81460170324123e-05
"22053","LOC129347902",6.26042239636161e-05,FALSE,NA,0.00881059335373035,0.372430093294725,1.08412912419957e-05,0.205250944294123,0.0170324364894735,0.167179149000602,0.0412307255211491
"3351","LOC129348661",6.4348303712587e-05,FALSE,NA,0.00900628758500401,0.0531235740061143,0.851640391854207,0.918796365952315,0.000290024814925033,-0.8656727919462,0.000346932360991348
"755","rwdd3",6.64707144637267e-05,FALSE,NA,0.00920222016051365,0.74713165860569,0.00068031966271951,-0.0704307733275295,0.782438606220127,0.81756243193322,0.000192467726625287
"24002","eed",6.62374881765234e-05,TRUE,NA,0.00920222016051365,0.572270172079986,1.25507629816114e-05,0.319331048072079,0.0192529944734591,0.252939124007907,0.0323673266457589
"18266","derl2",7.09319311745675e-05,TRUE,NA,0.00976675179897166,0.373622424964942,0.00106597954152234,-0.0812254399225867,0.512938618621763,0.454847864887528,6.80871167702718e-05
"15048","LOC111582645",7.39230960171669e-05,TRUE,NA,0.010123887230351,0.106859926908231,0.684997518937986,0.845897844600289,0.000248429532021533,-0.739037917692057,0.000694859449038179
"17634","LOC111565980",7.46354347268037e-05,FALSE,NA,0.0101667830416891,0.197193215178943,0.320090290337556,-0.709578601844598,0.00136035938192583,0.906771817023541,1.95419950311901e-05
"17569","LOC111578744",7.86783188252776e-05,FALSE,NA,0.0106604936991292,0.370351459674118,5.4087997031875e-05,0.0849760495938489,0.37621507643657,0.28537541008027,0.00133102739738998
"14543","apool",8.80990699886803e-05,TRUE,NA,0.0118737968773632,0.411495198325535,0.000171278460035955,0.431858823013048,7.54004132967046e-05,-0.0203636246875128,0.83527015927331
"6003","dmtn",9.03337903536017e-05,FALSE,NA,0.0121109086404068,0.3056269735134,0.000117838364922134,0.0341217896364093,0.670395789166075,0.271505183876991,0.000403202443388126
"19562","pvalb6",0.000100183744407562,FALSE,NA,0.0133611545617477,0.342559602703361,0.00331814623187497,-0.136567415372725,0.285610809826073,0.479127018076086,5.04416229019016e-05
"22525","LOC111569575",0.000109250545832742,FALSE,NA,0.0144944747604033,0.361948968569393,0.00123777158081759,-0.0732975282910522,0.538963679433186,0.435246496860446,9.19542930978255e-05
"20780","LOC111586729",0.000112036643270098,TRUE,NA,0.0147870954094259,0.400743589357331,0.00231568373531191,-0.124923363549907,0.391606790281928,0.525666952907239,8.02164949129616e-05
"15927","zgc:136493",0.000119048312853913,TRUE,NA,0.0156315343985965,0.501119976822432,0.0151702291252387,-0.455237341716304,0.0761350223607163,0.956357318538736,4.32470676044199e-05
"509","LOC111585013",0.000128462908079907,FALSE,NA,0.0166955900893851,0.308685025852706,0.00431658334173032,-0.126877008182407,0.26951861020543,0.435562034035113,5.06406592877912e-05
"19547","LOC118471785",0.000127976078312273,FALSE,NA,0.0166955900893851,0.0925187357190582,0.528428520658978,-0.564302674492279,0.000719111623797916,0.656821410211337,4.73837338306768e-05
