"","gene","av_p.value","singular","warning","av_q.value","d_m_estimate","d_m_p.value","f_m_estimate","f_m_p.value","d_f_estimate","d_f_p.value"
"16307","syne1b",6.53195792088123e-05,TRUE,NA,0.0166878800285163,1.29928298402974,1.20596802567699e-05,0.888764808070233,0.00339806350834316,0.410518175959508,0.123106062969759
"4625","slc39a14",0.000112654045073094,TRUE,NA,0.0284119278804859,1.00103196032872,0.00112200658421501,-0.155399899228213,0.655532677145139,1.15643185955694,0.000182778742669524
"14248","ccser2b",0.000162954465687649,TRUE,NA,0.0405777246709801,1.04400469326986,0.000573726920176281,0.0138079729663338,0.967022107544194,1.03019672030353,0.000486296925555919
"15796","si:ch211-266o15.1",0.000167519767932217,FALSE,NA,0.0411931109345321,1.52289822048691,0.00128689501839053,-0.0438905858127785,0.937730796012378,1.56678880629969,0.000614833009594443
"16741","LOC111563662",0.000264415058907225,TRUE,NA,0.0642169510965795,NA,NA,NA,NA,NA,NA
"18590","LOC111573844",0.00037678583873334,TRUE,NA,0.0903918417019787,NA,NA,NA,NA,NA,NA
"7060","LOC111583482",0.000484379275891587,TRUE,NA,0.114803724281196,NA,NA,NA,NA,NA,NA
"14116","ppp1r9bb",0.000498021123123737,TRUE,NA,0.116631803977264,NA,NA,NA,NA,NA,NA
"604","nadsyn1",0.000658095224256378,TRUE,NA,0.152306461783194,NA,NA,NA,NA,NA,NA
"15784","alk",0.000718485577254292,TRUE,NA,0.164349398555191,NA,NA,NA,NA,NA,NA
"10114","cnih3",0.000736453362383816,FALSE,NA,0.166523109710511,NA,NA,NA,NA,NA,NA
"13739","LOC111566186",0.000754390048606039,TRUE,NA,0.168640466320204,NA,NA,NA,NA,NA,NA
"16571","si:dkeyp-27e10.3",0.000821522305569315,TRUE,NA,0.180418796184668,NA,NA,NA,NA,NA,NA
"17766","ppp1r14bb",0.000825421495354826,TRUE,NA,0.180418796184668,NA,NA,NA,NA,NA,NA
"5431","rufy3",0.000840732247231331,FALSE,NA,0.181745986456426,NA,NA,NA,NA,NA,NA
"13558","LOC111575345",0.000884045525349498,TRUE,NA,0.186999393276079,NA,NA,NA,NA,NA,NA
"15519","smg1",0.000878163210411155,TRUE,NA,0.186999393276079,NA,NA,NA,NA,NA,NA
"18230","dock9b",0.000929180210739558,TRUE,NA,0.1944556713369,NA,NA,NA,NA,NA,NA
"13921","tpm2",0.00100121314201413,TRUE,NA,0.207324893996863,NA,NA,NA,NA,NA,NA
"16928","b2m",0.00105870398082263,TRUE,NA,0.216946090736905,NA,NA,NA,NA,NA,NA
"2729","pgam1b",0.00111205565284462,TRUE,NA,0.225529472193395,NA,NA,NA,NA,NA,NA
"6314","LOC111582027",0.00116251680530063,TRUE,NA,0.232832840789305,NA,NA,NA,NA,NA,NA
"15432","dnm2a",0.00117173908286606,TRUE,NA,0.232832840789305,NA,NA,NA,NA,NA,NA
"14420","csdc2a",0.00119832160559553,TRUE,NA,0.235733826252752,NA,NA,NA,NA,NA,NA
"12375","ctdp1",0.00128025533901726,TRUE,NA,0.249358247813342,NA,NA,NA,NA,NA,NA
"3402","LOC111575053",0.00131942305360156,TRUE,NA,0.254467552063234,NA,NA,NA,NA,NA,NA
"18129","LOC111579701",0.00148089428351314,TRUE,NA,0.282836430536606,NA,NA,NA,NA,NA,NA
"1255","kdm4b",0.00179357157620311,TRUE,NA,0.339260961991035,NA,NA,NA,NA,NA,NA
"4890","rorb",0.00181592265326116,TRUE,NA,0.340217432713844,NA,NA,NA,NA,NA,NA
"4954","trpm3",0.00184351139716175,TRUE,NA,0.342127888726093,NA,NA,NA,NA,NA,NA
"11215","dpysl3",0.00188151864133916,TRUE,NA,0.345918081424524,NA,NA,NA,NA,NA,NA
"4286","LOC111585083",0.00193272211417708,TRUE,NA,0.348812013120106,NA,NA,NA,NA,NA,NA
"5767","clmpb",0.00193179478494191,TRUE,NA,0.348812013120106,NA,NA,NA,NA,NA,NA
"7207","LOC111585488",0.00199153569088206,FALSE,NA,0.356159001009381,NA,NA,NA,NA,NA,NA
"15272","shank1",0.00212768098680274,TRUE,NA,0.377078742093545,NA,NA,NA,NA,NA,NA
"10786","spock1",0.00214685249717186,FALSE,NA,0.377079306467542,NA,NA,NA,NA,NA,NA
"5923","appbp2",0.00218745799554775,TRUE,NA,0.377934457483685,NA,NA,NA,NA,NA,NA
"12745","arid5b",0.00220935657841723,TRUE,NA,0.377934457483685,NA,NA,NA,NA,NA,NA
"14511","snx29",0.00220751430235724,TRUE,NA,0.377934457483685,NA,NA,NA,NA,NA,NA
"5654","zgc:172282",0.00245577716037542,TRUE,NA,0.416465933611253,NA,NA,NA,NA,NA,NA
"10869","nexmifb",0.00260353959239147,TRUE,NA,0.437750691124145,NA,NA,NA,NA,NA,NA
"11996","LOC111569699",0.00266977890964781,TRUE,NA,0.445083819581286,NA,NA,NA,NA,NA,NA
"6569","LOC111566229",0.00276270646839015,TRUE,NA,0.456705560051858,NA,NA,NA,NA,NA,NA
"7341","tmem245",0.00281709474025271,TRUE,NA,0.461815731085428,NA,NA,NA,NA,NA,NA
"7111","eif2s2",0.0028726939981517,TRUE,NA,0.467038316790415,NA,NA,NA,NA,NA,NA
"7885","znf407",0.00297136102526683,TRUE,NA,0.478185223388592,NA,NA,NA,NA,NA,NA
"13210","smap1",0.00301290329937893,FALSE,NA,0.478185223388592,NA,NA,NA,NA,NA,NA
"13396","LOC111565980",0.00301418095263244,TRUE,NA,0.478185223388592,NA,NA,NA,NA,NA,NA
"776","ddb1",0.00326875465229288,TRUE,NA,0.498472414882989,NA,NA,NA,NA,NA,NA
"6182","LOC129349260",0.00319765951631511,FALSE,NA,0.498472414882989,NA,NA,NA,NA,NA,NA
"6646","dnajc5aa",0.00322248574011464,TRUE,NA,0.498472414882989,NA,NA,NA,NA,NA,NA
"8800","LOC111563871",0.00318950471179816,TRUE,NA,0.498472414882989,NA,NA,NA,NA,NA,NA
"9425","gulp1a",0.00325476382647776,FALSE,NA,0.498472414882989,NA,NA,NA,NA,NA,NA
"1243","crtc1b",0.00339777899782697,TRUE,NA,0.514162372655786,NA,NA,NA,NA,NA,NA
"7619","sema6e",0.00344216994865358,FALSE,NA,0.516903566640559,NA,NA,NA,NA,NA,NA
"8940","sytl5",0.0034775142525625,FALSE,NA,0.518255002851587,NA,NA,NA,NA,NA,NA
"12554","sfpq",0.00350482100913806,FALSE,NA,0.518397284900481,NA,NA,NA,NA,NA,NA
"2250","mgat4c",0.00358891337061182,TRUE,NA,0.519125763431439,NA,NA,NA,NA,NA,NA
"14351","kdelr2b",0.0035876118605924,TRUE,NA,0.519125763431439,NA,NA,NA,NA,NA,NA
"16836","tmtc2a",0.00354066933997604,FALSE,NA,0.519125763431439,NA,NA,NA,NA,NA,NA
"2344","LOC111567080",0.00369513052472708,TRUE,NA,0.530588377244022,NA,NA,NA,NA,NA,NA
"6663","pqbp1",0.00381529313334325,TRUE,NA,0.54387280086325,NA,NA,NA,NA,NA,NA
"6092","LOC111586943",0.00391920604502489,TRUE,NA,0.5519717232348,NA,NA,NA,NA,NA,NA
"7877","psma2a",0.00392822495185401,TRUE,NA,0.5519717232348,NA,NA,NA,NA,NA,NA
"7110","LOC111577703",0.00397235944945382,TRUE,NA,0.55421457510394,NA,NA,NA,NA,NA,NA
"125","marchf7",0.0040143230631492,TRUE,NA,0.556125093649797,NA,NA,NA,NA,NA,NA
"5833","LOC111566020",0.00435235384142273,TRUE,NA,0.590479343230813,NA,NA,NA,NA,NA,NA
"6069","LOC111583325",0.00434615064762203,TRUE,NA,0.590479343230813,NA,NA,NA,NA,NA,NA
"13835","LOC111583882",0.00429248965828523,TRUE,NA,0.590479343230813,NA,NA,NA,NA,NA,NA
"8301","hs2st1a",0.00447900981742958,TRUE,NA,0.603500555674484,NA,NA,NA,NA,NA,NA
"1177","acsbg2",0.00461755335683363,TRUE,NA,0.609641004265981,NA,NA,NA,NA,NA,NA
"2891","mast1a",0.00461147556297238,TRUE,NA,0.609641004265981,NA,NA,NA,NA,NA,NA
"6262","arhgap4b",0.00455957354606521,TRUE,NA,0.609641004265981,NA,NA,NA,NA,NA,NA
"6524","LOC129349531",0.00468514677293108,TRUE,NA,0.610372233888081,NA,NA,NA,NA,NA,NA
"15602","usp7",0.00465595764656925,TRUE,NA,0.610372233888081,NA,NA,NA,NA,NA,NA
"4959","LOC111570773",0.00474859129044589,TRUE,NA,0.614567683326655,NA,NA,NA,NA,NA,NA
