"","gene","av_p.value","singular","warning","av_q.value","d_m_estimate","d_m_p.value","f_m_estimate","f_m_p.value","d_f_estimate","d_f_p.value"
"16351","ddhd1a",0.00581962376605827,TRUE,NA,0.681343929643905,NA,NA,NA,NA,NA,NA
"9542","tmem163a",0.00619669501723031,FALSE,NA,0.718028602979184,NA,NA,NA,NA,NA,NA
"11452","LOC111567431",0.00654389295216589,FALSE,NA,0.753901598385732,NA,NA,NA,NA,NA,NA
"17425","phlda1",0.00677772824320874,TRUE,NA,0.776379087790642,NA,NA,NA,NA,NA,NA
"14299","LOC111564555",0.00695109892600433,TRUE,NA,0.782818702644286,NA,NA,NA,NA,NA,NA
"17252","plxna4",0.00689804596296792,TRUE,NA,0.782818702644286,NA,NA,NA,NA,NA,NA
"17337","b2m",0.00692185750669354,TRUE,NA,0.782818702644286,NA,NA,NA,NA,NA,NA
"2390","cbln1",0.00709104878416748,TRUE,NA,0.794118234231404,NA,NA,NA,NA,NA,NA
"45","pias1a",0.00715184542067014,FALSE,NA,0.794237480007699,NA,NA,NA,NA,NA,NA
"8517","LOC111580339",0.00717135507739168,FALSE,NA,0.794237480007699,NA,NA,NA,NA,NA,NA
"6597","LOC111571774",0.00745298420286,TRUE,NA,0.814608148033484,NA,NA,NA,NA,NA,NA
"9353","tlk1a",0.00751783435030403,FALSE,NA,0.814608148033484,NA,NA,NA,NA,NA,NA
"16479","hspa4l",0.00750622851169225,TRUE,NA,0.814608148033484,NA,NA,NA,NA,NA,NA
"17911","tnk2a",0.0074852635280581,TRUE,NA,0.814608148033484,NA,NA,NA,NA,NA,NA
"12550","hpca",0.00756100623273294,FALSE,NA,0.814881349147121,NA,NA,NA,NA,NA,NA
"10166","LOC111564633",0.00781609262910195,FALSE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"12979","rgs17",0.00790911462266084,TRUE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"15827","sdk2a",0.00794169821753465,TRUE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"16561","LOC111562598",0.00790358286743498,TRUE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"17504","rsu1",0.0079695089581423,TRUE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"18694","rcbtb1",0.00794509006162536,TRUE,NA,0.832066544661044,NA,NA,NA,NA,NA,NA
"8023","LOC111580028",0.00803264214048419,TRUE,NA,0.834312665016301,NA,NA,NA,NA,NA,NA
"4059","kdm5ba",0.00811274280655512,TRUE,NA,0.836745039400362,NA,NA,NA,NA,NA,NA
"11825","akap10",0.00818128443193011,TRUE,NA,0.836745039400362,NA,NA,NA,NA,NA,NA
"14470","LOC111586470",0.00815832056421088,FALSE,NA,0.836745039400362,NA,NA,NA,NA,NA,NA
"13243","mcu",0.00830090620942652,TRUE,NA,0.844669877533828,NA,NA,NA,NA,NA,NA
"6202","pak1",0.00843698215214152,FALSE,NA,0.854180526372873,NA,NA,NA,NA,NA,NA
"9364","pdk1",0.00868937995019613,TRUE,NA,0.875313117998149,NA,NA,NA,NA,NA,NA
"156","tpp2",0.0089668363526949,TRUE,NA,0.89874600763061,NA,NA,NA,NA,NA,NA
"8036","emc2",0.00916903754896299,TRUE,NA,0.912916182335671,NA,NA,NA,NA,NA,NA
"12301","ripor2",0.00919929506294551,TRUE,NA,0.912916182335671,NA,NA,NA,NA,NA,NA
"3726","pmepa1",0.00959572724845439,FALSE,NA,0.94292131579665,NA,NA,NA,NA,NA,NA
"14305","vldlr",0.00958026874891735,FALSE,NA,0.94292131579665,NA,NA,NA,NA,NA,NA
"1124","ncbp2",0.00971535625836351,TRUE,NA,0.950019666122707,NA,NA,NA,NA,NA,NA
