"","cluster","p","d_m_p.value","f_m_p.value","d_f_p.value","d_m_estimate","f_m_estimate","d_f_estimate","av_q.value","sig"
"1","25",0.426782087512679,0.434153409692736,0.195374390734812,0.625342527989126,-0.14623119053474,-0.2397316827358,0.0935004922010597,0.474202319458532,NA
"2","24",0.000115228660335411,0.228579278353171,0.00388760618206907,4.50739123153395e-05,0.178102471001601,-0.489306990821775,0.667409461823376,0.000768191068902737,"*"
"3","23",0.295991295169588,0.120775689907855,0.490690921225563,0.35945742311233,-0.235665834764769,-0.0977207436359771,-0.137945091128792,0.348225053140691,NA
"4","22",0.00342943696763275,0.377649567086004,0.0148185199753401,0.00122650657842622,0.110511365115965,-0.367663497373212,0.478174862489177,0.013717747870531,"*"
"5","21",0.207451669779539,0.216117463659728,0.663273764784076,0.0860188972121289,0.168454261239869,-0.0605953079029922,0.229049569142861,0.259314587224423,NA
"6","19",0.0244066184245106,0.0527989614326834,0.515431854628781,0.0084703216658332,-0.229042583774645,0.0693523025753189,-0.298394886349964,0.0443756698627466,"*"
"7","18",0.0197768942022018,0.0276844697451274,0.00881635014054623,0.714686677204725,0.258073176885772,0.296579164182241,-0.0385059872964685,0.0439486537826706,"*"
"8","17",0.0222334680200474,0.0066681093622476,0.27202426282589,0.085748843965851,0.293839083572745,0.119867726965203,0.173971356607542,0.0443756698627466,"*"
"9","16",0.928518204722519,0.757816410418371,0.970253147206444,0.72166850718266,0.0329246221190863,-0.00389287446490751,0.0368174965839938,0.928518204722519,NA
"10","14",0.00515362767399095,0.00162977781019206,0.0225856059691297,0.326945056039837,0.338232445880657,0.242811918739414,0.0954205271412428,0.0168964895572813,"*"
"11","12",0.0887464719943323,0.0280738028832508,0.270342758853748,0.242261996411801,-0.19906384728844,-0.0942480082650016,-0.104815839023438,0.14791078665722,NA
"12","10",0.176120147210371,0.15447633332955,0.765400036428346,0.0774201222123231,-0.119395833773419,0.0234750305569379,-0.142870864330356,0.234826862947161,NA
"13","9",0.000222518178073245,0.439468001674049,0.000113037234759877,0.00211660159336561,-0.0622893089158063,-0.319880564450063,0.257591255534256,0.00111259089036623,"*"
"14","8",0.106447619571241,0.509619363772609,0.0401420996279972,0.16781666046467,0.0520826550190971,0.154115889645194,-0.102033234626097,0.160651861820575,NA
"15","7",1.37194697287254e-11,0.0963253011474033,8.34587403394288e-07,4.88571434576212e-11,-0.138412650045143,0.3597269176014,-0.498139567646543,2.74389394574509e-10,"*"
"16","6",0.0180310893618136,0.509619474388895,0.00737605686062671,0.044398356497564,0.0520826550183788,0.199498013474459,-0.14741535845608,0.0439486537826706,"*"
"17","5",0.636747421264869,0.589488828319765,0.696322604956042,0.343285111706343,-0.0397171162050454,0.027451414291694,-0.0671685304967393,0.670260443436704,NA
"18","4",0.00591377134504844,0.0415592863513359,0.270009397972216,0.00153924968819733,-0.138053327153547,0.0678445181053229,-0.20589784525887,0.0168964895572813,"*"
"19","3",0.112456303274402,0.466091618274853,0.0396701863803122,0.191317927015235,-0.044143234582122,-0.12260600220419,0.0784627676220681,0.160651861820575,NA
"20","0",2.99276870725766e-05,0.0379881711878983,0.0161321791304694,5.22447588831847e-06,0.0808630787723007,-0.0926186599221108,0.173481738694411,0.000299276870725766,"*"
