,gene,gene_name,f_m_estimate,f_m_p.value,d_m_estimate,d_m_p.value,d_f_estimate,d_f_p.value,av_p.value,warning,singular,av_q.value,cluster,full_label,first_word,second_word,short_label
8349,apoeb,apolipoprotein b,2.381204647,5.20E-05,0.585370649,0.362036196,-1.795833998,1.52E-05,5.48E-07,NA,FALSE,0.000103475,17,Late upregulated_1,Late,Upregulated,Late Upregulated
11721,cd74a,cd74a,2.116990533,0.00243619,-0.217439447,0.791454606,-2.33442998,0.000566789,0.000268888,NA,FALSE,0.048983307,17,Late upregulated_1,Late,Upregulated,Late Upregulated
2431,grm8b,"glutamate receptor, metabotropic 8b",0.968267103,0.000126136,0.314035038,0.251611714,-0.654232065,0.004907339,0.000202684,NA,FALSE,0.030890853,19,Late upregulated_1,Late,Upregulated,Late Upregulated
15076,LOC111584347,corticotropin-releasing factor receptor 1,0.364492563,3.06E-10,-0.617697318,2.56E-50,-0.982189881,2.20E-130,2.33E-177,NA,FALSE,4.64E-175,19,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
224,slc39a13,solute carrier family 39 member 13,-1.34552053,0.000235278,-1.120597073,0.001082179,0.224923457,0.58041638,0.000117332,NA,FALSE,0.008478812,2,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
3123,prkcaa,"protein kinase C, alpha, a",-0.277866479,0.06150404,0.342565973,0.012562863,0.620432452,2.63E-06,1.25E-05,NA,FALSE,0.000906371,2,"Transiently upregulated, full rebound",Transiently,Upregulated,Transiently Upregulated
3812,sorcs3a,sortilin related VPS10 domain containing receptor 3a,-0.635004807,0.000679523,-0.664062318,0.000303327,-0.029057511,0.874443924,0.000282921,NA,FALSE,0.020168626,2,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
11083,tnfaip2a,"tumor necrosis factor, alpha-induced protein 2a",1.232109775,0.00374648,0.021673639,0.965532957,-1.210436136,0.001021104,0.000347311,NA,FALSE,0.024592683,2,Late upregulated_1,Late,Upregulated,Late Upregulated
15586,wdr5,WD repeat domain 5,-1.39880948,0.000247865,-0.905765598,0.005648229,0.493043883,0.230903198,0.000317519,NA,FALSE,0.022558832,2,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
19317,ptgdsb.1,"prostaglandin D2 synthase b, tandem duplicate 1",1.388061883,0.00052543,0.214383037,0.590026908,-1.173678846,0.001742635,0.000590232,NA,FALSE,0.04110392,2,Late upregulated_1,Late,Upregulated,Late Upregulated
19361,jph1a,junctophilin 1a,0.545303071,0.00030443,0.556479427,0.00026572,0.011176356,0.926394285,0.000398082,NA,FALSE,0.027999775,2,"Early upregulated, no rebound",Early,Upregulated,Early Upregulated
20224,ehbp1l1a,EH domain binding protein 1-like 1a,0.647574527,0.000104832,0.383982001,0.023346717,-0.263592526,0.07198527,0.000531647,NA,FALSE,0.037146622,2,"Early upregulated, no rebound",Early,Upregulated,Early Upregulated
2397,cpne2,copine II,-1.443940181,0.000742236,0.114779862,0.692665922,1.558720043,0.000163418,0.000609107,NA,FALSE,0.047892279,20,Late_downregulated_1,Late,Downregulated,Late Downregulated
1815,LOC111572082,fibroblast growth factor 6,0.066544399,0.318582719,-0.281407303,2.20E-09,-0.347951702,1.77E-13,2.64E-20,NA,FALSE,5.93E-18,22,"Transiently downregulated, full rebound",Transiently,Downregulated,Transiently Downregulated
13014,spns2,"SPNS lysolipid transporter 2, sphingosine-1-phosphate",0.1738927,0.000746466,0.352154022,3.08E-22,0.178261322,1.16E-06,2.91E-26,NA,FALSE,6.90E-24,22,"Transiently upregulated, reduced rebound",Transiently,Upregulated,Transiently Upregulated
14078,shisa9a,shisa family member 9a,0.276781365,3.32E-09,0.178627809,6.56E-08,-0.098153556,0.002962303,5.77E-09,NA,FALSE,8.43E-07,23,Progressively upregulated,Progressively,Upregulated,Progressively Upregulated
11884,hspa4a,heat shock protein 4a,-0.102477209,0.146230817,-0.314402573,1.88E-10,-0.211925364,2.66E-05,2.33E-13,NA,FALSE,3.53E-11,24,"Transiently downregulated, full rebound",Transiently,Downregulated,Transiently Downregulated
17438,slc4a11,solute carrier family 4 member 11,0.351399994,4.57E-14,0.018582099,0.573288543,-0.332817895,3.92E-24,4.32E-23,NA,FALSE,6.74E-21,24,Late upregulated_1,Late,Upregulated,Late Upregulated
7860,camk2n1a,calcium/calmodulin-dependent protein kinase II inhibitor 1a,-0.27051563,2.70E-05,-0.242456118,9.10E-08,0.028059511,0.538319755,5.27E-07,NA,FALSE,6.56E-05,25,"Early downregulated, no rebound",Early,Downregulated,Early Downregulated
10749,plp1b,proteolipid protein 1b,0.523000262,0.510596135,-2.499642466,1,-3.022642728,0.00014176,0,NA,FALSE,0,25,Late upregulated_2,Late,Upregulated,Late Upregulated
17268,LOC111563020,cyclic AMP-responsive element-binding protein 1,0.024279115,0.976648705,-0.379001525,0.644834569,-0.40328064,9.81E-19,2.87E-18,NA,FALSE,3.64E-16,25,Late upregulated_2,Late,Upregulated,Late Upregulated
7103,gria2b,"glutamater receptor, ionotropic, AMPA2b",0.028257392,0.667937931,-0.836829482,2.94E-73,-0.865086874,1.69E-76,6.23E-147,NA,FALSE,1.80E-144,26,"Transiently downregulated, full rebound",Transiently,Downregulated,Transiently Downregulated
10544,LOC118471377,NA,0.178243221,0.069736235,0.377689345,5.70E-08,0.199446123,0.004064017,6.46E-09,NA,FALSE,1.61E-06,26,"Transiently upregulated, full rebound",Transiently,Upregulated,Transiently Upregulated
2102,hprt1l,"hypoxanthine phosphoribosyltransferase 1, like",0.477232063,0.003891837,-0.258317108,0.149815815,-0.735549171,1.15E-05,3.41E-05,NA,FALSE,0.003395118,3,Late upregulated_1,Late,Upregulated,Late Upregulated
14973,tshz1,teashirt zinc finger homeobox 1,0.520674446,0.062030162,1.053484727,4.74E-05,0.53281028,0.025542118,0.000189384,NA,FALSE,0.018542981,3,"Transiently upregulated, full rebound",Transiently,Upregulated,Transiently Upregulated
15981,zgc:110319,uncharacterized LOC111564387,0.796832101,0.000385919,0.137722744,0.562475659,-0.659109357,0.001342429,0.000260876,NA,FALSE,0.025331,3,Late upregulated_1,Late,Upregulated,Late Upregulated
16261,pik3ap1,phosphoinositide-3-kinase adaptor protein 1,1.006834707,0.001657196,-0.069768804,0.848594365,-1.076603511,0.000447012,0.000216799,NA,FALSE,0.021138784,3,Late upregulated_1,Late,Upregulated,Late Upregulated
5096,kif5ab,"kinesin family member 5A, b",-0.427900844,0.009102909,0.22048009,0.161672252,0.648380934,8.89E-05,0.000392174,NA,FALSE,0.039641352,4,Late_downregulated_1,Late,Downregulated,Late Downregulated
6099,pdlim5a,PDZ and LIM domain 5a,0.328338332,0.049996275,-0.437946946,0.026523566,-0.766285278,4.50E-05,0.00022276,NA,FALSE,0.022929962,4,"Transiently downregulated, high rebound",Transiently,Downregulated,Transiently Downregulated
