"","individual","Status","total_cells","res0.8_50nn_40PC_45LSI","ncells"
"1","A12D","E",2573,"0",413
"2","A12D","E",2573,"1",313
"3","A12D","E",2573,"2",212
"4","A12D","E",2573,"3",143
"5","A12D","E",2573,"4",106
"6","A12D","E",2573,"5",107
"7","A12D","E",2573,"6",81
"8","A12D","E",2573,"7",63
"9","A12D","E",2573,"8",98
"10","A12D","E",2573,"9",190
"11","A12D","E",2573,"10",87
"12","A12D","E",2573,"11",103
"13","A12D","E",2573,"12",74
"14","A12D","E",2573,"13",59
"15","A12D","E",2573,"14",64
"16","A12D","E",2573,"15",104
"17","A12D","E",2573,"16",54
"18","A12D","E",2573,"17",60
"19","A12D","E",2573,"18",50
"20","A12D","E",2573,"19",26
"21","A12D","E",2573,"20",35
"22","A12D","E",2573,"21",29
"23","A12D","E",2573,"22",25
"24","A12D","E",2573,"23",18
"25","A12D","E",2573,"24",29
"26","A12D","E",2573,"25",9
"27","A12D","E",2573,"26",21
"28","A22D","D",1458,"0",279
"29","A22D","D",1458,"1",115
"30","A22D","D",1458,"2",109
"31","A22D","D",1458,"3",92
"32","A22D","D",1458,"4",116
"33","A22D","D",1458,"5",80
"34","A22D","D",1458,"6",58
"35","A22D","D",1458,"7",59
"36","A22D","D",1458,"8",74
"37","A22D","D",1458,"9",39
"38","A22D","D",1458,"10",29
"39","A22D","D",1458,"11",46
"40","A22D","D",1458,"12",33
"41","A22D","D",1458,"13",51
"42","A22D","D",1458,"14",59
"43","A22D","D",1458,"15",23
"44","A22D","D",1458,"16",11
"45","A22D","D",1458,"17",27
"46","A22D","D",1458,"18",42
"47","A22D","D",1458,"19",22
"48","A22D","D",1458,"20",21
"49","A22D","D",1458,"21",32
"50","A22D","D",1458,"22",14
"51","A22D","D",1458,"23",11
"52","A22D","D",1458,"24",4
"53","A22D","D",1458,"25",9
"54","A22D","D",1458,"26",3
"55","A25D","D",1516,"0",314
"56","A25D","D",1516,"1",236
"57","A25D","D",1516,"2",147
"58","A25D","D",1516,"3",53
"59","A25D","D",1516,"4",55
"60","A25D","D",1516,"5",32
"61","A25D","D",1516,"6",46
"62","A25D","D",1516,"7",55
"63","A25D","D",1516,"8",53
"64","A25D","D",1516,"9",52
"65","A25D","D",1516,"10",47
"66","A25D","D",1516,"11",56
"67","A25D","D",1516,"12",28
"68","A25D","D",1516,"13",38
"69","A25D","D",1516,"14",39
"70","A25D","D",1516,"15",59
"71","A25D","D",1516,"16",27
"72","A25D","D",1516,"17",24
"73","A25D","D",1516,"18",27
"74","A25D","D",1516,"19",23
"75","A25D","D",1516,"20",31
"76","A25D","D",1516,"21",7
"77","A25D","D",1516,"22",28
"78","A25D","D",1516,"23",7
"79","A25D","D",1516,"24",14
"80","A25D","D",1516,"25",10
"81","A25D","D",1516,"26",8
"82","B21F","F",1657,"0",328
"83","B21F","F",1657,"1",172
"84","B21F","F",1657,"2",141
"85","B21F","F",1657,"3",117
"86","B21F","F",1657,"4",67
"87","B21F","F",1657,"5",84
"88","B21F","F",1657,"6",85
"89","B21F","F",1657,"7",44
"90","B21F","F",1657,"8",79
"91","B21F","F",1657,"9",36
"92","B21F","F",1657,"10",64
"93","B21F","F",1657,"11",39
"94","B21F","F",1657,"12",71
"95","B21F","F",1657,"13",54
"96","B21F","F",1657,"14",44
"97","B21F","F",1657,"15",42
"98","B21F","F",1657,"16",39
"99","B21F","F",1657,"17",21
"100","B21F","F",1657,"18",33
