"","cluster","gene","Time_estimate","Time_p.value","Time_q.value"
"1",9,"LOC129348986",5.37332663090254e-05,0.828505421679804,0.99764820355292
"2",9,"trip4",-2.27371744146482e-05,0.875453574770649,0.99764820355292
"3",9,"chrna7a",2.86969803481865e-06,0.840355530023711,0.99764820355292
"4",9,"cln6a",-1.23867111386407e-05,0.918142378813348,0.998355827060693
"5",9,"LOC118470268",-1.15662216761686e-05,0.729454836145755,0.995751195679336
"6",9,"calml4a",1.67155881996025e-05,0.547048493452111,0.994079288185125
"7",9,"LOC111568352",3.82902360237987e-05,0.0806670857020284,0.994079288185125
"8",9,"rps17",-7.32031493861013e-06,0.922283737550195,0.998355827060693
"9",9,"csnk1g1",0.00013889184821235,0.37346654044395,0.994079288185125
"10",9,"LOC111571203",5.56600803925409e-05,0.316014289324147,0.994079288185125
"11",9,"neo1a",0.00030197687993591,0.171342975787148,0.994079288185125
"12",9,"LOC129349243",-2.25936220561938e-06,0.951900494196417,0.998772439579712
"13",9,"LOC111567962",0.000241494720326032,0.133294276712345,0.994079288185125
"14",9,"bbs4",-7.0401698480059e-05,0.475182661293855,0.994079288185125
"15",9,"scamp2l",-0.00011024069917581,0.159983998554256,0.994079288185125
"16",9,"LOC129347348",1.3425025369957e-05,0.516451891426009,0.994079288185125
"17",9,"myo9aa",1.49904653542825e-05,0.671706033897321,0.994079288185125
"18",9,"senp8",5.62219414335461e-05,0.131310330963257,0.994079288185125
"19",9,"LOC111580711",6.19561356074819e-05,0.46064321663155,0.994079288185125
"20",9,"anp32a",9.6541716216384e-05,0.136431355117276,0.994079288185125
"21",9,"coro2ba",0.000286098903191872,0.0588891588656608,0.994079288185125
"22",9,"itga11a",0.000434318461658575,0.0312544852999036,0.994079288185125
"23",9,"LOC111564424",-1.37747047394612e-06,0.970314683144143,0.999125694599231
"24",9,"LOC129349160",1.25663129755107e-05,0.353668541895054,0.994079288185125
"25",9,"LOC111564416",4.10872489058385e-07,0.993305639979789,0.99952167860879
"26",9,"cpeb1b",-7.18332326336568e-05,0.219162680636731,0.994079288185125
"27",9,"LOC111564421",-3.41315766772119e-06,0.918205353035766,0.998355827060693
"28",9,"LOC111564418",-4.67168633298297e-06,0.929245525891975,0.998355827060693
"29",9,"LOC111564417",-1.18288781069218e-06,0.968625165619826,0.999125694599231
"30",9,"LOC111564410",1.77209676462712e-05,0.888329962618472,0.99764820355292
"31",9,"cars1",0.000216603086299227,0.0639986791980397,0.994079288185125
"32",9,"pex16",9.73442567712676e-05,0.190146848157966,0.994079288185125
"33",9,"arfgap2",0.000128451796926309,0.354855197669093,0.994079288185125
"34",9,"LOC118469870",-2.79848046744088e-05,0.477649373485893,0.994079288185125
"35",9,"glceb",0.000234987052066577,0.250202367647156,0.994079288185125
"36",9,"paqr5b",2.58408492866171e-07,0.995340256298286,0.99952167860879
"37",9,"LOC111564414",1.74279920892396e-05,0.288710205063019,0.994079288185125
"38",9,"tle3b",-6.41634439212224e-05,0.56891913441891,0.994079288185125
"39",9,"uacab",-0.000337907232067643,0.0167196197166763,0.994079288185125
"40",9,"LOC111564639",0.000240290206991395,0.0437676728199212,0.994079288185125
"41",9,"rxfp3.3a1",-1.80698399777003e-05,0.517817099407902,0.994079288185125
"42",9,"pias1a",0.000144553670554538,0.370025167483876,0.994079288185125
"43",9,"skor1a",2.43867121809819e-05,0.317446762119481,0.994079288185125
"44",9,"map2k5",0.000116295937329359,0.381728409525313,0.994079288185125
"45",9,"smad3a",-1.59974826724058e-06,0.977679339285103,0.999125694599231
"46",9,"tmem208",-7.41182433954512e-05,0.0731097994675216,0.994079288185125
"47",9,"slc39a1",-3.08878558831552e-05,0.457454141745262,0.994079288185125
"48",9,"LOC111565738",-0.000122666583200628,0.421379617120797,0.994079288185125
"49",9,"LOC111565745",2.17671286903249e-05,0.681746736989298,0.995535686340016
"50",9,"mibp2",-2.67936379251734e-06,0.971967618580946,0.999125694599231
"51",9,"bloc1s6",-4.39875965713595e-05,0.494097039252122,0.994079288185125
"52",9,"slc30a4",-1.30641412006378e-05,0.781359866289491,0.99764820355292
"53",9,"spata5l1",2.50176910382996e-05,0.464135107547689,0.994079288185125
"54",9,"LOC111565744",4.20496093732829e-05,0.0522432978750102,0.994079288185125
"55",9,"dtwd1",-4.88962113528693e-05,0.431691077359452,0.994079288185125
"56",9,"cops2",4.52470858730124e-05,0.733491781115316,0.996556685715684
"57",9,"secisbp2l",0.000178859669870548,0.13335843554215,0.994079288185125
"58",9,"LOC111565759",-2.2651410995535e-05,0.535363624513297,0.994079288185125
"59",9,"fbn1",1.52991767190652e-05,0.38452207642882,0.994079288185125
"60",9,"dut",4.04959519482189e-05,0.290279721298811,0.994079288185125
"61",9,"slc12a1",3.39893691378693e-06,0.924120596777191,0.998355827060693
"62",9,"ctxn2",2.08335158068802e-05,0.65435742161064,0.994079288185125
"63",9,"myef2",-2.34750086391484e-06,0.983926396575022,0.99952167860879
"64",9,"LOC111565754",-1.14840983294134e-05,0.777989895807002,0.99764820355292
"65",9,"sema6dl",-9.1387856858634e-06,0.878329570356833,0.99764820355292
"66",9,"LOC118470001",-2.90774983903961e-05,0.136504776719861,0.994079288185125
"67",9,"dmxl2",9.21725518679892e-05,0.754415789241067,0.99764820355292
"68",9,"gldn",1.43573843678244e-06,0.940803783930187,0.998355827060693
"69",9,"LOC111565746",-9.15866296096211e-05,0.24883610717171,0.994079288185125
