"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"1",27,"LOC129348986",-0.00332330243860341,0.430607026788043,0.999441924530329
"2",27,"trip4",0.00386980170812157,0.182357549436815,0.999441924530329
"3",27,"cln6a",-0.000138127772271055,0.902222428421481,0.999441924530329
"4",27,"LOC118470268",-0.000551857240158718,0.236044023251618,0.999441924530329
"5",27,"LOC111568352",-0.000598392259014431,0.367791163824767,0.999441924530329
"6",27,"rxfp3.3a2",-0.00069750574125504,0.103322065760793,0.999441924530329
"7",27,"rps17",0.00118192421512871,0.737127694840557,0.999441924530329
"8",27,"csnk1g1",-0.00212162885019616,0.70832332221244,0.999441924530329
"9",27,"LOC111571203",0.00118241160204381,0.593859365540877,0.999441924530329
"10",27,"neo1a",-0.00912104668516526,0.221978002778909,0.999441924530329
"11",27,"LOC111567962",0.00378648528524423,0.340823551287617,0.999441924530329
"12",27,"bbs4",-0.000414174186624599,0.926066091493225,0.999441924530329
"13",27,"scamp2l",0.00486899013593173,0.115444477189566,0.999441924530329
"14",27,"LOC129347348",0.00206237754638018,0.507002135683561,0.999441924530329
"15",27,"myo9aa",0.00686120725787066,0.455751973067989,0.999441924530329
"16",27,"senp8",-0.000704083213563173,0.414178575261032,0.999441924530329
"17",27,"LOC111580711",0.000366737671270636,0.926974278632884,0.999441924530329
"18",27,"anp32a",0.00221777825907485,0.0707742380994545,0.999441924530329
"19",27,"coro2ba",0.00543071306936027,0.360720856954647,0.999441924530329
"20",27,"itga11a",-0.000493394141646207,0.471256355378404,0.999441924530329
"21",27,"LOC111564424",-0.000169780379465446,0.72933714256037,0.999441924530329
"22",27,"LOC129349160",-0.00311304617418617,0.00647850397476315,0.999441924530329
"23",27,"LOC111564416",-0.00226091703037279,0.274724144185811,0.999441924530329
"24",27,"cpeb1b",-0.000326721128817162,0.887623602173171,0.999441924530329
"25",27,"LOC111564421",0.000911889777395517,0.295356416819874,0.999441924530329
"26",27,"LOC111564418",-8.56992561212824e-05,0.970077192163455,0.999441924530329
"27",27,"LOC111564417",0.00047883993009762,0.474289143526543,0.999441924530329
"28",27,"LOC111564410",0.000218721636688673,0.936261702527485,0.999441924530329
"29",27,"LOC111564425",0.000253639915869259,0.768567464504315,0.999441924530329
"30",27,"cars1",0.00207606332022677,0.481280422488584,0.999441924530329
"31",27,"pex16",0.00188661703233533,0.300211540973097,0.999441924530329
