"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdlim5.13",5.01091012571972e-05,-1.72092661753617,0.013,0.038,0.555559605638546,"19","Pdlim5"
"Luc7l3.8",5.05188344790547e-05,0.129624261775601,0.243,0.19,0.56010231786928,"19","Luc7l3"
"Cryzl1.11",5.07202707605828e-05,0.682102432660494,0.078,0.05,0.562335641922582,"19","Cryzl1"
"Slc12a1.12",5.07278483611299e-05,0.678617309373197,0.078,0.05,0.562419654779847,"19","Slc12a1"
"Slc5a7.15",5.12422261094617e-05,1.55734972688173,0.043,0.023,0.568122560875602,"19","Slc5a7"
"Itgb5.15",5.13208971758214e-05,-1.34155401610091,0.164,0.209,0.568994786988332,"19","Itgb5"
"Arx.19",5.13684106497272e-05,-2.33985857179827,0.013,0.037,0.569521568873525,"19","Arx"
"Ahi1.9",5.16075514636464e-05,0.632341405130874,0.077,0.049,0.572172923077448,"19","Ahi1"
"Sgcb.14",5.16404782396556e-05,0.397760687859392,0.196,0.151,0.572537982243061,"19","Sgcb"
"Chst5.13",5.25614805453975e-05,0.362751180324837,0.077,0.049,0.582749134806822,"19","Chst5"
"Hs3st1.17",5.33382863035845e-05,0.777850089025137,0.047,0.026,0.591361580247841,"19","Hs3st1"
"Adamts7.17",5.33858110481204e-05,0.311601580591785,0.066,0.04,0.591888487090511,"19","Adamts7"
"Crhr1.13",5.33943271982716e-05,0.877014076012849,0.172,0.133,0.591982905647237,"19","Crhr1"
"Mef2a.14",5.44762063183097e-05,0.242404573726824,0.248,0.195,0.6039776994511,"19","Mef2a"
"Rapgef5.18",5.49261951750298e-05,0.186974859732211,0.39,0.327,0.608966725905556,"19","Rapgef5"
"Necap1.13",5.62431221774135e-05,0.785213965047897,0.101,0.069,0.623567495580983,"19","Necap1"
"Crhr2.18",5.64228811680752e-05,0.277865377041015,0.121,0.084,0.625560483510449,"19","Crhr2"
"Ttc21b.8",5.6651366070812e-05,0.52675778884882,0.092,0.061,0.628093695627093,"19","Ttc21b"
"Prrc2a.9",5.67450442666942e-05,0.119094595493223,0.272,0.218,0.629132305784838,"19","Prrc2a"
"Pomt1.8",5.72132429699503e-05,0.298289006817677,0.172,0.128,0.634323224807839,"19","Pomt1"
"B3galnt2.15",5.74649525815267e-05,0.923161009237444,0.079,0.051,0.637113929271387,"19","B3galnt2"
"Grid2ip.18",5.79122475466963e-05,-1.29791845216365,0.055,0.093,0.642073088550222,"19","Grid2ip"
"Igf2bp2.18",5.86771169848283e-05,0.342828405080613,0.107,0.073,0.650553196010791,"19","Igf2bp2"
"Lurap1.12",6.00062533261593e-05,-0.754214414876454,0.086,0.129,0.665289330627128,"19","Lurap1"
"Nacc2.16",6.12935593910138e-05,-0.692933253667997,0.074,0.116,0.67956169296817,"19","Nacc2"
"Gucy1a1.16",6.24447655442514e-05,0.544272325052493,0.109,0.075,0.692325115589115,"19","Gucy1a1"
"Kif1c.16",6.30139882284375e-05,0.346535495011835,0.099,0.067,0.698636087488686,"19","Kif1c"
"Calml3.18",6.46572885270256e-05,-1.63291428602046,0.806,0.763,0.716855357899133,"19","Calml3"
"Uhrf2.17",6.47272750432062e-05,0.26655384757144,0.236,0.188,0.717631298404028,"19","Uhrf2"
"Rapgef4.17",6.5850485691076e-05,0.627895399309359,0.113,0.079,0.73008433485696,"19","Rapgef4"
"Rps25.11",6.60964887960162e-05,0.13867321659363,0.29,0.235,0.732811771281431,"19","Rps25"
"Ppfibp1.17",6.66350104496231e-05,-3.2135716909861,0.042,0.074,0.738782360854972,"19","Ppfibp1"
"Kank1.15",6.6675729253117e-05,-4.08631601666978,0.003,0.022,0.739233810229308,"19","Kank1"
"Carmil1.15",6.70993815110494e-05,-0.809608490757398,0.297,0.236,0.743930842813004,"19","Carmil1"
"D430019H16Rik.16",6.77670382014022e-05,0.610113735424638,0.128,0.092,0.751333152538946,"19","D430019H16Rik"
"Sult4a1.16",6.80616962765694e-05,0.329739355240833,0.27,0.221,0.754600026618325,"19","Sult4a1"
"Klhl2.11",6.82434826839162e-05,0.718736087511445,0.092,0.062,0.756615492516579,"19","Klhl2"
