"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"elavl3",3.16184877654543e-52,-5.05122349028865,0.108,0.959,4.92015288118234e-48,"RGC","elavl3"
"stmn1b",7.45451814692368e-49,-3.77471434951534,0.405,0.98,1.15999756884279e-44,"RGC","stmn1b"
"nsg2",3.11495705428246e-46,-5.55249164973899,0.088,0.883,4.84718467216894e-42,"RGC","nsg2"
"gng3",5.55898079252675e-46,-6.04563044860444,0.054,0.862,8.65033001125087e-42,"RGC","gng3"
"rtn1a",8.79261452217715e-45,-4.26246606310495,0.297,0.934,1.36821874579599e-40,"RGC","rtn1a"
"stmn4",3.43116134075726e-43,-6.70690974065347,0.061,0.827,5.33923016235237e-39,"RGC","stmn4"
"maptb",4.08157381776457e-42,-4.18290719136749,0.223,0.903,6.35133701782344e-38,"RGC","maptb"
"selenop",1.38121470326236e-41,13.3683831970481,0.723,0.036,2.14930819974657e-37,"RGC","selenop"
"tuba1c",2.29700635012651e-41,-3.99031421776423,0.48,0.959,3.57437158143187e-37,"RGC","tuba1c"
"stmn2b",3.03533625888366e-41,-6.3030739730709,0.034,0.796,4.72328675244887e-37,"RGC","stmn2b"
"snap25a",9.58271124628257e-41,-6.71295090148999,0.054,0.801,1.49116569703403e-36,"RGC","snap25a"
"marcksl1b",1.2152016282508e-40,-2.45157875914615,0.507,0.995,1.89097525372108e-36,"RGC","marcksl1b"
"ywhag2",1.34125130446797e-40,-7.5808519607909,0.081,0.806,2.0871211548826e-36,"RGC","ywhag2"
"sncb",6.88154155940831e-40,-4.91389181382966,0.074,0.816,1.07083668205953e-35,"RGC","sncb"
"stmn2a",1.04872467755733e-37,-6.19076989718543,0.155,0.811,1.63192047074696e-33,"RGC","stmn2a"
"fgfbp3",1.23012728180989e-37,8.9598458496263,0.682,0.041,1.91420106322438e-33,"RGC","fgfbp3"
"tmsb2",1.9831991864169e-37,-9.27485187459021,0.034,0.74,3.08605625398334e-33,"RGC","tmsb2"
"atp1b2a",2.10595709254817e-36,-4.53219788246662,0.108,0.786,3.27707983171421e-32,"RGC","atp1b2a"
"cpe",3.13272920666207e-36,-4.14337057652958,0.068,0.765,4.87483991848684e-32,"RGC","cpe"
"slc1a3b",6.25932429101358e-36,11.2084897790876,0.689,0.077,9.74013452924624e-32,"RGC","slc1a3b"
"rtn1b",7.29590346450558e-36,-1.22044887967905,0.182,0.867,1.13531553811171e-31,"RGC","rtn1b"
"tuba2",6.26170896308722e-35,-6.58546141641076,0.074,0.74,9.74384531746003e-31,"RGC","tuba2"
"fabp7a",2.83467869632955e-34,4.95689593718915,0.818,0.311,4.41104351935842e-30,"RGC","fabp7a"
"si:dkey-276j7.1",3.71728223532567e-34,-4.4727754521981,0.149,0.781,5.78446288639028e-30,"RGC","si:dkey-276j7.1"
"basp1",6.05155336463798e-34,-3.37247500500324,0.209,0.837,9.41682219071317e-30,"RGC","basp1"
"atp1a3a",7.29051354004632e-34,-8.31449513725399,0.081,0.724,1.13447681196661e-29,"RGC","atp1a3a"
"zgc:65894",1.84987894405541e-33,-5.8882448678166,0.095,0.735,2.87859662484462e-29,"RGC","zgc:65894"
"hmgb3a",2.65854958487497e-33,-2.04319050403845,0.459,0.944,4.13696900902395e-29,"RGC","hmgb3a"
"si:ch211-251b21.1",4.52288378561431e-33,8.70996166037981,0.689,0.107,7.03805945879443e-29,"RGC","si:ch211-251b21.1"
"marcksb",5.71585245635833e-33,-3.24100431642799,0.291,0.852,8.8944380073392e-29,"RGC","marcksb"
"aplp1",2.22626344020061e-32,-3.9868379748022,0.216,0.821,3.46428853929616e-28,"RGC","aplp1"
"ywhag1",4.35617618301989e-32,-3.48480150635848,0.088,0.74,6.77864575839725e-28,"RGC","ywhag1"
"atp1a1b",4.9515994545899e-32,5.07809442582603,0.716,0.128,7.70518391128735e-28,"RGC","atp1a1b"
"mdka",1.30199538240634e-31,8.98804805666264,0.615,0.051,2.02603501456251e-27,"RGC","mdka"
"atp6v0cb",7.14706927180649e-31,-3.85244497061228,0.142,0.76,1.11215544938581e-26,"RGC","atp6v0cb"
"mllt11",2.0364187163642e-30,-2.33707221369033,0.189,0.852,3.16887116453433e-26,"RGC","mllt11"
"calm3b",2.12923894736311e-30,-2.47631269631171,0.385,0.908,3.31330872599174e-26,"RGC","calm3b"
"ppp1r14ba",4.82915976149762e-30,-9.25708560210316,0.02,0.628,7.51465550486645e-26,"RGC","ppp1r14ba"
"gpm6ab",6.36183981445337e-30,-2.65237887873648,0.291,0.852,9.89965893527089e-26,"RGC","gpm6ab"
"pcsk1nl",6.93723055276278e-30,-5.63477201616894,0.034,0.648,1.07950244631542e-25,"RGC","pcsk1nl"
"islr2",8.59493070969936e-30,-6.03010230294847,0.041,0.648,1.33745716773632e-25,"RGC","islr2"
"h3f3c",1.03265891410086e-29,-2.37954087457712,0.426,0.913,1.60692053623235e-25,"RGC","h3f3c"
"syt1a",1.07138524527373e-29,-2.30452601800666,0.061,0.694,1.66718258017045e-25,"RGC","syt1a"
"fscn1a",5.54644789150931e-29,-4.91250247721585,0.101,0.689,8.63082756397764e-25,"RGC","fscn1a"
"syt4",8.71229026352132e-29,-7.40610389849503,0.034,0.622,1.35571948790655e-24,"RGC","syt4"
"ywhah",1.36325030372588e-28,-3.31101248603929,0.169,0.755,2.12135379762784e-24,"RGC","ywhah"
"ptmaa",5.9259155569966e-28,-1.65791812989146,0.595,0.985,9.22131719824241e-24,"RGC","ptmaa"
"gria2b",6.64050960811122e-28,-5.37314103088019,0.054,0.638,1.03332970011819e-23,"RGC","gria2b"
"stxbp1a",1.0784142822846e-27,-5.25537975603507,0.034,0.622,1.67812046466307e-23,"RGC","stxbp1a"
"nrxn1a",1.79466934233805e-27,-4.02734480570404,0.101,0.689,2.79268496361224e-23,"RGC","nrxn1a"
"tuba1a",6.63064526543574e-27,-2.94422621149739,0.419,0.929,1.03179470975446e-22,"RGC","tuba1a"
"dynll1",2.10826961565641e-26,-0.671194115327907,0.277,0.821,3.28067834892294e-22,"RGC","dynll1"
"tmem59l",4.51821049251811e-26,-2.65422213433375,0.189,0.755,7.03078734740743e-22,"RGC","tmem59l"
"gnb1a",4.58019200621928e-26,-2.58917419128431,0.277,0.811,7.12723678087782e-22,"RGC","gnb1a"
"h2ax1",4.94954481657934e-26,-1.91305727573042,0.399,0.888,7.70198668907911e-22,"RGC","h2ax1"
"calm2a",7.93633793384724e-26,-2.99311577142734,0.209,0.74,1.23497354588597e-21,"RGC","calm2a"
"atp1b3b",1.28416978511418e-25,-5.02756813268834,0.101,0.643,1.99829660261617e-21,"RGC","atp1b3b"
"nsfa",1.39376162924987e-25,-8.49645225729057,0.027,0.566,2.16883247127573e-21,"RGC","nsfa"
"olfm1b",1.74387325855591e-25,-2.92041466802208,0.047,0.617,2.71364117763886e-21,"RGC","olfm1b"
"calm1a",1.79463152269232e-25,-3.18026611505152,0.216,0.745,2.79262611246151e-21,"RGC","calm1a"
"ank3a",2.1435667977972e-25,-4.8895285853017,0.054,0.607,3.33560429405222e-21,"RGC","ank3a"
"ank2b",2.17791675069884e-25,-3.22082657236829,0.101,0.673,3.38905625576246e-21,"RGC","ank2b"
"map1b",5.56116638381695e-25,-6.16578154224763,0.007,0.541,8.65373100985756e-21,"RGC","map1b"
"clstn1",5.57580905833019e-25,-2.85143447619662,0.155,0.724,8.6765164756676e-21,"RGC","clstn1"
"eno2",6.03724291877896e-25,-7.29928338622278,0.02,0.551,9.39455370591194e-21,"RGC","eno2"
"si:ch211-222l21.1",7.64790910162238e-25,-2.02011257678032,0.318,0.867,1.19009113530346e-20,"RGC","si:ch211-222l21.1"
"si:dkey-238c7.12",1.18502352225127e-24,4.26470853956409,0.878,0.551,1.84401510297521e-20,"RGC","si:dkey-238c7.12"
"khdrbs1a",2.00758340240136e-24,-1.7716560757433,0.459,0.908,3.12400053247676e-20,"RGC","khdrbs1a"
"clstn3",2.06040831179536e-24,-5.96872440572897,0.041,0.571,3.20620137398476e-20,"RGC","clstn3"
"cdk5r2a",2.62157451949352e-24,-3.44433547319624,0.014,0.541,4.07943210978386e-20,"RGC","cdk5r2a"
"septin3",2.74233939245263e-24,-4.94266560789751,0.02,0.551,4.26735432859553e-20,"RGC","septin3"
"ptprn2",3.49698292392601e-24,-3.15955226778809,0.209,0.781,5.44165512792127e-20,"RGC","ptprn2"
"r3hdm1",4.5129995696928e-24,-3.68280129403511,0.209,0.724,7.02267863039897e-20,"RGC","r3hdm1"
"fkbp2",5.11809203326813e-24,-3.03108737735262,0.081,0.643,7.96426301296854e-20,"RGC","fkbp2"
"elmod1",9.23982726182441e-24,-5.36234461927069,0.047,0.566,1.4378095202125e-19,"RGC","elmod1"
"gdi1",2.90530989617854e-23,-2.58609969460172,0.23,0.75,4.52095272944342e-19,"RGC","gdi1"
"vsnl1b",4.04472083837765e-23,-5.64739891950049,0.02,0.526,6.29399009659947e-19,"RGC","vsnl1b"
"atp6v1aa",5.59174466785277e-23,-6.01209204259496,0.041,0.546,8.70131387764569e-19,"RGC","atp6v1aa"
"tmsb4x",6.56863367465502e-23,-1.5610429053321,0.649,0.944,1.02214508611307e-18,"RGC","tmsb4x"
"bsnb",6.92307951478781e-23,-4.52660693391699,0.027,0.541,1.07730040329613e-18,"RGC","bsnb"
"syngr3b",1.37923767914461e-22,-5.18064204784139,0.027,0.526,2.14623175251693e-18,"RGC","syngr3b"
"atp6v1g1",1.52036471019014e-22,-2.65635683694092,0.128,0.663,2.36583952552688e-18,"RGC","atp6v1g1"
"scg2b",1.67071565228026e-22,-5.74224435080662,0.068,0.561,2.59980062651332e-18,"RGC","scg2b"
"fxyd6",2.1627850161764e-22,-6.80592308151426,0.02,0.51,3.3655097636721e-18,"RGC","fxyd6"
"map1aa",2.20589873907196e-22,-2.4999701605264,0.108,0.633,3.43259902786988e-18,"RGC","map1aa"
"adgrl3.1",4.78834313768784e-22,-2.44227683903594,0.041,0.556,7.45114075655606e-18,"RGC","adgrl3.1"
"celf2",4.9126720257793e-22,-2.44362374676142,0.128,0.679,7.64460893931517e-18,"RGC","celf2"
"tbr1b",5.23666656690979e-22,-4.60791762816686,0.041,0.536,8.14877684476833e-18,"RGC","tbr1b"
"lix1",6.18952658459035e-22,9.14383107500213,0.426,0.015,9.63152231828105e-18,"RGC","lix1"
"tubb4bl",1.23445147035466e-21,-2.97395516696683,0.196,0.699,1.92092993301888e-17,"RGC","tubb4bl"
