"","multiome_cluster","parker_cluster","multiome_to_parker_prop","parker_to_multiome_prop"
"1","14","11",0.690600522193211,1
"2","0","13",0.98533894614603,0.313861386138614
"3","1","14",0.971436270547022,0.943919344675488
"4","2","15",0.977217811529168,0.64257555847569
"5","13","16",0.977384464110128,0.993769470404984
"6","11","17",0.921259842519685,1
"7","20","18",0.626086956521739,0.978723404255319
"8","7","6",0.890036900369004,0.522727272727273
"9","10","7",0.936507936507937,0.993506493506494
"10","24","8",0.481366459627329,0.991452991452991
