cluster,gene,gene_name,short_label,av_q.value,status,valid_correlation,invalid_reason,n_cluster_cells,n_animals_in_cluster,expected_n_animals,n_peaks_tested,n_valid_peaks,selected_peak,peak_chr,peak_start,peak_end,peak_relation,distance_to_gene,pearson_r,pearson_p,pearson_FDR_global,spearman_rho,spearman_p,cor_n,n_nonzero_atac,n_nonzero_rna,n_zero_atac,n_zero_rna
1,LOC111577669,lrrc49,Late Upregulated,0.028002851,valid,TRUE,NA,3543,22,22,10,3,NC-072766.1-23463163-23465169,NC_072766.1,23463163,23465169,gene_body,0,0.265113479,0.233108019,0.832698197,0.238848108,0.28439725,22,22,22,0,0
1,LOC111563338,COUP transcription factor 2,Late Downregulated,0.002302356,valid,TRUE,NA,3543,22,22,1,1,NC-072766.1-31838362-31840983,NC_072766.1,31838362,31840983,gene_body,0,0.409135434,0.058662015,0.556630507,0.350649351,0.109605788,22,22,22,0,0
1,dab1a,DAB adaptor protein 1a,Transiently Upregulated,0.045672246,valid,TRUE,NA,3543,22,22,60,20,NC-072767.1-36306974-36307918,NC_072767.1,36306974,36307918,gene_body,0,0.453825567,0.033880041,0.548242927,0.51552795,0.014063853,22,22,22,0,0
1,tmtc2b,transmembrane O-mannosyltransferase targeting cadherins 2b,Late Downregulated,0.024225545,valid,TRUE,NA,3543,22,22,28,18,NC-072768.1-1959117-1959521,NC_072768.1,1959117,1959521,gene_body,0,0.591869333,0.003711102,0.308933244,0.567476002,0.005877605,22,22,22,0,0
1,sema3ab,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ab",Late Downregulated,5.06e-05,valid,TRUE,NA,3543,22,22,17,7,NC-072768.1-9071851-9072868,NC_072768.1,9071851,9072868,gene_body,0,0.52457791,0.012196081,0.439997058,0.592320723,0.003678418,22,22,22,0,0
1,LOC111564869,NA,Late Downregulated,0.017036079,valid,TRUE,NA,3543,22,22,3,3,NC-072768.1-10343077-10345196,NC_072768.1,10343077,10345196,gene_body,0,0.324232393,0.140987391,0.753320591,0.324675325,0.140413813,22,22,22,0,0
1,LOC111577263,aromatase,Transiently Downregulated,0.000540961,valid,TRUE,NA,3543,22,22,1,1,NC-072768.1-14245331-14247447,NC_072768.1,14245331,14247447,gene_body,0,0.664477573,0.000743345,0.099608221,0.665725579,0.000720413,22,22,22,0,0
1,immp2l,inner mitochondrial membrane peptidase subunit 2,Early Upregulated,0.02764011,valid,TRUE,NA,3543,22,22,10,4,NC-072768.1-29681624-29684117,NC_072768.1,29681624,29684117,gene_body,0,0.411924741,0.056795086,0.556630507,0.349520045,0.110832664,22,22,22,0,0
1,LOC111587547,homeobox protein DBX1-B-like,Transiently Upregulated,0.000492812,valid,TRUE,NA,3543,22,22,1,1,NC-072768.1-36726363-36726820,NC_072768.1,36726363,36726820,gene_body,0,-0.179024785,0.425359734,0.931519511,-0.074053185,0.743278152,22,19,21,3,1
1,LOC129348729,NA,Late Upregulated,0.018669574,valid,TRUE,NA,3543,22,22,7,2,NC-072769.1-5921816-5922119,NC_072769.1,5921816,5922119,gene_body,0,-0.126477947,0.574888677,0.951963705,-0.04578861,0.839653445,22,19,21,3,1
1,gli1,GLI family zinc finger 1,Late Downregulated,0.000104617,valid,TRUE,NA,3543,22,22,14,13,NC-072770.1-32834509-32835615,NC_072770.1,32834509,32835615,gene_body,0,0.674781101,0.000571411,0.091652537,0.584415584,0.00428699,22,22,22,0,0
1,LOC111584294,bromodomain-containing protein 3,Transiently Upregulated,0.018130596,valid,TRUE,NA,3543,22,22,4,3,NC-072771.1-582997-584803,NC_072771.1,582997,584803,gene_body,0,-0.5323594,0.010756826,0.439997058,-0.58554489,0.004195225,22,22,22,0,0
1,LOC111583974,NA,Late Downregulated,0.032959767,valid,TRUE,NA,3543,22,22,2,2,NC-072771.1-35260539-35261665,NC_072771.1,35260539,35261665,gene_body,0,0.119046969,0.597729231,0.951963705,0.138339921,0.539242127,22,22,22,0,0
1,dnmt3bb.1,"DNA (cytosine-5-)-methyltransferase 3 beta, duplicate b.1",Late Downregulated,0.035616463,valid,TRUE,NA,3543,22,22,6,5,NC-072773.1-2538617-2539158,NC_072773.1,2538617,2539158,gene_body,0,0.369549231,0.090515106,0.663306013,0.270468662,0.22344863,22,22,22,0,0
1,il1rapl1a,interleukin 1 receptor accessory protein-like 1a,Early Downregulated,0.021646007,valid,TRUE,NA,3543,22,22,41,17,NC-072776.1-1747557-1749965,NC_072776.1,1747557,1749965,gene_body,0,0.498427698,0.018226523,0.447591623,0.55053642,0.007930213,22,22,22,0,0
1,ccdc85cb,coiled-coil domain containing 85c,Late Downregulated,0.002785834,valid,TRUE,NA,3543,22,22,14,12,NC-072777.1-33035328-33036141,NC_072777.1,33035328,33036141,gene_body,0,0.578900919,0.004759542,0.329618149,0.566346697,0.005999065,22,22,22,0,0
1,LOC111570546,junctional adhesion molecule 3B-like,Late Downregulated,0.017719295,valid,TRUE,NA,3543,22,22,5,3,NC-072779.1-21654262-21654936,NC_072779.1,21654262,21654936,gene_body,0,0.304634296,0.168054485,0.782921139,0.399209486,0.065688713,22,21,22,1,0
1,LOC111568198,pbx/knotted 1 homeobox 2,Late Downregulated,0.005737504,valid,TRUE,NA,3543,22,22,28,20,NC-072779.1-22803717-22804176,NC_072779.1,22803717,22804176,gene_body,0,0.502231867,0.017223877,0.447591623,0.125388313,0.578213926,22,20,22,2,0
1,fgfbp3,fibroblast growth factor binding protein 3,Progressively Downregulated,0.007951369,valid,TRUE,NA,3543,22,22,1,1,NC-072781.1-31685577-31686633,NC_072781.1,31685577,31686633,gene_body,0,-0.038065289,0.866441236,0.985575771,-0.026538679,0.906676528,22,22,22,0,0
1,kcnh6a,"potassium voltage-gated channel, subfamily H (eag-related), member 6a",Late Upregulated,0.049764276,invalid,FALSE,too_many_atac_zeros;too_many_rna_zeros,3543,22,22,9,0,NC-072784.1-14766985-14767818,NC_072784.1,14766985,14767818,gene_body,0,0.474454418,0.025680149,NA,0.43292601,0.044163875,22,16,15,6,7
1,si:dkey-288a3.2,protein phosphatase 1 regulatory subunit 37,Late Upregulated,0.001368432,valid,TRUE,NA,3543,22,22,11,2,NC-072785.1-22710903-22711780,NC_072785.1,22710903,22711780,proximal_promoter,1605,-0.154857676,0.491378751,0.946093448,0.022083894,0.922291389,22,22,18,0,4
1,LOC111579712,NLR family CARD domain-containing protein 3-like ,Late Upregulated,0.033393642,valid,TRUE,NA,3543,22,22,2,1,NC-072789.1-15669995-15670333,NC_072789.1,15669995,15670333,gene_body,0,0.080706338,0.721067097,0.968283989,0.113623589,0.614634832,22,19,22,3,0
1,LOC129348282,NA,Late Upregulated,0.007672173,invalid,FALSE,no_peak_over_gene_or_promoter,3543,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
