...1,individual,phase,prediction,multiome_cluster,mean_intermediate,n_features,neurotransmitter
1,A22D,I,0.499452726,12,0.210160562,7,Glutamatergic
2,A25D,I,0.025696582,12,0.210160562,7,Glutamatergic
3,C21D,I,0.015848078,12,0.210160562,7,Glutamatergic
4,T11D,LI,0.119022253,12,0.210160562,7,Glutamatergic
5,T13D,I,0.380448117,12,0.210160562,7,Glutamatergic
6,T14D,I,0.507656224,12,0.210160562,7,Glutamatergic
7,T17D,NF,0.054584175,12,0.210160562,7,Glutamatergic
8,T19D,I,0.009688717,12,0.210160562,7,Glutamatergic
9,T5D,I,0.03233349,12,0.210160562,7,Glutamatergic
0,A12D,LI,0.98159432,13,0.973945768,4,Glial
1,A22D,I,0.945477171,13,0.973945768,4,Glial
2,A25D,I,0.971732656,13,0.973945768,4,Glial
3,C21D,I,0.949660088,13,0.973945768,4,Glial
4,T11D,LI,0.978103273,13,0.973945768,4,Glial
5,T13D,I,0.999333616,13,0.973945768,4,Glial
6,T14D,I,0.988002955,13,0.973945768,4,Glial
7,T17D,NF,0.225700213,13,0.973945768,4,Glial
8,T19D,I,0.963473553,13,0.973945768,4,Glial
9,T5D,I,0.999940334,13,0.973945768,4,Glial
0,A12D,LI,0.600548655,14,0.454667848,2,GABAergic
1,A22D,I,0.691284898,14,0.454667848,2,GABAergic
2,A25D,I,0.526429686,14,0.454667848,2,GABAergic
3,C21D,I,0.017253978,14,0.454667848,2,GABAergic
4,T11D,LI,0.968070839,14,0.454667848,2,GABAergic
5,T13D,I,0.015033087,14,0.454667848,2,GABAergic
6,T14D,I,0.083522905,14,0.454667848,2,GABAergic
7,T17D,NF,0.058112049,14,0.454667848,2,GABAergic
8,T19D,I,0.999344841,14,0.454667848,2,GABAergic
9,T5D,I,0.849805539,14,0.454667848,2,GABAergic
0,A12D,LI,0.695050128,15,0.524189337,7,Glial
1,A22D,I,0.189881651,15,0.524189337,7,Glial
2,A25D,I,0.630732713,15,0.524189337,7,Glial
3,C21D,I,0.335225636,15,0.524189337,7,Glial
4,T11D,LI,0.507621936,15,0.524189337,7,Glial
5,T13D,I,0.006365573,15,0.524189337,7,Glial
6,T14D,I,0.913474155,15,0.524189337,7,Glial
7,T17D,NF,0.000544271,15,0.524189337,7,Glial
8,T19D,I,0.806506607,15,0.524189337,7,Glial
9,T5D,I,0.787139025,15,0.524189337,7,Glial
0,A12D,LI,0.041022568,16,0.601077224,5,Glutamatergic
1,A22D,I,0.399374586,16,0.601077224,5,Glutamatergic
