"","multiome_cluster","parker_cluster","multiome_to_parker_prop","parker_to_multiome_prop"
"1","14","11",0.693211488250653,1
"2","3","13a",0.70103986135182,0.683501683501683
"3","0","13b",0.621860937726811,0.803191489361702
"4","5","13c",0.603666245259166,0.473429951690821
"5","6","13d",0.343953656770456,0.547058823529412
"6","16","13e",0.881632653061225,0.96551724137931
"7","19","13f",0.697916666666667,0.98
"8","1","14b",0.828348154136351,0.963320463320463
"9","15","14d",0.700133868808568,1
"10","2","15a",0.977217811529168,0.995926680244399
"11","12","15b",0.885796545105566,1
"12","13","16",0.980334316617502,0.993769470404984
"13","11","17",0.935258092738408,1
"14","20","18",0.630434782608696,0.978723404255319
"15","7","6a",0.888560885608856,0.759776536312849
"16","8","6b",0.891502276176024,0.976470588235294
"17","10","7",0.940685045948204,0.993506493506494
"18","24","8",0.506211180124224,0.991452991452991
