individual,Phase,total_neurons,multiome_cluster,nneurons,prop_neurons
A12D,LI,1726,0,413,0.239281576
A12D,LI,1726,3,143,0.082850521
A12D,LI,1726,4,106,0.061413673
A12D,LI,1726,5,107,0.061993048
A12D,LI,1726,6,81,0.046929316
A12D,LI,1726,7,63,0.036500579
A12D,LI,1726,8,98,0.056778679
A12D,LI,1726,9,190,0.110081112
A12D,LI,1726,10,87,0.050405562
A12D,LI,1726,12,74,0.042873696
A12D,LI,1726,14,64,0.037079954
A12D,LI,1726,16,54,0.031286211
A12D,LI,1726,17,60,0.034762457
A12D,LI,1726,18,50,0.028968714
A12D,LI,1726,19,26,0.015063731
A12D,LI,1726,21,29,0.016801854
A12D,LI,1726,22,25,0.014484357
A12D,LI,1726,23,18,0.010428737
A12D,LI,1726,24,29,0.016801854
A12D,LI,1726,25,9,0.005214368
A22D,I,1090,0,279,0.255963303
A22D,I,1090,3,92,0.08440367
A22D,I,1090,4,116,0.106422018
A22D,I,1090,5,80,0.073394495
A22D,I,1090,6,58,0.053211009
A22D,I,1090,7,59,0.05412844
A22D,I,1090,8,74,0.067889908
A22D,I,1090,9,39,0.035779817
A22D,I,1090,10,29,0.026605505
A22D,I,1090,12,33,0.030275229
A22D,I,1090,14,59,0.05412844
A22D,I,1090,16,11,0.010091743
A22D,I,1090,17,27,0.024770642
A22D,I,1090,18,42,0.03853211
A22D,I,1090,19,22,0.020183486
A22D,I,1090,21,32,0.029357798
A22D,I,1090,22,14,0.012844037
A22D,I,1090,23,11,0.010091743
A22D,I,1090,24,4,0.003669725
A22D,I,1090,25,9,0.008256881
A25D,I,941,0,314,0.333687566
A25D,I,941,3,53,0.056323061
A25D,I,941,4,55,0.058448459
A25D,I,941,5,32,0.034006376
A25D,I,941,6,46,0.048884166
A25D,I,941,7,55,0.058448459
A25D,I,941,8,53,0.056323061
A25D,I,941,9,52,0.055260361
A25D,I,941,10,47,0.049946865
A25D,I,941,12,28,0.029755579
A25D,I,941,14,39,0.041445271
A25D,I,941,16,27,0.02869288
A25D,I,941,17,24,0.025504782
A25D,I,941,18,27,0.02869288
A25D,I,941,19,23,0.024442083
A25D,I,941,21,7,0.007438895
A25D,I,941,22,28,0.029755579
A25D,I,941,23,7,0.007438895
A25D,I,941,24,14,0.01487779
A25D,I,941,25,10,0.010626993
B21F,F,1190,0,328,0.275630252
B21F,F,1190,3,117,0.098319328
B21F,F,1190,4,67,0.056302521
B21F,F,1190,5,84,0.070588235
B21F,F,1190,6,85,0.071428571
B21F,F,1190,7,44,0.03697479
B21F,F,1190,8,79,0.066386555
B21F,F,1190,9,36,0.030252101
B21F,F,1190,10,64,0.053781513
B21F,F,1190,12,71,0.059663866
B21F,F,1190,14,44,0.03697479
B21F,F,1190,16,39,0.032773109
B21F,F,1190,17,21,0.017647059
B21F,F,1190,18,33,0.027731092
B21F,F,1190,19,26,0.021848739
B21F,F,1190,21,21,0.017647059
B21F,F,1190,23,18,0.01512605
B21F,F,1190,24,2,0.001680672
B21F,F,1190,25,11,0.009243697
B21M,M,809,0,243,0.300370828
B21M,M,809,3,74,0.091470952
B21M,M,809,4,60,0.074165637
B21M,M,809,5,55,0.067985167
B21M,M,809,6,30,0.037082818
B21M,M,809,7,38,0.04697157
B21M,M,809,8,52,0.064276885
B21M,M,809,9,48,0.059332509
B21M,M,809,10,33,0.0407911
B21M,M,809,12,18,0.022249691
B21M,M,809,14,15,0.018541409
B21M,M,809,16,23,0.028430161
B21M,M,809,17,23,0.028430161
B21M,M,809,18,36,0.044499382
B21M,M,809,19,12,0.014833127
B21M,M,809,21,12,0.014833127
B21M,M,809,22,16,0.019777503
B21M,M,809,23,5,0.00618047
B21M,M,809,24,10,0.012360939
B21M,M,809,25,6,0.007416564
B23F,F,935,0,221,0.236363636
B23F,F,935,3,111,0.118716578
B23F,F,935,4,63,0.067379679
B23F,F,935,5,50,0.053475936
B23F,F,935,6,69,0.073796791
B23F,F,935,7,26,0.027807487
B23F,F,935,8,84,0.089839572
B23F,F,935,9,43,0.045989305
B23F,F,935,10,57,0.060962567
B23F,F,935,12,51,0.054545455
B23F,F,935,14,46,0.049197861
B23F,F,935,16,27,0.028877005
B23F,F,935,17,21,0.022459893
B23F,F,935,18,10,0.010695187
B23F,F,935,19,25,0.026737968
B23F,F,935,21,22,0.023529412
B23F,F,935,23,5,0.005347594
B23F,F,935,24,2,0.002139037
B23F,F,935,25,2,0.002139037
B23M,M,773,0,161,0.208279431
B23M,M,773,3,83,0.107373868
B23M,M,773,4,63,0.081500647
B23M,M,773,5,27,0.034928849
B23M,M,773,6,46,0.059508409
B23M,M,773,7,58,0.075032342
B23M,M,773,8,46,0.059508409
B23M,M,773,9,35,0.045278137
B23M,M,773,10,62,0.080206986
B23M,M,773,12,40,0.051746442
B23M,M,773,14,30,0.038809832
B23M,M,773,16,23,0.029754204
B23M,M,773,17,18,0.023285899
B23M,M,773,18,5,0.006468305
B23M,M,773,19,21,0.027166882
B23M,M,773,21,14,0.018111255
B23M,M,773,22,10,0.012936611
B23M,M,773,23,12,0.015523933
B23M,M,773,24,15,0.019404916
B23M,M,773,25,4,0.005174644
C13F,F,1889,0,385,0.20381154
C13F,F,1889,3,181,0.095817893
C13F,F,1889,4,236,0.124933827
C13F,F,1889,5,120,0.063525675
C13F,F,1889,6,103,0.054526204
C13F,F,1889,7,215,0.113816834
C13F,F,1889,8,89,0.047114876
C13F,F,1889,9,98,0.051879301
C13F,F,1889,10,65,0.034409741
C13F,F,1889,12,40,0.021175225
C13F,F,1889,14,52,0.027527792
C13F,F,1889,16,32,0.01694018
C13F,F,1889,17,36,0.019057702
C13F,F,1889,18,74,0.039174166
C13F,F,1889,19,57,0.030174696
C13F,F,1889,21,21,0.011116993
C13F,F,1889,22,17,0.008999471
C13F,F,1889,23,31,0.016410799
C13F,F,1889,24,17,0.008999471
C13F,F,1889,25,20,0.010587612
C13M,M,1761,0,489,0.277683135
C13M,M,1761,3,155,0.088018171
C13M,M,1761,4,140,0.079500284
C13M,M,1761,5,94,0.053378762
C13M,M,1761,6,81,0.045996593
C13M,M,1761,7,93,0.052810903
C13M,M,1761,8,89,0.050539466
C13M,M,1761,9,82,0.046564452
C13M,M,1761,10,98,0.055650199
C13M,M,1761,12,88,0.049971607
C13M,M,1761,14,39,0.022146508
C13M,M,1761,16,50,0.028392959
C13M,M,1761,17,51,0.028960818
C13M,M,1761,18,13,0.007382169
C13M,M,1761,19,58,0.032935832
C13M,M,1761,21,31,0.017603634
C13M,M,1761,22,34,0.019307212
C13M,M,1761,23,39,0.022146508
C13M,M,1761,24,16,0.009085747
C13M,M,1761,25,21,0.011925043
C14F,F,1122,0,303,0.270053476
C14F,F,1122,3,59,0.05258467
C14F,F,1122,4,96,0.085561497
C14F,F,1122,5,59,0.05258467
C14F,F,1122,6,68,0.060606061
C14F,F,1122,7,114,0.101604278
C14F,F,1122,8,56,0.049910873
C14F,F,1122,9,24,0.021390374
C14F,F,1122,10,70,0.062388592
C14F,F,1122,12,43,0.038324421
C14F,F,1122,14,20,0.017825312
C14F,F,1122,16,48,0.042780749
C14F,F,1122,17,43,0.038324421
C14F,F,1122,18,31,0.027629234
C14F,F,1122,19,32,0.028520499
C14F,F,1122,21,2,0.001782531
C14F,F,1122,22,12,0.010695187
C14F,F,1122,23,16,0.01426025
C14F,F,1122,24,17,0.015151515
C14F,F,1122,25,9,0.00802139
C14M,M,1188,0,331,0.278619529
C14M,M,1188,3,121,0.101851852
C14M,M,1188,4,84,0.070707071
C14M,M,1188,5,90,0.075757576
C14M,M,1188,6,68,0.057239057
C14M,M,1188,7,59,0.0496633
C14M,M,1188,8,60,0.050505051
C14M,M,1188,9,39,0.032828283
C14M,M,1188,10,59,0.0496633
C14M,M,1188,12,52,0.043771044
C14M,M,1188,14,27,0.022727273
C14M,M,1188,16,31,0.026094276
C14M,M,1188,17,20,0.016835017
C14M,M,1188,18,30,0.025252525
C14M,M,1188,19,30,0.025252525
C14M,M,1188,21,19,0.015993266
C14M,M,1188,22,28,0.023569024
C14M,M,1188,23,17,0.014309764
C14M,M,1188,24,14,0.011784512
C14M,M,1188,25,9,0.007575758
C15F,F,1001,0,282,0.281718282
C15F,F,1001,3,86,0.085914086
C15F,F,1001,4,51,0.050949051
C15F,F,1001,5,62,0.061938062
C15F,F,1001,6,67,0.066933067
C15F,F,1001,7,50,0.04995005
C15F,F,1001,8,62,0.061938062
C15F,F,1001,9,37,0.036963037
C15F,F,1001,10,67,0.066933067
C15F,F,1001,12,40,0.03996004
C15F,F,1001,14,26,0.025974026
C15F,F,1001,16,22,0.021978022
C15F,F,1001,17,33,0.032967033
C15F,F,1001,18,24,0.023976024
C15F,F,1001,19,24,0.023976024
C15F,F,1001,21,20,0.01998002
C15F,F,1001,22,17,0.016983017
C15F,F,1001,23,18,0.017982018
C15F,F,1001,24,8,0.007992008
C15F,F,1001,25,5,0.004995005
C15M,M,957,0,297,0.310344828
C15M,M,957,3,87,0.090909091
C15M,M,957,4,62,0.064785789
C15M,M,957,5,79,0.082549634
C15M,M,957,6,53,0.0553814
C15M,M,957,7,17,0.017763845
C15M,M,957,8,40,0.041797283
C15M,M,957,9,46,0.048066876
C15M,M,957,10,44,0.045977011
C15M,M,957,12,40,0.041797283
C15M,M,957,14,27,0.028213166
C15M,M,957,16,32,0.033437827
C15M,M,957,17,23,0.024033438
C15M,M,957,18,20,0.020898642
C15M,M,957,19,18,0.018808777
C15M,M,957,21,18,0.018808777
C15M,M,957,22,23,0.024033438
C15M,M,957,23,6,0.006269592
C15M,M,957,24,15,0.015673981
C15M,M,957,25,10,0.010449321
C21D,I,986,0,328,0.332657201
C21D,I,986,3,111,0.112576065
C21D,I,986,4,23,0.023326572
C21D,I,986,5,59,0.059837728
C21D,I,986,6,52,0.052738337
C21D,I,986,7,23,0.023326572
C21D,I,986,8,47,0.047667343
C21D,I,986,9,39,0.039553753
C21D,I,986,10,26,0.026369168
C21D,I,986,12,53,0.053752535
C21D,I,986,14,36,0.036511156
C21D,I,986,16,29,0.029411765
C21D,I,986,17,36,0.036511156
C21D,I,986,18,20,0.020283976
C21D,I,986,19,15,0.015212982
C21D,I,986,21,19,0.019269777
C21D,I,986,22,27,0.027383367
C21D,I,986,23,14,0.014198783
C21D,I,986,24,19,0.019269777
C21D,I,986,25,10,0.010141988
D4F,F,1276,0,385,0.301724138
D4F,F,1276,3,72,0.056426332
D4F,F,1276,4,127,0.099529781
D4F,F,1276,5,94,0.073667712
D4F,F,1276,6,63,0.049373041
D4F,F,1276,7,70,0.054858934
D4F,F,1276,8,66,0.051724138
D4F,F,1276,9,43,0.03369906
D4F,F,1276,10,46,0.036050157
D4F,F,1276,12,47,0.036833856
D4F,F,1276,14,34,0.026645768
D4F,F,1276,16,34,0.026645768
D4F,F,1276,17,43,0.03369906
D4F,F,1276,18,30,0.023510972
D4F,F,1276,19,37,0.028996865
D4F,F,1276,21,23,0.018025078
D4F,F,1276,22,24,0.018808777
D4F,F,1276,23,15,0.011755486
D4F,F,1276,24,14,0.010971787
D4F,F,1276,25,9,0.007053292
D4M,M,983,0,258,0.262461851
D4M,M,983,3,91,0.092573754
D4M,M,983,4,116,0.118006104
D4M,M,983,5,54,0.054933876
D4M,M,983,6,51,0.051881994
D4M,M,983,7,58,0.059003052
D4M,M,983,8,42,0.042726348
D4M,M,983,9,83,0.084435402
D4M,M,983,10,19,0.019328586
D4M,M,983,12,41,0.041709054
D4M,M,983,14,15,0.01525941
D4M,M,983,16,18,0.018311292
D4M,M,983,17,18,0.018311292
D4M,M,983,18,28,0.028484232
D4M,M,983,19,25,0.02543235
D4M,M,983,21,7,0.007121058
D4M,M,983,22,12,0.012207528
D4M,M,983,23,20,0.02034588
D4M,M,983,24,15,0.01525941
D4M,M,983,25,12,0.012207528
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
,,,,,#DIV/0!
