"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"1",10,"LOC129348986",-0.00092816894615015,0.923430582213939,0.99951806288377
"2",10,"trip4",0.00572669924025146,0.0465268970327742,0.879982688386154
"3",10,"cln6a",0.00304213761702217,0.11173494191336,0.986933185667107
"4",10,"LOC111568352",-0.000777956989025444,0.3717889450398,0.996794864902951
"5",10,"rps17",-0.000156301892739686,0.885077825675467,0.99757985874172
"6",10,"LOC129347713",-8.05818653302426e-05,0.744566661518612,0.996794864902951
"7",10,"csnk1g1",0.000698311679481816,0.728231703582247,0.996794864902951
"8",10,"LOC111571203",-0.00176216070667173,0.151685543701232,0.996794864902951
"9",10,"neo1a",0.00279768541725095,0.30032568478133,0.996794864902951
"10",10,"LOC129349243",0.000200978298575841,0.793636952023087,0.996794864902951
"11",10,"LOC111567962",0.000863082769243158,0.825523929297756,0.996794864902951
"12",10,"bbs4",0.00113617893284237,0.569372503854444,0.996794864902951
"13",10,"scamp2l",-0.00172682760768314,0.375852773610105,0.996794864902951
"14",10,"myo9aa",0.000390558332920567,0.492092560133076,0.996794864902951
"15",10,"LOC111580711",-0.000571837906251061,0.0766409732686807,0.930289901983627
"16",10,"anp32a",0.00199190567892849,0.141981159912415,0.996794864902951
"17",10,"coro2ba",0.00444376333654175,0.208012822371206,0.996794864902951
"18",10,"itga11a",-0.000315555529889363,0.519985903351463,0.996794864902951
"19",10,"LOC111564416",-0.000711884305437781,0.1083084839774,0.976505233695399
"20",10,"cpeb1b",-9.71399996740082e-05,0.959306595946613,0.999572338668326
"21",10,"LOC111564418",-0.00140851830931092,0.195739417435606,0.996794864902951
"22",10,"LOC111564417",0.000407608765533612,0.63308353869629,0.996794864902951
"23",10,"LOC111564410",0.000689143843713598,0.671549336338783,0.996794864902951
"24",10,"cars1",-0.00174404753956266,0.282047459274538,0.996794864902951
"25",10,"pex16",0.000270475200507915,0.813272467482492,0.996794864902951
"26",10,"arfgap2",-0.00146153303932478,0.177392193618913,0.996794864902951
"27",10,"LOC118469870",-0.000708169442455326,0.0200105177318815,0.851903952575677
"28",10,"glceb",0.000989302339574024,0.882787001729458,0.99757985874172
"29",10,"tle3b",-2.26247874029745e-05,0.988694495702759,0.999572338668326
"30",10,"uacab",0.000556661313079966,0.859782158937728,0.996833154439578
"31",10,"LOC111564639",-0.000594714392274229,0.808754289911228,0.996794864902951
"32",10,"pias1a",0.00238840170046049,0.484800298768487,0.996794864902951
"33",10,"map2k5",3.56918848343295e-05,0.988295280656744,0.999572338668326
"34",10,"smad3a",0.00134169083883323,0.172780567485652,0.996794864902951
"35",10,"tmem208",-0.000144258604534582,0.736602183218424,0.996794864902951
"36",10,"slc39a1",0.000498401907476649,0.485898223118555,0.996794864902951
"37",10,"LOC111565738",0.00146118592351299,0.662426788700088,0.996794864902951
"38",10,"mibp2",0.000440057957721846,0.773371638313313,0.996794864902951
"39",10,"bloc1s6",-0.00141363149389945,0.500680656462625,0.996794864902951
"40",10,"slc30a4",-0.00150984516195598,0.0701229558924803,0.923597867736982
"41",10,"c1h15orf48",-0.000125531827295159,0.733383026616576,0.996794864902951
"42",10,"spata5l1",-0.00158587177229896,0.117176954775146,0.98838189909259
"43",10,"LOC111565744",7.72664321034897e-05,0.739244297390945,0.996794864902951
"44",10,"dtwd1",0.00120686105439455,0.443785882313736,0.996794864902951
"45",10,"cops2",0.000324630640245069,0.832478572200467,0.996794864902951
"46",10,"secisbp2l",0.00286130083587608,0.145036352078872,0.996794864902951
"47",10,"LOC111565759",0.000741380040318801,0.0761587902224521,0.927266673936522
"48",10,"dut",-0.00123448520101054,0.0177205028216654,0.851903952575677
"49",10,"slc12a1",0.000243432823196077,0.880912626385912,0.99757985874172
"50",10,"ctxn2",0.00113344341963828,0.34353689311052,0.996794864902951
"51",10,"myef2",-6.12200596790125e-05,0.98185402486386,0.999572338668326
"52",10,"LOC111565754",-0.000211100305172911,0.591325388559207,0.996794864902951
"53",10,"sema6dl",-0.000213259771042303,0.866156842968487,0.996833154439578
"54",10,"LOC118470001",0.000405632120604636,0.403836155351318,0.996794864902951
"55",10,"dmxl2",0.000381002258388438,0.873049058806504,0.996833154439578
"56",10,"LOC111565746",0.00184285514705019,0.106836089376769,0.973302148470304
"57",10,"tnfaip8l3",0.000354034454050914,0.942186517482683,0.999572338668326
"58",10,"LOC129349365",-0.000285215490301651,0.581544437244341,0.996794864902951
