"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"1",20,"LOC129348986",0.876299610621836,-4.07600389994556e-05,0.876299610621836,0.999759820624708
"2",20,"trip4",0.802667858972772,-4.7676152826786e-05,0.802667858972772,0.999759820624708
"3",20,"cln6a",0.239378150735183,-7.62060834997786e-05,0.239378150735183,0.999759820624708
"4",20,"LOC118470268",0.81455264056718,1.10296276554758e-05,0.81455264056718,0.999759820624708
"5",20,"calml4a",0.279041357346484,3.72985852158412e-05,0.279041357346484,0.999759820624708
"6",20,"LOC111568352",0.227100672018595,4.34150709674753e-05,0.227100672018595,0.999759820624708
"7",20,"rxfp3.3a2",0.303276390570207,4.20899985158098e-05,0.303276390570207,0.999759820624708
"8",20,"rps17",0.0613069317504482,0.000101923429656767,0.0613069317504482,0.999759820624708
"9",20,"csnk1g1",0.027118478783069,-0.000300125611225813,0.027118478783069,0.999759820624708
"10",20,"LOC111571203",0.114381115902211,-0.000140908238692811,0.114381115902211,0.999759820624708
"11",20,"neo1a",0.83478821308348,-3.49651613741469e-05,0.83478821308348,0.999759820624708
"12",20,"LOC111567962",0.394905744909177,0.000147080966706504,0.394905744909177,0.999759820624708
"13",20,"bbs4",0.24077905798974,0.000168065925232989,0.24077905798974,0.999759820624708
"14",20,"scamp2l",0.309488210527576,-7.5214702275139e-05,0.309488210527576,0.999759820624708
"15",20,"myo9aa",0.978161799659843,-1.78912995654939e-06,0.978161799659843,0.999759820624708
"16",20,"senp8",0.10300648277788,-4.33358524147484e-05,0.10300648277788,0.999759820624708
"17",20,"LOC111580711",0.252021215881096,-3.40691362573423e-05,0.252021215881096,0.999759820624708
"18",20,"anp32a",0.557171289675493,2.17716582105977e-05,0.557171289675493,0.999759820624708
"19",20,"coro2ba",0.473666761825192,7.05961816707878e-05,0.473666761825192,0.999759820624708
"20",20,"itga11a",0.994034036015643,2.3979243610055e-07,0.994034036015643,0.999759820624708
"21",20,"LOC111564424",0.243627856665959,3.5205946026128e-05,0.243627856665959,0.999759820624708
"22",20,"LOC111564416",0.249829003711838,-6.83689209399792e-05,0.249829003711838,0.999759820624708
"23",20,"cpeb1b",0.541114691058022,4.47763598942846e-05,0.541114691058022,0.999759820624708
"24",20,"LOC111564418",0.16969824829811,-5.2210713113332e-05,0.16969824829811,0.999759820624708
"25",20,"LOC111564417",0.187047538007808,5.43775516081019e-05,0.187047538007808,0.999759820624708
"26",20,"LOC111564410",0.597764284261064,-3.97748205186603e-05,0.597764284261064,0.999759820624708
"27",20,"cars1",0.535988117345923,4.12279268958814e-05,0.535988117345923,0.999759820624708
"28",20,"pex16",0.660118257624816,2.54672906766739e-05,0.660118257624816,0.999759820624708
"29",20,"arfgap2",0.106164813398341,0.00021604429362504,0.106164813398341,0.999759820624708
"30",20,"glceb",0.573835147289126,5.90141976952578e-05,0.573835147289126,0.999759820624708
"31",20,"LOC111564414",0.170212454755295,-2.7558668974787e-05,0.170212454755295,0.999759820624708
"32",20,"tle3b",0.218288253137731,-5.02013951239304e-05,0.218288253137731,0.999759820624708
"33",20,"LOC111564639",0.941438746986342,-9.48148779505537e-06,0.941438746986342,0.999759820624708
"34",20,"pias1a",0.474819530996014,-9.69626629239809e-05,0.474819530996014,0.999759820624708
"35",20,"map2k5",0.867959147674098,-2.43159001120048e-05,0.867959147674098,0.999759820624708
"36",20,"smad3a",0.733754746528286,7.35222162736502e-06,0.733754746528286,0.999759820624708
"37",20,"tmem208",0.405126784201913,4.57715328830101e-05,0.405126784201913,0.999759820624708
"38",20,"slc39a1",0.0961638203077278,4.87734482733253e-05,0.0961638203077278,0.999759820624708
"39",20,"LOC111565738",0.478842575753058,8.34393840953065e-05,0.478842575753058,0.999759820624708
"40",20,"mibp2",0.294852730914603,7.53058763054246e-05,0.294852730914603,0.999759820624708
"41",20,"bloc1s6",0.980270067269095,-1.85584003546114e-06,0.980270067269095,0.999759820624708
"42",20,"slc30a4",0.931248977741371,-7.65176475096282e-06,0.931248977741371,0.999759820624708
"43",20,"c1h15orf48",0.654544659971639,-4.23543537996781e-05,0.654544659971639,0.999759820624708
"44",20,"spata5l1",0.333073242052005,3.2873218575898e-05,0.333073242052005,0.999759820624708
"45",20,"dtwd1",0.299032337262135,-3.1551320788766e-05,0.299032337262135,0.999759820624708
"46",20,"cops2",0.821544180846053,1.6731681997488e-05,0.821544180846053,0.999759820624708
"47",20,"secisbp2l",0.37842777658965,-7.11407467535826e-05,0.37842777658965,0.999759820624708
"48",20,"LOC111565759",0.497737215064332,-5.32668866162121e-05,0.497737215064332,0.999759820624708
"49",20,"dut",0.954508408471701,-3.44180921203322e-06,0.954508408471701,0.999759820624708
"50",20,"slc12a1",0.628989530396298,2.40038744759641e-05,0.628989530396298,0.999759820624708
"51",20,"ctxn2",0.856516595137285,-8.22574942062319e-06,0.856516595137285,0.999759820624708
"52",20,"myef2",0.182185800742943,-0.000126905017872834,0.182185800742943,0.999759820624708
"53",20,"LOC111565754",0.836598333186551,-1.45458377017364e-05,0.836598333186551,0.999759820624708
"54",20,"sema6dl",0.311894466909116,0.000104760108292722,0.311894466909116,0.999759820624708
"55",20,"LOC118470001",0.486078765847471,5.08522137802785e-05,0.486078765847471,0.999759820624708
"56",20,"dmxl2",0.2703201407351,0.000193164823974034,0.2703201407351,0.999759820624708
"57",20,"LOC111565746",0.742579671587384,-3.40555973176811e-05,0.742579671587384,0.999759820624708
"58",20,"tnfaip8l3",0.635844619436956,-4.06869561226516e-05,0.635844619436956,0.999759820624708
"59",20,"scg3",0.754048201781663,-4.46625820815576e-05,0.754048201781663,0.999759820624708
"60",20,"lysmd2",0.426089864870096,-4.63254016546498e-05,0.426089864870096,0.999759820624708
"61",20,"tmod2",0.715418785711297,1.2128134264008e-05,0.715418785711297,0.999759820624708
"62",20,"leo1",0.69462961725508,-1.65315782445633e-05,0.69462961725508,0.999759820624708
"63",20,"mapk6",0.388184140088249,0.000111834878225607,0.388184140088249,0.999759820624708
"64",20,"LOC118471234",0.00155664074797771,-0.000215823906614549,0.00155664074797771,0.999759820624708
"65",20,"usp8",0.425867767364448,-5.96702137912294e-05,0.425867767364448,0.999759820624708
"66",20,"pde8a",0.168133300712881,0.00018384048957368,0.168133300712881,0.999759820624708
"67",20,"LOC111563916",0.30666243606194,-6.86800370896612e-05,0.30666243606194,0.999759820624708
"68",20,"LOC111563902",0.993391186731091,6.34383967594017e-07,0.993391186731091,0.999759820624708
"69",20,"LOC111563893",0.312815786432093,4.85241869514639e-05,0.312815786432093,0.999759820624708
"70",20,"homer2",0.192067961300977,-4.02319431681596e-05,0.192067961300977,0.999759820624708
"71",20,"ramac",0.821785465729585,9.8562592595345e-06,0.821785465729585,0.999759820624708
"72",20,"LOC111567331",0.448764643677358,5.47528326935099e-05,0.448764643677358,0.999759820624708
"73",20,"LOC111567348",0.395799084227142,1.85607175361867e-05,0.395799084227142,0.999759820624708
"74",20,"zrsr2",0.81303047820238,-2.25850073039397e-05,0.81303047820238,0.999759820624708
"75",20,"LOC111567330",0.00393413330889912,0.000198967659981108,0.00393413330889912,0.999759820624708
"76",20,"phka2",0.388973305765525,7.0613689212371e-05,0.388973305765525,0.999759820624708
"77",20,"ppef1",0.472966705627531,3.17911670472284e-05,0.472966705627531,0.999759820624708
"78",20,"cdkl5",0.897812782582854,-1.7934608616075e-05,0.897812782582854,0.999759820624708
"79",20,"scml2",0.475035587287465,8.46741725780092e-05,0.475035587287465,0.999759820624708
"80",20,"nhsb",0.951209902429468,1.10144239592476e-05,0.951209902429468,0.999759820624708
"81",20,"ace2",0.885568604663038,-7.46196699616689e-06,0.885568604663038,0.999759820624708
"82",20,"ildr1a",0.917055196396894,-3.28208662031222e-06,0.917055196396894,0.999759820624708
"83",20,"tmem39a",0.79094007079357,-1.42809481031858e-05,0.79094007079357,0.999759820624708
"84",20,"LOC111566431",0.377055015899957,-1.97990524093689e-05,0.377055015899957,0.999759820624708
"85",20,"LOC111566421",0.41742364279432,3.65165373126806e-05,0.41742364279432,0.999759820624708
"86",20,"LOC118469910",0.872411923444741,3.38134133690684e-06,0.872411923444741,0.999759820624708
"87",20,"LOC111564831",0.0906887763984212,-0.000113513166191287,0.0906887763984212,0.999759820624708
"88",20,"stk16",0.704158479432604,2.05555603028787e-05,0.704158479432604,0.999759820624708
"89",20,"atic",0.764321667829898,8.77508483911272e-06,0.764321667829898,0.999759820624708
"90",20,"psmd14",0.370256525443264,-4.72961821029219e-05,0.370256525443264,0.999759820624708
"91",20,"rbms1a",0.626486663687353,5.28601510420789e-05,0.626486663687353,0.999759820624708
"92",20,"ly75",0.728610313444526,1.6055667693001e-05,0.728610313444526,0.999759820624708
"93",20,"marchf7",0.801951154080023,-1.36752970880703e-05,0.801951154080023,0.999759820624708
"94",20,"baz2ba",0.0154410463479575,0.000239457152619194,0.0154410463479575,0.999759820624708
"95",20,"wdsub1",0.914799691464378,-4.28045256209518e-06,0.914799691464378,0.999759820624708
"96",20,"LOC111564834",0.231141233127162,-0.000319908102221476,0.231141233127162,0.999759820624708
"97",20,"LOC111564858",0.967436669700214,2.34735880194594e-06,0.967436669700214,0.999759820624708
"98",20,"gtf2f2a",0.91103796885063,7.33675704793417e-06,0.91103796885063,0.999759820624708
"99",20,"ercc3",0.439046777239107,-5.04122008913991e-05,0.439046777239107,0.999759820624708
"100",20,"rbm26",0.385804825624847,-7.73045699789674e-05,0.385804825624847,0.999759820624708
"101",20,"LOC129349311",0.842944510159996,2.07543623774908e-05,0.842944510159996,0.999759820624708
"102",20,"LOC111562565",0.941200497430644,1.45066361804088e-05,0.941200497430644,0.999759820624708
"103",20,"tdrd3",0.839248613695424,1.16836422912481e-05,0.839248613695424,0.999759820624708
"104",20,"pcdh17",0.57836781388819,-0.000144143021698729,0.57836781388819,0.999759820624708
"105",20,"LOC129348781",0.954441190602119,-1.97349883570442e-06,0.954441190602119,0.999759820624708
"106",20,"lims1",0.048609492837905,7.57338669323125e-05,0.048609492837905,0.999759820624708
"107",20,"LOC111562382",0.25657276876489,-9.09921254594042e-05,0.25657276876489,0.999759820624708
"108",20,"tgfbrap1",0.126155480944801,8.22309875037958e-05,0.126155480944801,0.999759820624708
"109",20,"cul4a",0.999669045123296,-2.56010671200359e-08,0.999669045123296,0.999950542918474
"110",20,"lamp1a",0.51057453394014,-4.84772003562947e-05,0.51057453394014,0.999759820624708
"111",20,"dcun1d2b",0.477069194698957,-3.44136966346447e-05,0.477069194698957,0.999759820624708
"112",20,"tmco3",0.277480040323813,-5.71238806516225e-05,0.277480040323813,0.999759820624708
"113",20,"gas6",0.22197767808936,-0.000105664057003805,0.22197767808936,0.999759820624708
"114",20,"rasa3",0.606914823396279,-6.04348663287581e-05,0.606914823396279,0.999759820624708
"115",20,"tpp2",0.0998895196389922,0.000164378616324336,0.0998895196389922,0.999759820624708
"116",20,"ercc5",0.274647718659306,3.68689096716575e-05,0.274647718659306,0.999759820624708
"117",20,"trmt10c",0.43932988157804,-1.64732301791704e-05,0.43932988157804,0.999759820624708
"118",20,"mrpl16",0.647816765633999,1.65387003137607e-05,0.647816765633999,0.999759820624708
"119",20,"gpc5a",0.580316557919276,-2.01433735244503e-05,0.580316557919276,0.999759820624708
"120",20,"gpc6a",0.781458610074483,-6.11925038793672e-05,0.781458610074483,0.999759820624708
"121",20,"slc5a7a",0.318155903500669,3.15004803925512e-05,0.318155903500669,0.999759820624708
"122",20,"arl6",0.748501903694957,2.9610523650956e-05,0.748501903694957,0.999759820624708
"123",20,"LOC111565060",0.181966754438007,8.74505127765717e-05,0.181966754438007,0.999759820624708
"124",20,"nsun3",0.238620295994957,4.47208133801825e-05,0.238620295994957,0.999759820624708
"125",20,"LOC111565057",0.51273385039685,-2.81721327968902e-05,0.51273385039685,0.999759820624708
"126",20,"rrad",0.869652395431851,1.07099318733779e-05,0.869652395431851,0.999759820624708
"127",20,"nae1",0.832282531487375,-1.00321716049907e-05,0.832282531487375,0.999759820624708
"128",20,"si:dkey-56m19.5",0.472707449371799,-2.27438497684886e-05,0.472707449371799,0.999759820624708
"129",20,"dync1li2",0.39060406198867,8.52127604525461e-05,0.39060406198867,0.999759820624708
"130",20,"cmtm4",0.054519510335087,-0.000121290051774791,0.054519510335087,0.999759820624708
"131",20,"cmtm3",0.82417539279986,-6.01237509429138e-06,0.82417539279986,0.999759820624708
