"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"1",24,"LOC129348986",0.351092936362293,0.000191518777136114,0.351092936362293,0.999920334816895
"2",24,"trip4",0.309780871962442,0.000193739224394349,0.309780871962442,0.999920334816895
"3",24,"cln6a",0.0623907286469917,-0.000177166173072509,0.0623907286469917,0.999920334816895
"4",24,"LOC118470268",0.976009691469903,-3.97423439092556e-07,0.976009691469903,0.999920334816895
"5",24,"calml4a",0.252132605265772,3.40697552125085e-05,0.252132605265772,0.999920334816895
"6",24,"LOC111568352",0.709593824664442,-8.33650709690963e-06,0.709593824664442,0.999920334816895
"7",24,"rps17",0.96712358956308,-2.90526125234493e-06,0.96712358956308,0.999920334816895
"8",24,"csnk1g1",0.933519926647306,-1.35675823519156e-05,0.933519926647306,0.999920334816895
"9",24,"LOC111571203",0.34886605146395,-7.6066452279637e-05,0.34886605146395,0.999920334816895
"10",24,"neo1a",0.55748826036344,0.000125272791423267,0.55748826036344,0.999920334816895
"11",24,"LOC129349243",0.715545590704552,9.60731601314304e-06,0.715545590704552,0.999920334816895
"12",24,"LOC111567962",0.422884659038897,0.000154300320129128,0.422884659038897,0.999920334816895
"13",24,"bbs4",0.639431500303494,5.26413861676727e-05,0.639431500303494,0.999920334816895
"14",24,"scamp2l",0.997642524674152,-5.0877391440245e-07,0.997642524674152,0.999920334816895
"15",24,"myo9aa",0.552578286074658,3.40839162799415e-05,0.552578286074658,0.999920334816895
"16",24,"senp8",0.61646458153533,-1.4868420875181e-05,0.61646458153533,0.999920334816895
"17",24,"LOC111580711",0.964644863372329,5.81010707077944e-06,0.964644863372329,0.999920334816895
"18",24,"anp32a",0.578587198159313,-6.11982682098669e-05,0.578587198159313,0.999920334816895
"19",24,"coro2ba",0.58668910450513,-9.05306034368918e-05,0.58668910450513,0.999920334816895
"20",24,"itga11a",0.762227900707005,1.28475638373316e-05,0.762227900707005,0.999920334816895
"21",24,"cpeb1b",0.584461307428831,-5.19734873152448e-05,0.584461307428831,0.999920334816895
"22",24,"LOC111564421",0.390296632944107,5.12882873595485e-05,0.390296632944107,0.999920334816895
"23",24,"LOC111564418",0.64762792121026,3.53471456793086e-05,0.64762792121026,0.999920334816895
"24",24,"LOC111564417",0.874646001250498,6.03135403327528e-06,0.874646001250498,0.999920334816895
"25",24,"LOC111564410",0.334752249629485,7.72964247145212e-05,0.334752249629485,0.999920334816895
"26",24,"cars1",0.493996901144904,-9.51393500505502e-05,0.493996901144904,0.999920334816895
"27",24,"pex16",0.716118923611234,-2.1077345373771e-05,0.716118923611234,0.999920334816895
"28",24,"arfgap2",0.579753817239975,-6.24602466828606e-05,0.579753817239975,0.999920334816895
"29",24,"LOC118469870",0.629201290289536,-9.16097940193466e-06,0.629201290289536,0.999920334816895
"30",24,"glceb",0.622653499561266,6.23643697138345e-05,0.622653499561266,0.999920334816895
"31",24,"LOC111564414",0.278697486147342,4.00910791558483e-05,0.278697486147342,0.999920334816895
"32",24,"tle3b",0.882013417251661,2.49030528950895e-05,0.882013417251661,0.999920334816895
"33",24,"LOC129348677",0.319851681265022,1.23490754383255e-05,0.319851681265022,0.999920334816895
"34",24,"LOC111564639",0.0177742490544327,-0.000362012077106703,0.0177742490544327,0.999920334816895
"35",24,"pias1a",0.101450523538012,-0.000256973391531548,0.101450523538012,0.999920334816895
