interacting_pair,cluster_pair,test_type,main_effect_p.value,d_m_p.value,d_f_p.value,f_m_p.value,main_effect_q.value,main_effect_q.value_no_fisher
CDH2_CDH2,0|12,Linear Regression,0.054474202453195474,0.018487499612731727,0.14155001954845248,0.31532108997414626,0.3157801423458675,0.3157801423458675
CDH2_CDH2,0|17,Linear Regression,0.010944413866830656,0.0038954924679249665,0.449358860688682,0.023646812423201494,0.16241510178376692,0.16241510178376692
CDH2_CDH2,0|1_0,Linear Regression,0.008132835195657745,0.03604931644418069,0.002615856474557597,0.23854643312391519,0.13118616772126188,0.13118616772126188
CDH2_CDH2,0|25,Linear Regression,0.3807236470210402,0.4603721306105515,0.47576760618567737,0.1712023315801131,0.6493900475879666,0.6493900475879666
CDH2_CDH2,0|3,Linear Regression,0.11394687602808037,0.05957946609676319,0.0961693642240866,0.80535199495853,0.33819432805134253,0.33819432805134253
CDH2_CDH2,0|4,Linear Regression,0.8681674748679822,0.6048632165833371,0.8466621870495079,0.7446466569548322,0.9309570314828818,0.9309570314828818
CDH2_CDH2,0|5,Linear Regression,0.7878366696696756,0.5530119937357385,0.5680449301163608,0.9825590308923771,0.8961661163166507,0.8961661163166507
CDH2_CDH2,10|12,Linear Regression,0.19549279401817865,0.08785382858248676,0.19953904723552152,0.6501349185741625,0.4603445043233928,0.4603445043233928
CDH2_CDH2,10|17,Linear Regression,0.08487893495678578,0.03345095540305247,0.5982610595477873,0.1039946670716646,0.33040633505520484,0.33040633505520484
CDH2_CDH2,10|1_0,Linear Regression,0.006306997352356054,0.145020754493407,0.001734796320314231,0.04805475228417639,0.12315242198547874,0.12315242198547874
CDH2_CDH2,10|25,Linear Regression,0.4841130218833686,0.7545214561445752,0.37664574250100913,0.25415532566256793,0.7271495186993108,0.7271495186993108
CDH2_CDH2,10|3,Linear Regression,0.2908245865343734,0.26469482772431013,0.13868973856876826,0.7032054798422429,0.580085600022863,0.580085600022863
CDH2_CDH2,10|4,Linear Regression,0.9710233412788273,0.9460288389638887,0.8694652772480176,0.8166158537447068,0.9816067019467164,0.9816067019467164
CDH2_CDH2,10|5,Linear Regression,0.831932918672476,0.8401082480181926,0.6835550303199542,0.5584442749123855,0.9249820237365418,0.9249820237365418
CDH2_CDH2,12|0,Linear Regression,0.054474202453195474,0.018487499612731727,0.14155001954845248,0.31532108997414626,0.3157801423458675,0.3157801423458675
CDH2_CDH2,12|10,Linear Regression,0.19549279401817865,0.08785382858248676,0.19953904723552152,0.6501349185741625,0.4603445043233928,0.4603445043233928
CDH2_CDH2,12|12,Linear Regression,0.08593181668849645,0.030167754597470276,0.19321392152010247,0.34008732976768985,0.33040633505520484,0.33040633505520484
CDH2_CDH2,12|13,Linear Regression,0.14496152983590171,0.09676133325068205,0.08936284328024652,0.9665658705160193,0.3841480540651395,0.3841480540651395
CDH2_CDH2,12|14,Linear Regression,0.03877812055565097,0.024829933757282333,0.03122410193787506,0.9132170825159129,0.2602960557223206,0.2602960557223206
CDH2_CDH2,12|15,Linear Regression,0.7065352588893792,0.558023356891476,0.43399561188781577,0.8464383947734769,0.865097627220989,0.865097627220989
CDH2_CDH2,12|16,Linear Regression,0.15773792065255607,0.06633130592803363,0.18902646455976896,0.5720500103626207,0.39541059839255605,0.39541059839255605
CDH2_CDH2,12|17,Linear Regression,0.004864801519857444,0.00142644817061764,0.22652255423741643,0.023944467423671505,0.10638185238746121,0.10638185238746121
CDH2_CDH2,12|18,Linear Regression,0.13604824494103418,0.05343554373837192,0.19831806029455407,0.4842790489035935,0.37630457721908733,0.37630457721908733
CDH2_CDH2,12|19,Linear Regression,0.8495732089230319,0.8311495306195431,0.7152106580351547,0.5787496250103261,0.9297689100603093,0.9297689100603093
CDH2_CDH2,12|1_0,Linear Regression,0.00487464013635267,0.00653139010093739,0.0029861184542119244,0.7249598496788925,0.10638185238746121,0.10638185238746121
CDH2_CDH2,12|1_1,Linear Regression,0.15007286304946657,0.0632157577639842,0.17951453256285102,0.5759478021250056,0.39209177599543726,0.39209177599543726
CDH2_CDH2,12|1_2,Linear Regression,0.06442338090365281,0.02326636605520181,0.4846051032276919,0.10325443989624614,0.3283567065526875,0.3283567065526875
CDH2_CDH2,12|1_3,Linear Regression,0.25260548588480924,0.16935622823678018,0.14793959187026162,0.9386854659627584,0.5206479736848012,0.5206479736848012
CDH2_CDH2,12|1_4,Linear Regression,0.42058352716039304,0.37378126076455376,0.6507366432048844,0.20336147009634908,0.6673840267339148,0.6673840267339148
