"","cluster","gene","KT_estimate","KT_summary_p.value","KT_anova_p.value","m_d_estimate","m_d_p.value","status_anova_p.value","interaction_estimate","interaction_summary_p.value","interaction_anova_p.value","KT_summary_q.value","KT_anova_q.value","m_d_q.value","status_anova_q.value","interaction_summary_q.value","interaction_anova_q.value"
"5403",26,"usp14",0.05557974652718,0.627734272880402,0.836145077110935,-0.259985651606531,0.651443821338663,0.651610525711712,0.458112047737814,0.580203697604754,0.646589509254107,0.95448681967031,0.997236265095943,0.977691892092471,0.998041455792957,0.999576329230295,0.999107608596253
"5404",26,"rock1",0.220212193732752,0.260394846819436,0.746233610142422,0.887256071312803,0.361817180885628,0.799792731417781,1.58399173600045,0.261730669264136,0.418672079328922,0.869820666216188,0.996290058877406,0.946083900114756,0.998041455792957,0.999576329230295,0.999107608596253
"5405",26,"greb1l",-0.116849576852738,0.0767289580051949,0.886274904175159,-0.487835702044264,0.132948788241269,0.343360865392686,-0.801966201853485,0.0901327339972502,0.133597972158663,0.750081901745539,0.997236265095943,0.817530637640684,0.998041455792957,0.999576329230295,0.999107608596253
"5406",26,"mib1",-0.138534027323165,0.599657726513554,0.908847763438652,0.0297673554798931,0.981975391641887,0.721032479155084,-2.88970730744943,0.146435969053837,0.331538210353375,0.95145391771007,0.997236265095943,0.997172831993253,0.998041455792957,0.999576329230295,0.999107608596253
"5407",26,"cables1",-0.128978536557661,0.0513620433760186,0.00807475567340563,-0.151796063187083,0.618832520538106,0.316792703829518,0.335653953131254,0.447126840208707,0.713878071167675,0.716445605049095,0.995488695376885,0.977691892092471,0.998041455792957,0.999576329230295,0.999107608596253
"5408",26,"npc1",0.0659756179276346,0.667518742291831,0.443348127920468,-0.47072942141109,0.543658935953883,0.467078707944133,-0.410571121076885,0.710681689099427,0.670823231106643,0.958756380410716,0.995488695376885,0.97429997556122,0.998041455792957,0.999576329230295,0.999107608596253
"5409",26,"mmp16b",0.100266854036788,0.366119697476484,0.426094574406691,0.408106861673334,0.461200671936137,0.928854061243857,1.08461777410026,0.185219131589987,0.372618729109111,0.90412491626331,0.995488695376885,0.971579090640058,0.998041455792957,0.999576329230295,0.999107608596253
"5410",26,"gpt",-0.132196138628427,0.371476182353859,0.317854547484758,0.455095095419092,0.536311679547397,0.836009005818804,-1.16922678647079,0.277598414760942,0.327114181150255,0.906778873299952,0.995488695376885,0.97429997556122,0.998041455792957,0.999576329230295,0.999107608596253
"5411",26,"gng5",-0.0107588745548023,0.870653144259436,0.730053793032143,0.214236921068665,0.522525072990425,0.355424764359596,0.398311484269791,0.410632379702367,0.50743332604575,0.983926822820568,0.995488695376885,0.97429997556122,0.998041455792957,0.999576329230295,0.999107608596253
"5412",26,"atp6v0b",-0.042631017773217,0.890049650012641,0.58573385337708,1.07060823300455,0.494212665023314,0.832418080629807,-0.736883737551979,0.741014510390083,0.60178386338503,0.984964678108066,0.995488695376885,0.97429997556122,0.998041455792957,0.999576329230295,0.999107608596253
