"","individual","Status","LOC111567884","draxina","si:ch211-253b8.5","LOC111588780","slc6a11a","kif5ab","arvcfb","pdlim5a","LOC111580067","LOC118471666","LOC118470186","src","b4galt2","fgf14","ccnt2a","serac1","cxcl14","spock1","LOC129350740","kcnq5a","grid1b","efna2a","LOC129348286"
"1","A12D","E",0.62528663853851,0.341531146562909,0.103482821226984,0.594313126330384,0.0340975843826847,0.276490511355043,0.573244035310508,0.24864927947167,0.0478659827922313,0.090050553487136,0.171027032880448,0,0.973338067050693,0.48781555751164,0.173689586250933,0.0523957274747725,0.0714402398345883,0.902681992759393,0.0309332302508477,0.0182548894176852,2.57247360708182,0.016637497951626,0.136360199127285
"2","A22D","D",0.612196189871224,0.286387213367656,0.0341445015535909,0.740016626184136,0.0302345109300155,0.432288150333605,0.58955354975186,0.147152467844942,0.0293586399650903,0.112470382350223,0.00616049883583466,0.0388305570493178,0.9204369774144,0.476067276464697,0.195560697644804,0.0299556857138791,0.0161852881191698,1.05297375638761,0.0916708232514762,0.0286349373423504,2.73040676845735,0.0385839014306797,0.171434880945576
"3","A25D","D",0.844692567850206,0.453127070324237,0.0501088001700255,0.592013769962368,0.0235986730706732,0.480351488817478,0.967977304444288,0.15178519195945,0.101267190541676,0.0599883855876404,0.122031270951008,0.0168648595588596,0.932336022247472,0.675497226071304,0.150843752484271,0.0742025873715276,0,0.703597980952283,0.0880265555878331,0.0258425878675442,2.73276365320577,0.029990746542891,0.132677782833762
"4","B21F","F",0.650878770375114,0.325253339753671,0.0861076462620142,0.780208083206991,0.0917182796527648,0.211399365165191,0.657914750028601,0.340611233676477,0.0871492209161566,0.141179758285739,0.0737832005263463,0.115924895567765,0.828854732870821,0.542169194973517,0.288316582942442,0.0370215363571121,0.209595044606727,1.03037250506691,0.221752346599626,0.0834076443390429,3.52090898565322,0.0964749442333461,0.207698362251845
"5","B21M","M",0.857138257781766,0.235328416685956,0.105537578050569,1.06260423371739,0.0177061808558406,0.417954768973683,0.782842357507061,0.238848113471727,0.100900562946926,0.241471983847781,0.0459371763652706,0,1.25313300000368,0.630004291897938,0.13095294292981,0.0128472861163879,0.0668428425162376,0.964009838181451,0.151269194738421,0.0531636244488084,2.80727931806232,0.0984178810349089,0.161071778366499
"6","B23F","F",1.15994569987191,0.327403038684678,0.14056449429744,0.952000158230117,0.0567757689263559,0.203113372502085,0.670280437851147,0.449566174556097,0.0468408036035865,0.144853935810522,0.129985851785901,0.0212181366723314,0.790147614213125,0.539915142446981,0.211736357816783,0.140517077023262,0.0975372524227668,0.931839367223557,0.122066899380831,0.0615441595087401,3.31553883822412,0.0819724323966467,0.282429039848407
"7","B23M","M",0.920057528948365,0.189975591457254,0.0820302539070501,1.15221185451431,0.0208922093687989,0.325393009023009,0.850133612581704,0.345031706382472,0.113181599205023,0.244264375654854,0.033966756485901,0,1.41462034139351,0.929488803585402,0.165622382269882,0.0207819099145863,0.0662033716459025,1.11378868913649,0.11756780001628,0,3.05917043838969,0.0121100523381019,0.0982528501372886
"8","C13F","F",0.667185395275674,0.25159360336336,0.113419210030719,0.701886895132054,0.0899414007175884,0.134543480090105,0.370458918320017,0.223223337743601,0.0146051740631362,0.144094210582104,0.127960666050121,0.0261475010869068,0.6495381799567,0.430835864532184,0.256816501543115,0.09679410009855,0.0795187147403445,0.747776199950194,0.175384713341103,0.0533736624131039,3.11296598487504,0.140114926161743,0.336617058475757
"9","C13M","M",0.780517888007008,0.118293953673178,0.0741940934250151,0.898236158432221,0.00928613763341084,0.22734874867822,0.676002290005179,0.250342524937214,0.0744130695415198,0.183555501354945,0.0595722638764571,0.00683000864755464,1.05730299270993,0.760549972373626,0.177644766272782,0.026805579098579,0.0319420025545213,0.971478687003367,0.111879870708854,0.0317770017244971,2.85888276874481,0.03737365053182,0.0408587390845875
"10","C14F","F",0.798086834284848,0.243904648643156,0.0688959764752331,0.702955153639054,0.106316051804624,0.246932963281409,0.571949262057072,0.320134761954376,0.022518312685913,0.128862596509068,0.129553012907188,0.0686936592252658,0.885638044695606,0.591455003534431,0.237690449587749,0.0484384894018526,0.0940604851106152,1.01838143203304,0.209603144732087,0.0669199043833963,3.18460211889144,0.124098437701388,0.179268632963248
