"","individual","Status","glceb","syt7b","sox6","LOC111577669","LOC111563338","tmtc2b","hprt1l","sema3ab","LOC111564869","immp2l","LOC111587547","LOC129348729","acer2","slc44a2","gli1","LOC111566713","LOC111583974","cep57","vwa7","wsb1","dnmt3bb.1","tmed4","LOC111564014","LOC118469126","prex1","snx21","LOC118471259","mtf1","tmeff1a","rpl24","il1rapl1a","clu","ginm1","ccdc85cb","shisa3","LOC118470671","LOC111570546","LOC111568198","LOC111579490","fgfbp3","LOC111566120","tap2t","LOC111588195","plce1","LOC111583840","kcnh6a","LOC111584011","LOC111582900","nkx2.2a","lingo2b","si:dkey-288a3.2","lhfpl3","foxp2","cog5","skida1","lrch4","LOC111574283","LOC111579712","LOC129348282","zdbf2"
"1","A12D","E",0.323574095216047,0.106123991633258,0.701622933868744,0.0262518422338837,0.172062053023552,0.786971551673935,0.0397864464902579,0.0565204644867155,0.28540736655687,0.0485975941945187,0.0736642751901259,0.0085789287462754,0.0183596404229242,0.109684042097083,0.766773955075921,0.273991684043858,0.200859442360509,0.037362471581853,0.130421052256087,0.584995982620296,0.811015223724558,0.0694185418607282,0.00436010768067292,0.0806011753302982,0.886622087546287,0.159210188088632,0.631139487335345,0.0324261628506822,0.603636328063608,0.169259666409669,0.628824991280234,0.401781274471881,0.17518805173229,0.82448329786276,0.0981014235472899,0.0127187853039341,0.160928960848724,0.72938508876086,0.00363984922843186,1.08628943527351,0.0539516804543463,0.0576345513014706,0.00905661502666702,0.153102640065917,0.231613273534521,0.010255356926655,0.0290408495832877,0.0270075114183819,0.211628132197289,0.0870662956919794,0.0272247138617544,0.0483826710139815,0.123969181355522,0.2075496447157,0.0697431328138634,0.206075016641404,0.0114030559911488,0.0674915132667714,0.0212105982940625,0.0346740092201025
"2","A22D","D",0.340674299113444,0.0605213843096897,0.92310578408837,0.0674608542563763,0.163867460232339,0.687943213603477,0.0398198239575476,0.162395100324979,0.312519401340433,0.104030102367701,0.131977487615477,0.0390064038947913,0.042126023830515,0.156411285701407,0.582769490016332,0.384832020848871,0.358312193417098,0.0123740301050676,0.0427797121583359,0.891383295035175,0.676599205917758,0.109573000548414,0.020406728821562,0.15288653726128,0.918118630552078,0.161296877756177,0.555755195773163,0,0.772307288368807,0.0993263211553468,0.652462666768797,0.554313021598501,0.190406830517133,0.615260159240781,0.146530457406868,0,0.211502892629008,0.799712891249229,0.0168704706244899,1.39244438593932,0.132504120776197,0.0583386921274006,0.0278968452773515,0.0919016430090173,0.177412812143507,0,0.0280758622204306,0,0.265679347046435,0.112269608128445,0,0.104125766285965,0.229613495965541,0.264744798431265,0.0984421253004867,0.443225394086257,0,0.0476940871238089,0.0378136422965183,0.0692038436179703
"3","A25D","D",0.560093637469675,0.117863696493629,0.989072847057107,0.0312238418178897,0.226311220297223,1.12842184441204,0.0121569165916141,0.205379347180238,0.421093302200415,0.130715112667705,0.143221493143968,0.0346636343001881,0.103179309643761,0.182654418207495,1.17401698206143,0.334512496966266,0.436516598955144,0.00153363559117991,0.13590610902209,0.673833645975311,0.727110275213618,0.177751590289297,0.0260391115845096,0.123567142742174,1.25256228217444,0.183135068072585,0.736008408856296,0.0484397919321575,1.13027300429177,0.170007863222558,0.803220603536776,0.67653779312692,0.1976445123275,1.04191292484166,0.0668063573207092,0,0.299069283379406,1.02566393516761,0.0532427995216323,1.45626419511853,0.0592902716528976,0.0594341108635505,0.088650678221177,0.26757696540595,0.235834081514242,0.0101260736386305,0.0207383518821175,0.0140524612954313,0.204393316707101,0.0935159157220416,0.0180277144008255,0.0458462069427844,0.106517771961925,0.365379567711532,0.0758425058716334,0.363869720764939,0,0.0345177587460593,0.0216153766955959,0.056047805474842
"4","B21F","F",0.342067168761663,0.0448034720663175,1.24894316505115,0.112967210368268,0.136161791415334,0.726926249882471,0.0631354923553749,0.0706821911337552,0.28008005913763,0.0899220159145198,0,0.148839337779182,0.00845435597380412,0.0976039762027636,0.628790642450407,0.494439931656046,0.188222134973485,0.0114459860763321,0.131269013460523,0.715083360626784,0.581161487834339,0.130019459397566,0.00911737533333563,0.198533633511135,0.96550917942694,0.0881755497516808,0.427737027653052,0.0398212772512595,0.811705777064433,0.231898516675976,0.483629742487792,0.748940284989279,0.314644445694464,0.603359311564504,0.227904960478227,0.0478961289643782,0.187703340553604,0.778848949930383,0.0749168415656824,1.36459538047205,0,0.143881630913167,0.0511263633207559,0.173125986134986,0.296987251893815,0.0363778794036657,0.032308490627395,0.0159153482018208,0.387801554311332,0.171620201226355,0.0382323678186454,0.144197095854208,0.279193931996746,0.25069792439309,0.0479030544820852,0.227168601869718,0.034338936839223,0.12897908159898,0.161218386455661,0.14342062870738
"5","B21M","M",0.365295794333052,0.151228105032264,1.04590246186257,0.0755473159479843,0.153371543994406,1.05798804558299,0.0394103973531904,0.286444352549503,0.373899664783529,0.0451691941619668,0.0559126830658979,0.0407131393371149,0.101695858044194,0.202531619631584,0.576083325371516,0.246108526346328,0.549305006778194,0.0125214390233944,0.218313482888764,0.740155519382929,0.528210104559193,0.276550788940803,0.046946215041815,0.114721235659074,1.08999088049705,0.152089962647263,0.457926475838118,0,0.97292821440687,0.126062833877779,0.655929160467654,0.846937888929641,0.18871467767829,0.881074338503748,0.156846971366281,0.0501919532611449,0.267686651057044,0.909245098767833,0.0337310633145073,2.21621395080454,0.0125214390233944,0.0326389426507476,0,0.314282083371366,0.226763975210975,0.0208133265226777,0.0984051463015108,0,0.317411589179657,0.0790833476483496,0.0210073833942801,0.0728100137670102,0.115371642270416,0.28045675655357,0.0825076016495073,0.245759020510039,0.0210073833942801,0.0230725765562005,0.0548672092449808,0.0615187045758017
"6","B23F","F",0.285485845851793,0.139952241488738,1.29127681348618,0.141224338089994,0.063082111075364,0.680986703326684,0.0353393615764635,0.0533060528789592,0.11570475614923,0.0924545499587314,0.0433059536199523,0.0794713241018775,0.0504488638280858,0.173451771908549,0.470632317733428,0.425579055033286,0.211555705194981,0.0307442030704928,0.0866499919200268,1.00318894982696,0.534442444594286,0.0918996468529437,0.0157643063042077,0.275192588283355,1.10853751855391,0.119710969660887,0.567707119710864,0.0265025891102995,0.545924780325995,0.248609859986389,0.583674132831093,0.808394949055418,0.286810500385066,0.61496929852804,0.17568256019114,0.0057316127888364,0.113763226296697,0.7201623732386,0.091538753891147,1.2359454438847,0.0118366326564586,0.119856052378033,0.0333732351587522,0.147978297469398,0.397776766403051,0.0526039094624875,0.103040530968006,0.0234526842796244,0.327943976674667,0.213679281507768,0.068110513897593,0.127433680853079,0.155383022860685,0.156471419559659,0.0283502872454684,0.179861661502535,0.102890254744159,0.0859134588891158,0.0718750998883059,0.0453776371586529
"7","B23M","M",0.579481535285948,0.0669191889715495,1.0721492079197,0.0951536924107114,0.261619294275899,1.17295113880086,0.0404320585620074,0.173393508326634,0.398798817330265,0.0562726958858318,0.0265694073216995,0.0424376047687421,0.102908635900224,0.298141871679997,1.17402439904347,0.309393923654084,0.405901740770662,0.036155841052726,0.236008106195163,0.805376173548476,0.733273162430953,0.257371540185398,0.0341831409138434,0.0549425850175453,1.22474952166508,0.23406734118858,0.638790983554307,0.00980680975529392,0.861954529004478,0.170117907996245,1.11823679696546,0.5820338352488,0.18646123800891,1.05923195527451,0.135422573567899,0.0100654718026838,0.377577716729812,0.987811958024134,0.0630031764124011,1.51504701733627,0.0635862002144837,0.0223345745972563,0.0097387827154049,0.321289223598335,0.283721696989766,0,0.0515623596403179,0,0.329166584316597,0.136944432677191,0.00980680975529392,0.0889864519215158,0.23257556445635,0.355318409713877,0.140687685740852,0.324785014795863,0,0.115274438778648,0.0220448735069858,0.0388145615153224
"8","C13F","F",0.248374213678043,0.0688104364914579,1.02294015214852,0.0713623561232446,0.0389859703419026,0.446086405392521,0.0649455183439863,0.0570822117488387,0.141001063669365,0.0774423825881082,0.0217715844519343,0.101014588150102,0.0846802004372777,0.0988517158574098,0.300909866090992,0.290331694791262,0.312346223487682,0.0254616871785955,0.0880512296936408,0.737602307558122,0.462020489687426,0.058259990074023,0,0.172566288277817,0.752299042800865,0.112265113375126,0.301705531219619,0.061696526250952,0.58744390596737,0.211205232178569,0.285285924517926,0.496412057356892,0.140749184605258,0.519713757258781,0.109964306743881,0.0298217399412127,0.124749738535791,0.506452080668755,0.0400500505918825,0.74202298830278,0.0259432895234741,0.138759831315825,0.0312896998511788,0.115116050518363,0.13792567772526,0.0101154701370522,0.0726181946871277,0.0268132980333362,0.392318509000562,0.0730607268326211,0.0394594415626568,0.0893311434440477,0.190100785742881,0.121847344636502,0,0.231006262543301,0.0351417167328645,0.0880920630733847,0.0913089855419025,0.0916824686777661
"9","C13M","M",0.400005118099032,0.086753156619948,0.966340436576634,0.0313507201006332,0.186543133073391,0.67769109608496,0.0504686527604402,0.168034985295059,0.364579688614004,0.0332449317525143,0.070142818143898,0.0394136572998256,0.107429686143026,0.176364799697238,0.730916333915568,0.219451264322452,0.552773817941809,0.023241384405637,0.0943080791977888,0.475778736369521,0.581692966277947,0.151115559493068,0.0144457241088943,0.0449819711783682,0.989478051589461,0.179851616116321,0.453224444487323,0,0.783262277217267,0.108307859479546,0.639398409441981,0.511244849089026,0.123800189171737,0.690221985191483,0.0776891177631002,0,0.158357456362274,0.749607921022548,0.0450439204528217,1.37026776817767,0.0163827737630411,0.0283719206491349,0,0.206561064036618,0.234661796973492,0,0.0371981003394234,0.00175711419947476,0.194455151539795,0.0978773022748786,0,0.099067054368687,0.0653564208157677,0.228689353797842,0.108483176245681,0.222455211291254,0.0242064093535083,0.108209768077574,0.0522045719193667,0.0182982280702679
"10","C14F","F",0.319783709544206,0.0205689234909646,0.935147976263748,0.0860575758943562,0.102487439861979,0.717857153942789,0.0800816252812976,0.180943409000508,0.317320945845694,0.082086762989733,0.0321296215329229,0.153665369598393,0.0366910911032117,0.0922927784760797,0.472076923749217,0.368464473200986,0.220067459475829,0.0147242810685415,0.117387929269953,0.880867906859326,0.438731156221433,0.0798741097549374,0,0.244002951110799,0.853723227413789,0.113800923272213,0.419275473895862,0.0322931452134968,0.844280362201761,0.325652171519906,0.621036174245974,0.946737021019806,0.227516547090631,0.542415108417592,0.202385665426368,0.0221199018286897,0.150256350965682,0.670814029066807,0.0911600987059553,1.35618038540268,0,0.121898602368538,0.00722644311232561,0.117948356085832,0.317632773611766,0.0185094274173779,0.0236944930079173,0.0352195410754894,0.302794112133501,0.126202779419894,0.0515683477869611,0.0915291202343353,0.230760854418629,0.105543178765826,0.0269646329741925,0.305736815112143,0.036834454126813,0.0958390381198258,0.351555934485477,0.0893218843441208
