"","individual","Status","pcdh17","fras1"
"1","A12D","E",0.213141808593531,0.722426972255277
"2","A22D","D",0,0.914363283353321
"3","A25D","D",0,0.78301509410336
"4","B21F","F",0.0476307313699901,0.71276576615804
"5","B21M","M",0.159689532458562,0.413187085386695
"6","B23F","F",0.128246098224417,0.811316083580146
"7","B23M","M",0.26709588828731,0.612271126906684
"8","C13F","F",0.0480067513298179,0.85807732373607
"9","C13M","M",0.119813271984683,0.313769739277155
"10","C14F","F",0.0688961074946564,1.07985708096509
"11","C14M","M",0.0736770426061149,0.0573330081400154
"12","C15F","F",0.0776096500551184,0.856225348856617
"13","C15M","M",0.277278388256148,0.406419803808043
"14","C21D","D",0.141505201992578,0.487784057180574
"15","D4F","F",0,0.552810949692995
"16","D4M","M",0.688399813099904,0.756343079376583
"17","T11D","E",0.0249803748616471,0.297465522364594
"18","T13D","D",0.217542160749042,0.928573170093412
"19","T14D","D",0.0923760262202467,0.297873975181336
"20","T17D","NF",0.0994519289575136,0.70012501568921
"21","T19D","D",0.0207978027238669,0.719427822590065
"22","T5D","D",0.0814630388351673,0.816541732742332
