"","individual","Status","grik4","LOC129349260","wu:fa11c10","plch2a","LOC129349400","nr1d2a","LOC111580029","LOC111588102","fam110b","tdh","si:zfos-2326c3.2","slco2b1","nelfe","LOC111572229","LOC111585124","arid5b","LOC111565980","mast4","slc31a2","asic2","alk","coq6","chst2b","LOC111584452","tmem198b"
"1","A12D","E",0.341188540851895,0.161771754629848,0.729645072981426,0.0571400068535387,0.617976428623198,0.18118749012502,0.325449177799627,0.0506101176140999,0.12552215713263,0.29234882862318,0.772970894991,1.16979447108695,0.0889945135661478,0.163821095264693,0.112139281622358,0.682319967650778,0.728901430957441,0.345966688322654,0.240355448860884,1.80762359880695,3.48140655811463,0,0,0.0834906062510448,0.167690097645225
"2","A22D","D",0.382854343332544,0.231715346809084,1.18543681149884,0.139178529279679,0.845817955469536,0.225482887575576,0.328498874664227,0.0762623157909702,0.103819489542398,0.0844398326991079,1.16652200038659,1.73654540259794,0.0329972956318302,0.288245698882047,0.105300439240765,1.03782019565977,0.60872001761621,0.120573018908096,0.198386981792374,2.0196387427931,3.63813634261265,0.0697157090843065,0.062375313714218,0.13609833135461,0.17057782117974
"3","A25D","D",0.346966203346852,0.156452052517826,1.03395879674893,0.0111452257711194,0.702906534019048,0.220446539658257,0.432755984227643,0.0237309238354264,0.120561540786099,0.169147754248,1.21092328143056,1.66860659371257,0.0201174042286596,0.38341360055209,0.271224610453668,0.979688054481221,1.14463389388229,0.270334275491717,0.371058017711589,1.79916158100701,2.95589976829398,0.0235001693578824,0.0179552191615942,0.146473612405253,0.178088206610468
"4","B21F","F",0.116780967771921,0,0.285372839037452,0.043932083835743,0.0602670386300995,0.133112213366493,0.457882615540982,0.0616964253988306,0,0.183549025856526,0.743854635537141,2.46923690928741,0,0,0.0455828635685075,0.920013647556245,0.0602670386300995,0.148552032053774,0.0276142919385922,1.6178799362585,1.91874335998227,0,0.0311704654781832,0.056320866207799,0.0922945007642701
"5","B21M","M",0.379179812206929,0.160183611028519,0.125231327906278,0.686239562005202,0.42675273255522,0.1079649619266,0.128974523013175,0,0.612881777420279,0.191530534659097,0.677456603294756,1.42237429304709,0.0871311969455647,0,0.1079649619266,0.553861558402024,0.317256109580824,0.590516829377494,0.711256727031823,1.85787810661319,2.51303333015829,0.0636440826427396,0.296173863141532,0.17160904456934,0.238720226918336
"6","B23F","F",0.179180167064559,0.0453465611653591,0.646878331657947,0.0818014574935551,0.127370117862396,0.310528693011474,0.31981966811093,0.172249595009802,0.0783160600389688,0.312951930505992,1.05827351533736,1.27284182767772,0.0847375698499866,0.0268583352386157,0.0737964119962395,0.737333727831523,0.0259288537654349,0.299310815629555,0.176722718923301,0.439389104021284,1.8013446627836,0,0.05380132090237,0.0747783688610204,0.054041690437773
"7","B23M","M",0.28821486750993,0.100384675071427,1.10318982310539,0.177340641818146,0.62349861653371,0.604323513643106,0.201320840992799,0.0446452641412266,0.110310639255734,0.257814712394237,0.929849128021701,1.28278384622803,0.255801161547293,0.303278791431017,0.114323216437101,1.10076338154229,0.595792598650885,0.411512031905748,0.529371355541942,1.37787123314133,2.41368753411398,0.0735688132140139,0,0.0271874833746859,0.114283750563694
"8","C13F","F",0.0966665077666182,0.0126563320864658,0.473560077863257,0.0993651395797647,0.141563053514616,0.299177846700544,0.206067032019709,0.0604601762831763,0.0530760757072926,0.364221815616955,1.00451577650402,1.97936973342992,0.011507613654377,0,0.0245949002822871,0.675357037896973,0.0321082218963841,0.0543461142007821,0.0567314167843175,0.43294333032725,2.60837542292338,0.0126563320864658,0.02899300916162,0.228950375998376,0.0807896663693456
"9","C13M","M",0.270147067977394,0.178404436665927,0.709447754581944,0.0801739321799528,0.159158073600425,0.812144400837351,0.179269042585014,0.0370276205893961,0.0827443521549575,0.112692879290599,0.766320622822219,1.31440499429538,0.0854829061688434,0.159859984774851,0.0902011349676284,0.393571335859979,0.35076998862337,0.529696733728762,0.127096086530826,1.05476945349067,2.52342101071265,0.0928026661336096,0.172559573392097,0.096126290546265,0.143996427587653
"10","C14F","F",0.14578344956223,0,0.635234223125008,0.0341318662393152,0.558465201671464,0.160043789293868,0.51398260472692,0.12304598761774,0.0750341357511906,0.36581759512051,1.16815417875497,1.9157060483582,0,0.064983830529027,0.0665416593309044,0.823576643226625,0.267504762151833,0.117038825266193,0.324271009807045,1.17557110659053,2.78285065040943,0,0,0.205376107322017,0.123230675384905
