"","individual","Status","slc39a13","sorcs3a","LOC111568952","LOC111577053","tnfaip2a","wdr5","ppfia3","ptgdsb.1","jph1a","ehbp1l1a"
"1","A12D","E",0.0391881469800303,0.824781026684062,0.247035966271468,0.0827660177576237,0.0798804227113242,0.0307232132427716,0.0920265364902922,0.0669169208310692,0.408180329348157,0.195652788136581
"2","A22D","D",0.0231579082142339,0.770985816603097,0.420839979896654,0.354288978172483,0.0373527865244906,0.0991583659612229,0.167121446420712,0.275791664308356,0.480316523242995,0.411241246303606
"3","A25D","D",0.0558565635272449,0.580784296214703,0.382455261274832,0.207247746796957,0.0159470309407365,0.0210468441491368,0.0765682049288968,0.160596033561537,0.343754824080533,0.429044250826227
"4","B21F","F",0,0.439276308290995,0.178093811686982,0.331605725148935,0.0264342787113123,0.0474234539668524,0.125071817023194,0.142808811976718,0.291824580126596,0.550882856377666
"5","B21M","M",0.162192706277273,0.513619300801178,0.572218703602512,0.195833304249337,0,0.0679890224668001,0.147793980056079,0.0697173882573264,0.307562479583624,0.391144783984287
"6","B23F","F",0.0951492510678571,0.819982627760089,0.123084562257971,0.0653475850987306,0.0577991388366876,0.03797369566885,0.213112995833172,0.450088891435637,0.336359939791818,0.539726363897352
"7","B23M","M",0.178493014742385,1.20444691422684,0.534940183324668,0.0978230254292566,0.0213511567298381,0.143661964074199,0.152939662903187,0.122268159346044,0.308190034398342,0.383441583102311
"8","C13F","F",0.0255463002898429,0.381111872744045,0.136915383460565,0.14497745893442,0.0405323506840058,0.0277153532773374,0.131530203727829,0.167698851887339,0.365601044562073,0.321789876943672
"9","C13M","M",0.141169031048111,0.802517336531575,0.53954518950691,0.102358151141675,0.0283919958578733,0.12478022705551,0.0217515454007599,0.0294535772333579,0.147257145540968,0.215963130058971
"10","C14F","F",0.0673551997427194,0.30800326106056,0.0753922729628157,0.302354338581214,0.149646510227436,0.0217515549876807,0.0824360971926965,0.464858577773414,0.525331447122187,0.503517068555278
"11","C14M","M",0.15732696625004,0.965065693528651,0.248040341811144,0.0783575025761196,0.0498757912122278,0.0821739861373758,0.0822384628729958,0.0563730071304131,0.288064335204768,0.355778528689134
"12","C15F","F",0,0.540737622741702,0.268356490961846,0.1742494658208,0.0392047189435981,0,0.0933244224111049,1.01071826534021,0.388904633565085,0.366887003700032
"13","C15M","M",0.045995164780139,1.0905666937362,0.108255254082818,0.149043869104469,0.0165548810364306,0.0786571498048596,0.145820722247741,0.183154544696235,0.296481705285789,0.213996822881751
"14","C21D","D",0.0759767486590765,0.631911235243864,0.252381583429122,0.245441693454207,0,0.0522440226591654,0.0995162511898902,0.200841299065257,0.365649778350301,0.48137786991673
"15","D4F","F",0.0177564718436856,0.680539827166956,0.305757936584347,0.207002461469699,0.134087440689911,0,0.160995040386437,0.290093035376671,0.447212121887224,0.754802957603496
"16","D4M","M",0.0654138578968716,0.667249857594081,0.463257417797649,0.123891184343479,0.0387500198857532,0.0686347067119931,0.0784067140022417,0.384060888369477,0.287189862611164,0.302134865070761
"17","T11D","E",0.0571596328436444,1.35266021400896,0.329914768695361,0.138420433572052,0.0472602624662122,0.0399085740776829,0.101963180119221,0.11414610211415,0.368023439310909,0.481275861515656
"18","T13D","D",0.0619716561567376,0.308046624820055,0.612807177746556,0.302243054106905,0.0356611468984475,0.0361564979265157,0.101838312636944,0.154304150303427,0.582822457979394,0.578750433042334
"19","T14D","D",0.0435106165323081,0.444517964254165,0.613594919306158,0.0394683741756676,0.0566738903285466,0,0.0405180067917053,0.263102687449262,0.499042164520802,0.685491426117721
"20","T17D","NF",0.0814375576301848,0.606106044019144,0.576282191302923,0.221439488494137,0.0534384894247242,0.0478921843398357,0.107705672365199,0.284388314384233,0.317837776500755,0.591761300355594
"21","T19D","D",0.0512656891213244,0.744487074126282,0.422781867423417,0.233065115459998,0.0603843472862115,0,0,0.132853787095636,0.451312027282358,0.250433765469656
"22","T5D","D",0,0.580006742923119,0.274734723549719,0.191933902681029,0.0382440989860992,0.0203728638283057,0.025797089909419,0.0926963443013091,0.55249125836739,0.469149405041288
