"","individual","Status","hectd2","nfixb"
"1","A12D","E",0.0563635473908866,0.178524013162819
"2","A22D","D",0,0.120012624539198
"3","A25D","D",0,0
"4","B21F","F",0.157385252332046,0.233096999860506
"5","B21M","M",0,0
"6","B23F","F",0.180503368788228,0.125602844246895
"7","B23M","M",0.0449194260305009,0.127839284715698
"8","C13F","F",0.0460225763183301,0.18452529226048
"9","C13M","M",0,0.0279229946942819
"10","C14F","F",0.0229269050160161,0.214621436413876
"11","C14M","M",0,0.104526447152469
"12","C15F","F",0.158697780393365,0.175322922804042
"13","C15M","M",0.0422383745307144,0.0422383745307144
"14","C21D","D",0,0.11451429821632
"15","D4F","F",0.143317618296592,0.162917919140306
"16","D4M","M",0.0350735905631662,0.130456186087999
"17","T11D","E",0.0916959729075063,0.166821159611444
"18","T13D","D",0,0.136224726702027
"19","T14D","D",0.107213425043425,0.165680277572006
"20","T17D","NF",0,0.0983390390053251
"21","T19D","D",0,0.097376095194498
"22","T5D","D",0,0.0576705770824588
