"","individual","Status","hcn4","clmpb","tcf7l2","LOC111575561"
"1","A12D","E",0.0429091030677021,0.374464283911815,0.105775151082608,0.0269314693622512
"2","A22D","D",0.0526853297348245,0.293327308808968,0.138610132525882,0.0785887750719085
"3","A25D","D",0.108506661194502,0.428287867043787,0.058594219302812,0.0416876194788562
"4","B21F","F",0.0432544875806866,0.298498320544606,0.181680462871978,0.0188753326561406
"5","B21M","M",0.298791605412147,0.429698740256743,0.24151089600624,0.0925059439535065
"6","B23F","F",0.139107261426467,0.672248843191493,0.0916644790451343,0
"7","B23M","M",0.140735495462796,0.272657087992843,0.279017438872156,0.140687895449454
"8","C13F","F",0.0808462921875822,0.282633017968739,0.0998372224632643,0
"9","C13M","M",0.121395204797738,0.571896182800493,0.161494063118859,0
"10","C14F","F",0.137475788998096,0.285512984035762,0.152195361620882,0.0347737194047861
"11","C14M","M",0.132877714116585,0.507572106893476,0.247486432101601,0.0963213375177196
"12","C15F","F",0.0941139944437845,0.246908589411218,0.0969627245556173,0
"13","C15M","M",0.22917307282642,0.277109128580625,0.351806791002198,0.098495644947343
"14","C21D","D",0.137981535734189,0.201924851241261,0.164670106293127,0.0224096178849649
"15","D4F","F",0.0642117237632186,0.351502600711963,0.188149815486509,0.0266536569376965
"16","D4M","M",0.308570323388933,0.63880852330052,0.481472530730425,0.112097678465622
"17","T11D","E",0.132017977380605,0.508009818032237,0.0357192997505739,0
"18","T13D","D",0.051613135414042,0.18054453985047,0.0349870958499878,0.0388061611334776
"19","T14D","D",0,0.229681613790978,0.18384586590914,0
"20","T17D","NF",0.156936493454533,0.436555962856782,0.202941978282767,0.0612942667827318
"21","T19D","D",0.1069484141299,0.34797172156197,0.128899940696277,0
"22","T5D","D",0,0.166193921635679,0,0
