"Barcode","fullumapsketch_1","fullumapsketch_2"
"cellid_000000007-1",0.603950798511505,0.363558143377304
"cellid_000000008-1",-3.75321197509766,-1.66708040237427
"cellid_000000009-1",-4.01854753494263,3.35860919952393
"cellid_000000010-1",-4.8310227394104,-2.05191254615784
"cellid_000000011-1",-5.20648670196533,3.69773864746094
"cellid_000000012-1",-1.28766083717346,-2.37794184684753
"cellid_000000013-1",-3.68581938743591,-1.61667215824127
"cellid_000000014-1",-4.97037506103516,3.92981147766113
"cellid_000000015-1",-4.81570243835449,3.68564963340759
"cellid_000000016-1",2.97000455856323,-0.239890858530998
"cellid_000000017-1",1.07587838172913,-0.822307050228119
"cellid_000000018-1",2.00816202163696,-0.873430907726288
"cellid_000000019-1",1.8284866809845,-0.898093819618225
"cellid_000000020-1",1.57021284103394,-0.339353501796722
"cellid_000000021-1",-1.49619936943054,-3.08545064926147
"cellid_000000022-1",2.0582914352417,-1.33204162120819
"cellid_000000023-1",-2.51584887504578,2.40214967727661
"cellid_000000024-1",2.69096636772156,-0.68235045671463
"cellid_000000025-1",1.19071924686432,-1.08963179588318
"cellid_000000026-1",-4.48361873626709,4.17476415634155
"cellid_000000027-1",-1.54495930671692,-1.20774149894714
"cellid_000000028-1",-4.64926815032959,3.48982810974121
"cellid_000000029-1",-1.6443692445755,0.182705372571945
"cellid_000000030-1",1.80029737949371,-0.939895987510681
"cellid_000000031-1",1.68296217918396,-0.97141295671463
"cellid_000000032-1",2.46612501144409,-0.94649749994278
"cellid_000000033-1",-0.515568196773529,-2.2323956489563
"cellid_000000034-1",2.29229378700256,0.120616026222706
"cellid_000000035-1",-1.1825760602951,-2.14482569694519
"cellid_000000036-1",0.934357345104218,-0.984924256801605
"cellid_000000037-1",-2.96507024765015,5.79476451873779
"cellid_000000038-1",2.30951309204102,-0.0886644124984741
"cellid_000000039-1",-4.30842208862305,3.99757361412048
"cellid_000000040-1",-3.85735177993774,3.54461646080017
"cellid_000000041-1",0.43409338593483,0.773887634277344
"cellid_000000042-1",3.81664705276489,-2.63258647918701
"cellid_000000043-1",2.51884484291077,-0.265853315591812
"cellid_000000044-1",-2.80132532119751,-2.95741629600525
"cellid_000000045-1",-1.04970133304596,-1.33622598648071
"cellid_000000046-1",-4.58836936950684,3.1274847984314
"cellid_000000047-1",2.87733769416809,-0.442094892263412
"cellid_000000048-1",-1.96032512187958,-1.1985399723053
"cellid_000000049-1",0.329135626554489,6.18858671188354
"cellid_000000050-1",-2.41990423202515,-3.66814208030701
"cellid_000000051-1",-4.37325286865234,4.47058868408203
"cellid_000000052-1",1.69465231895447,-0.932943224906921
"cellid_000000053-1",0.415253341197968,0.178926467895508
"cellid_000000054-1",2.94608855247498,-0.32707941532135
"cellid_000000055-1",-4.06491327285767,4.30137968063354
"cellid_000000056-1",2.67294764518738,-0.635117471218109
"cellid_000000057-1",-4.3626880645752,3.42423272132874
"cellid_000000058-1",-0.947120249271393,-2.05531549453735
"cellid_000000059-1",-3.16685247421265,5.67991495132446
"cellid_000000060-1",1.01974594593048,-1.07712018489838
"cellid_000000061-1",-3.61054968833923,0.52110230922699
"cellid_000000062-1",0.330917537212372,1.74104809761047
"cellid_000000063-1",1.79526352882385,-0.904029726982117
"cellid_000000064-1",2.87058424949646,-3.17605805397034
"cellid_000000065-1",-4.6984691619873,3.38023591041565
"cellid_000000067-1",1.98569548130035,-1.07510089874268
"cellid_000000068-1",0.484677046537399,0.470725178718567
"cellid_000000069-1",-1.81889629364014,3.11335396766663
"cellid_000000071-1",1.92682147026062,-0.778810262680054
"cellid_000000072-1",2.52102589607239,0.0310928877443075
"cellid_000000073-1",-2.39730143547058,1.9541403055191
"cellid_000000074-1",-4.24866104125977,3.57554483413696
"cellid_000000075-1",2.4013500213623,-0.654264271259308
"cellid_000000076-1",2.65725255012512,-0.217948094010353
"cellid_000000077-1",-1.93790352344513,-0.816591680049896
"cellid_000000078-1",-2.65392518043518,2.549067735672
"cellid_000000079-1",-4.85421514511108,3.79668784141541
"cellid_000000081-1",2.08569765090942,-0.854838669300079
"cellid_000000082-1",2.15073609352112,-0.91282719373703
"cellid_000000083-1",1.50058507919312,-1.11490917205811
"cellid_000000084-1",-5.02830457687378,3.48557925224304
"cellid_000000085-1",2.66476106643677,-0.577537417411804
"cellid_000000086-1",2.96103572845459,-0.32666090130806
"cellid_000000087-1",-4.86402225494385,4.28083801269531
"cellid_000000088-1",-0.449093341827393,-2.25526595115662
"cellid_000000089-1",3.72895240783691,-0.823554813861847
"cellid_000000091-1",-3.31776118278503,-2.2410774230957
"cellid_000000092-1",-2.32588458061218,-2.68988513946533
"cellid_000000093-1",1.55607354640961,-0.364519149065018
"cellid_000000094-1",-2.56101393699646,-2.95065116882324
"cellid_000000095-1",1.6204024553299,6.10988855361938
"cellid_000000096-1",-2.54245042800903,-2.94885683059692
"cellid_000000097-1",-4.19019031524658,4.66057777404785
"cellid_000000098-1",-0.930799245834351,-4.27207612991333
"cellid_000000099-1",-4.54192686080933,4.21014261245728
"cellid_000000100-1",2.54327845573425,-0.937310338020325
"cellid_000000101-1",-4.44582653045654,3.06024265289307
"cellid_000000102-1",-4.6967601776123,3.19328117370605
"cellid_000000103-1",-4.24226713180542,3.54138493537903
"cellid_000000105-1",-4.01080799102783,3.41277146339417
"cellid_000000106-1",3.5131208896637,-0.110673472285271
"cellid_000000107-1",2.44081234931946,-0.0201278552412987
"cellid_000000108-1",3.30447912216187,-1.43481588363647
"cellid_000000109-1",-1.78252482414246,-2.62214684486389
"cellid_000000111-1",2.46141672134399,-0.873281836509705
"cellid_000000112-1",-4.27579355239868,3.19528675079346
"cellid_000000113-1",-3.89515233039856,-1.67021918296814
"cellid_000000114-1",-1.21562552452087,-2.37591886520386
"cellid_000000115-1",2.58581829071045,0.0109309367835522
"cellid_000000116-1",1.94849050045013,4.6285457611084
"cellid_000000118-1",-2.46842217445374,1.89804339408875
"cellid_000000119-1",2.01172685623169,-1.1072963476181
"cellid_000000120-1",3.20246577262878,-0.242663681507111
"cellid_000000121-1",-2.03128743171692,2.13651371002197
"cellid_000000122-1",-3.06220579147339,5.76173400878906
"cellid_000000123-1",-4.15024662017822,2.35355615615845
"cellid_000000124-1",2.07512760162354,-0.814438879489899
"cellid_000000126-1",-4.71624517440796,4.11192655563354
"cellid_000000127-1",-0.482405036687851,-2.17617583274841
"cellid_000000128-1",-4.46108436584473,4.45573234558105
"cellid_000000129-1",2.42334628105164,-0.76077926158905
"cellid_000000130-1",-3.61002111434937,3.57440733909607
"cellid_000000131-1",2.0584409236908,-1.02119731903076
"cellid_000000133-1",3.10220408439636,-0.247324287891388
"cellid_000000134-1",-1.60863423347473,1.12233817577362
"cellid_000000135-1",0.655955970287323,0.51239812374115
"cellid_000000136-1",3.0723135471344,-0.674484193325043
"cellid_000000137-1",2.26554536819458,-0.550628244876862
"cellid_000000138-1",2.39115738868713,0.234480306506157
"cellid_000000139-1",3.22400116920471,-0.670519113540649
"cellid_000000140-1",2.36470460891724,-1.08374130725861
"cellid_000000141-1",-2.48589277267456,1.76308107376099
"cellid_000000144-1",2.42132067680359,-0.00880413968116045
"cellid_000000146-1",-3.92320513725281,1.76280879974365
"cellid_000000147-1",-3.70829677581787,3.40432834625244
"cellid_000000148-1",2.35280394554138,-0.0946566388010979
"cellid_000000149-1",1.79735839366913,0.00317836692556739
"cellid_000000150-1",2.87135553359985,-0.609379470348358
"cellid_000000151-1",0.552295506000519,-1.72144114971161
"cellid_000000152-1",-4.91084766387939,3.25565600395203
"cellid_000000153-1",1.59605967998505,-1.11585140228271
"cellid_000000155-1",-2.79923868179321,-2.7881817817688
"cellid_000000156-1",3.44696617126465,-0.0973257273435593
"cellid_000000159-1",-2.96972107887268,-2.17712211608887
"cellid_000000161-1",-3.90572500228882,4.80393934249878
"cellid_000000162-1",-4.81728887557983,2.97438597679138
"cellid_000000163-1",-1.63891780376434,-1.38883173465729
"cellid_000000164-1",-3.48252558708191,-1.55586636066437
"cellid_000000165-1",-1.28309559822083,-2.76629304885864
