"Barcode","Seurat_res0.2","Seurat_res0.4","Sample","Slice","Sex","Region"
"cellid_000000093-1","c_01","c_03","M_1_4P10","4P10","M","none"
"cellid_000000094-1","c_08","c_17","M_1_4P10","4P10","M","Dm"
"cellid_000000095-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000096-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000097-1","c_04","c_04","M_1_4P10","4P10","M","Dm"
"cellid_000000098-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000099-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000100-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000101-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000102-1","c_12","c_23","M_1_4P10","4P10","M","Dm"
"cellid_000000103-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000104-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000105-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000106-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000107-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000108-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000109-1","c_01","c_02","M_1_4P10","4P10","M","Dc"
"cellid_000000110-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000111-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000112-1","c_09","c_10","M_1_4P10","4P10","M","Dm"
"cellid_000000113-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000114-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000115-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000116-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000117-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000118-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000119-1","c_08","c_12","M_1_4P10","4P10","M","Dm"
"cellid_000000120-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000121-1","c_02","c_01","M_1_4P10","4P10","M","none"
"cellid_000000122-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000123-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000124-1","c_01","c_08","M_1_4P10","4P10","M","none"
"cellid_000000125-1","c_12","c_23","M_1_4P10","4P10","M","Dm"
"cellid_000000126-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000127-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000128-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000129-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000130-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000131-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000132-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000133-1","c_01","c_02","M_1_4P10","4P10","M","none"
"cellid_000000134-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000135-1","c_11","c_21","M_1_4P10","4P10","M","Dm"
"cellid_000000136-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000137-1","c_03","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000138-1","c_01","c_06","M_1_4P10","4P10","M","Dc"
"cellid_000000139-1","c_04","c_04","M_1_4P10","4P10","M","Dm"
"cellid_000000140-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000141-1","c_01","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000142-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000143-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000144-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000145-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000146-1","c_01","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000147-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000148-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000149-1","c_03","c_24","M_1_4P10","4P10","M","Dm"
"cellid_000000150-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000151-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000152-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
