interacting_pair,cluster_pair,test_type,main_effect_p.value,d_m_p.value,d_f_p.value,f_m_p.value,main_effect_q.value
CDH2_CDH2,9|5,Linear Regression,0.05722277185202712,0.6462532364884338,0.02342786841152693,0.06723408310344739,0.4937919890963041
CDH2_CDH2,9|4,Linear Regression,0.0684236513516687,0.5460056206733335,0.02747019881643676,0.08809883930655528,0.49750728854435616
CDH2_CDH2,9|3,Linear Regression,0.01735904370317342,0.17111257233187255,0.005039024425342824,0.09939568388850478,0.4937919890963041
CDH2_CDH2,9|25,Linear Regression,0.7452348330224164,0.5264594706857004,0.5093357467284146,0.9792513668814319,0.926515035695014
CDH2_CDH2,9|17,Linear Regression,0.027252209694031037,0.022697018323517913,0.01806336652880287,0.9148983051808726,0.4937919890963041
CDH2_CDH2,9|13,Linear Regression,0.021406347077276077,0.4637923482577314,0.0075942915981723445,0.041338383370804976,0.4937919890963041
CDH2_CDH2,9|12,Linear Regression,0.03822602722506843,0.08900594400080408,0.013496828468153416,0.36616846387444324,0.4937919890963041
CDH2_CDH2,9|1,Linear Regression,0.024129659760331518,0.38735044884174996,0.008027981113293775,0.056071565660184015,0.4937919890963041
CDH2_CDH2,8|5,Linear Regression,0.6635661884605444,0.4236288810536619,0.4688947258193259,0.940081371195365,0.9140514384092266
CDH2_CDH2,8|4,Linear Regression,0.8680099073423518,0.6105334453224179,0.8802200849391892,0.7188216853205425,0.9867695889209827
CDH2_CDH2,8|3,Linear Regression,0.19604968108651374,0.10308927999601772,0.15319409741350626,0.827984119463705,0.5995388452170027
CDH2_CDH2,8|25,Linear Regression,0.37018372829579416,0.2831725479455208,0.7523641008403735,0.1867235462497146,0.7394565262872762
CDH2_CDH2,8|17,Linear Regression,0.05266308796879417,0.017549537901197815,0.3648731974667786,0.1178697994653028,0.4937919890963041
CDH2_CDH2,8|13,Linear Regression,0.29020144886656685,0.26338558797593814,0.1385690367338006,0.7051574291410049,0.7283492742377802
CDH2_CDH2,8|12,Linear Regression,0.07968808489206147,0.029668077041586187,0.14136888880403325,0.4301533897432773,0.49750728854435616
CDH2_CDH2,8|1,Linear Regression,0.3409101059429617,0.2278225294692599,0.1998306179249645,0.9370956980999458,0.7295756054165481
CDH2_CDH2,7|5,Linear Regression,0.7332289982839084,0.5147744924389978,0.49818019253517376,0.9796348437150932,0.926515035695014
CDH2_CDH2,7|4,Linear Regression,0.38333266960044343,0.18965992749259916,0.31874063483923615,0.736664109315293,0.7394565262872762
CDH2_CDH2,7|3,Linear Regression,0.9880820692042047,0.9672726641284198,0.8814037802753995,0.9169642842275125,0.9922197869438625
CDH2_CDH2,7|25,Linear Regression,0.528805270205353,0.7378399821358033,0.27383247835103564,0.4561269663190709,0.8147518237238031
CDH2_CDH2,7|17,Linear Regression,0.6612840127186006,0.6260362449452088,0.6524174676104918,0.37068394495135004,0.9140514384092266
CDH2_CDH2,7|13,Linear Regression,0.954980321321647,0.7780712422250506,0.9665945763980239,0.8170261735506417,0.9922197869438625
CDH2_CDH2,7|12,Linear Regression,0.9259323856663277,0.8100798773185632,0.8744241988825374,0.7015382535637982,0.9922197869438625
CDH2_CDH2,7|1,Linear Regression,0.9922197869438625,0.9065370332721929,0.9828371179470915,0.9263648196436596,0.9922197869438625
CDH2_CDH2,6_3|5,Linear Regression,0.9912421710438737,0.8979138180347145,0.9699772145808857,0.9303666429968006,0.9922197869438625
CDH2_CDH2,6_3|4,Linear Regression,0.9363142768581358,0.7498763094799574,0.765315731823375,0.9837288356848275,0.9922197869438625
CDH2_CDH2,6_3|3,Linear Regression,0.9865468745181131,0.9699799546801017,0.8750987609169658,0.9082566464389374,0.9922197869438625
CDH2_CDH2,6_3|25,Linear Regression,0.8594478759630472,0.8785703357817629,0.5949459815204288,0.7139157769781057,0.9867695889209827
CDH2_CDH2,6_3|17,Linear Regression,0.9212702664986716,0.7607710083421095,0.9294470814174032,0.7052146967542048,0.9922197869438625
CDH2_CDH2,6_3|13,Linear Regression,0.9788127598259722,0.9505781703721969,0.8857751125591811,0.8429842837289268,0.9922197869438625
CDH2_CDH2,6_3|12,Linear Regression,0.9691887297203532,0.8073308662411247,0.8860205512173477,0.9226972759483772,0.9922197869438625
CDH2_CDH2,6_3|1,Linear Regression,0.9312393658994891,0.9483350760739035,0.7679624301290837,0.7289798433903314,0.9922197869438625
CDH2_CDH2,6_2|5,Linear Regression,0.3046460906667638,0.8818962146351363,0.19763664910549364,0.16893509093158393,0.7283492742377802
CDH2_CDH2,6_2|4,Linear Regression,0.4153306928742737,0.8307588787600529,0.22130582258924647,0.30650089333208136,0.7449291305532952
CDH2_CDH2,6_2|3,Linear Regression,0.15522624231453555,0.5043578521697588,0.05951913470766078,0.21325859154519114,0.5608459400979813
CDH2_CDH2,6_2|25,Linear Regression,0.9807312373682777,0.8460789831477675,0.932652222631162,0.9158102166695342,0.9922197869438625
CDH2_CDH2,6_2|17,Linear Regression,0.24946380862322381,0.1432384074761077,0.1712215049143908,0.9192767985560989,0.6695286734662007
CDH2_CDH2,6_2|13,Linear Regression,0.16769019724009532,0.8840651698636779,0.08469928642798566,0.12297101584272824,0.5742320543536533
CDH2_CDH2,6_2|12,Linear Regression,0.11396274315572838,0.18804132136034513,0.04313712047095994,0.4402279674147421,0.49750728854435616
CDH2_CDH2,6_2|1,Linear Regression,0.12691649368424646,0.8056362797462997,0.059559367023463754,0.10600678823375653,0.532711263155528
CDH2_CDH2,6_1|5,Linear Regression,0.8437985231424059,0.6212622170787825,0.9741949861693797,0.6121311004711621,0.9805033118079354
CDH2_CDH2,6_1|4,Linear Regression,0.9313485045539747,0.7166094929735569,0.9080556045695877,0.8041070939176558,0.9922197869438625
CDH2_CDH2,6_1|3,Linear Regression,0.7473612187297767,0.6885365991425128,0.45381089712509337,0.7334955021206078,0.926515035695014
