"","cluster","gene","length_estimate","length_summary_p.value","length_summary_q.value"
"1",3,"LOC129348986",0.00616619214275702,0.752275863102089,0.979816956808139
"2",3,"trip4",0.0155915308951225,0.19306173420546,0.90684258410696
"3",3,"cln6a",0.010822958750118,0.058862728519506,0.76122339643184
"4",3,"LOC118470268",0.00234466387894264,0.0540293149073712,0.743591079335374
"5",3,"calml4a",0.00136681581484785,0.224693634349484,0.90684258410696
"6",3,"LOC111568352",0.000327399491798743,0.68544615917498,0.960189172726461
"7",3,"rxfp3.3a2",-0.000529880803080497,0.30688870724899,0.90684258410696
"8",3,"rps17",-0.000649103560737841,0.914658446312463,0.985243967207375
"9",3,"csnk1g1",-0.00486448692617454,0.614441530870089,0.936546012592833
"10",3,"LOC111571203",0.00429885692804686,0.202865658101645,0.90684258410696
"11",3,"neo1a",0.0381187501864279,0.0943753602342457,0.87901895710442
"12",3,"LOC129349243",0.00154032733512517,0.492206733031697,0.925864549250979
"13",3,"LOC111567962",-0.00838473545149421,0.284079462513426,0.90684258410696
"14",3,"bbs4",0.00751563948338378,0.314280443668827,0.90684258410696
"15",3,"scamp2l",0.00223927581792583,0.727677650480579,0.971912860862288
"16",3,"LOC129347348",0.00085879825109474,0.766602780509556,0.983181100175721
"17",3,"myo9aa",0.00835605404525321,0.739367815505952,0.974996064105127
"18",3,"senp8",-0.0075400039161955,0.00580489793879303,0.337073949506603
"19",3,"LOC111580711",0.000954532439698216,0.376272986860404,0.90684258410696
"20",3,"anp32a",-0.00207845031518704,0.692223478972628,0.964743050173677
"21",3,"coro2ba",0.0165930643717458,0.0335338169861397,0.614962157036302
"22",3,"itga11a",0.00148781800555553,0.566135764285624,0.925864549250979
"23",3,"LOC111564424",-4.42725739325155e-05,0.948591786020536,0.985243967207375
"24",3,"LOC129349160",0.000306234044942757,0.742372070151477,0.975690342581349
"25",3,"LOC111564416",-0.00174403154781108,0.435505632044533,0.925864549250979
"26",3,"cpeb1b",0.000887587677117834,0.276614593181036,0.90684258410696
"27",3,"LOC111564421",0.000383859006941984,0.582758413764984,0.925864549250979
"28",3,"LOC111564418",0.00469644970368564,0.264124263269876,0.90684258410696
"29",3,"LOC111564417",0.00185862143146768,0.423001830565475,0.925864549250979
"30",3,"LOC111564410",0.00106311595504653,0.849290108866657,0.984501786291203
"31",3,"ccnb2",-4.85294537358944e-05,0.948591786020536,0.985243967207375
"32",3,"cars1",-0.00787552066394661,0.324396107751585,0.90684258410696
"33",3,"pex16",0.00163409578319613,0.52502498711092,0.925864549250979
"34",3,"arfgap2",0.00840856939078706,0.239218857365727,0.90684258410696
"35",3,"LOC118469870",-0.000843920271907142,0.0126084813348914,0.337073949506603
"36",3,"glceb",0.00367958672875716,0.454904858901383,0.925864549250979
"37",3,"paqr5b",0.000345915197421921,0.742677787890214,0.975690342581349
"38",3,"LOC111564414",-0.00155313575186814,0.0126084813348914,0.337073949506603
"39",3,"tle3b",-0.00167907923391034,0.840504595871029,0.984501786291203
"40",3,"LOC129348677",0.00148408283329108,0.358765660886747,0.90684258410696
"41",3,"uacab",-0.000271372153444236,0.85182500143952,0.984501786291203
"42",3,"LOC111564639",-0.00734771303279519,0.224906782786289,0.90684258410696
"43",3,"LOC129348555",0.000359171512346896,0.376272986860404,0.90684258410696
"44",3,"rxfp3.3a1",-0.00105163765184109,0.440363164203711,0.925864549250979
"45",3,"pias1a",0.0160128120647565,0.270001779556705,0.90684258410696
"46",3,"skor1a",0.00110881457397929,0.265100551162921,0.90684258410696
"47",3,"map2k5",0.00522609308695574,0.269198066576143,0.90684258410696
"48",3,"smad3a",0.000706479578802802,0.551003120164692,0.925864549250979
"49",3,"tmem208",-0.000872697381749967,0.754050509043989,0.98017124808744
"50",3,"slc39a1",-0.000345206120108365,0.84136303642705,0.984501786291203
"51",3,"rlbp1a",0.000449458752160399,0.560191652686052,0.925864549250979
"52",3,"LOC111565738",0.00113212748982641,0.744359098140265,0.976399843907754
"53",3,"LOC111565745",-0.00367798549674832,0.274292768661604,0.90684258410696
"54",3,"mibp2",0.00437332511110116,0.244231893760475,0.90684258410696
"55",3,"bloc1s6",0.00320846681098386,0.417835039813256,0.925864549250979
"56",3,"slc30a4",0.00453767041083104,0.036995861421081,0.649267243092344
"57",3,"c1h15orf48",0.00027830516523944,0.809145213373649,0.984501786291203
"58",3,"spata5l1",0.00449084179593965,0.219067375971771,0.90684258410696
"59",3,"LOC111565744",-0.00389696278158389,0.0482945078129084,0.720254962090838
"60",3,"dtwd1",0.00136164792149744,0.624595182014645,0.940117626488551
"61",3,"cops2",-0.00283052237902891,0.617477631171878,0.937722063194822
"62",3,"secisbp2l",-0.00386874029118353,0.615862162703549,0.937031121514511
"63",3,"LOC111565759",-0.00114001805843699,0.224278262487795,0.90684258410696
"64",3,"LOC129349512",-0.000192178817367565,0.86883693818514,0.984501786291203
"65",3,"fbn1",0.000298576976403842,0.739649182688979,0.975016666995547
"66",3,"dut",0.00130018209234209,0.476182148429421,0.925864549250979
"67",3,"slc12a1",0.00063377076964408,0.75116392702672,0.979256882706007
"68",3,"ctxn2",0.00252603579851837,0.12421319699503,0.90684258410696
"69",3,"myef2",-0.00248666078406394,0.777648632460148,0.984501786291203
"70",3,"slc24a5",0.000387722776408925,0.632334559242973,0.942634073519058
"71",3,"LOC111565754",0.0013347751479883,0.601017962285917,0.930806340212641
"72",3,"sema6dl",-0.000467866000030644,0.952606314785974,0.986476703476901
"73",3,"LOC118470001",-0.000543016661017682,0.895880726122645,0.985243967207375
"74",3,"dmxl2",0.00994346332270926,0.568921725186689,0.925864549250979
"75",3,"gldn",0.000941333673128392,0.312403859976684,0.90684258410696
"76",3,"LOC111565746",0.00739759294861552,0.406851074355824,0.920438986257539
"77",3,"tnfaip8l3",0.000518007554472761,0.869271555051588,0.984708869843069
"78",3,"LOC129349365",0.000696783699801899,0.560191652686052,0.925864549250979
"79",3,"scg3",-0.0115678452625803,0.232514278266985,0.90684258410696
"80",3,"lysmd2",-0.00812701310644659,0.00334518543886767,0.337073949506603
"81",3,"tmod2",-0.0025284366415849,0.456246385197398,0.925864549250979
"82",3,"leo1",-0.0018918899137554,0.500857283047565,0.925864549250979
"83",3,"LOC129350374",-0.00112858841364417,0.0126084813348914,0.337073949506603
"84",3,"mapk6",0.00121065640753541,0.8746404244022,0.985243967207375
"85",3,"LOC118471234",6.10826751390467e-07,0.99978697860377,0.999978587782469
"86",3,"usp8",-0.00157534908271326,0.587204396555548,0.925864549250979
"87",3,"LOC111577621",-2.5527095008943e-05,0.948591786020536,0.985243967207375
"88",3,"LOC129349506",0.000488089044538635,0.376272986860404,0.90684258410696
"89",3,"LOC129349407",0.000659397470870001,0.283007106714025,0.90684258410696
"90",3,"pde8a",-0.00354353923902301,0.231806956991426,0.90684258410696
"91",3,"LOC111563916",0.00237225517754909,0.709795058868972,0.968771775863614
"92",3,"LOC111563902",0.00416428161104884,0.326065989061997,0.90684258410696
"93",3,"LOC111563893",0.00263492833498371,0.168723519815414,0.90684258410696
"94",3,"homer2",-0.00758345289606887,0.30073815106524,0.90684258410696
"95",3,"ramac",0.000138029077775167,0.914182981991534,0.985243967207375
"96",3,"LOC111567331",-0.000329498685454834,0.9555918895902,0.987409882734606
"97",3,"LOC111567348",0.000408921218879314,0.376272986860404,0.90684258410696
"98",3,"zrsr2",-0.00135122182647978,0.81033237447128,0.984501786291203
"99",3,"LOC111567330",-0.00105701648904809,0.912014218406764,0.985243967207375
"100",3,"phka2",0.00329149122185574,0.483976512658768,0.925864549250979
"101",3,"ppef1",-0.00706494369920557,0.153916710001493,0.90684258410696
"102",3,"rs1a",0.00265819744834669,0.162128730433695,0.90684258410696
"103",3,"cdkl5",0.0181007471328747,0.222465426117054,0.90684258410696
"104",3,"scml2",0.0154529117612651,0.113999284651944,0.90684258410696
"105",3,"LOC118470148",0.000421253898453102,0.376272986860404,0.90684258410696
"106",3,"nhsb",0.0114757692463848,0.157502498556659,0.90684258410696
"107",3,"ace2",0.00183627638232285,0.13307277371794,0.90684258410696
"108",3,"il1fma",0.00042207863773816,0.589389713824674,0.925864549250979
"109",3,"pir",-0.00090801998681792,0.0126084813348914,0.337073949506603
"110",3,"LOC111566429",-0.000189421012940512,0.86883693818514,0.984501786291203
"111",3,"LOC111566424",-0.00019650212717158,0.86883693818514,0.984501786291203
"112",3,"ildr1a",0.000258067530995664,0.81804341791566,0.984501786291203
"113",3,"tmem39a",-0.00126735760780622,0.613460668520022,0.936427014591869
"114",3,"LOC111566421",0.000737277117121656,0.64680347099574,0.949640127995805
"115",3,"LOC111564828",0.000198694429518848,0.95979097534184,0.988460399901514
"116",3,"LOC118469910",0.000940739112744239,0.264386808820167,0.90684258410696
