,individual,status,prediction,cluster
0,A12D,E,0.5,0
1,A22D,D,0.5,0
2,A25D,D,0.5,0
3,C21D,D,0.5,0
4,T11D,E,0.5,0
5,T13D,D,0.5,0
6,T14D,D,0.5,0
7,T17D,NF,0.5,0
8,T19D,D,0.5,0
9,T5D,D,0.5,0
0,A12D,E,0.41575286559791935,1
1,A22D,D,0.41575286559791935,1
2,A25D,D,0.41575286559791935,1
3,C21D,D,0.415752865597921,1
4,T11D,E,0.41575286559791935,1
5,T13D,D,0.4157528655979296,1
6,T14D,D,0.4157528655980054,1
7,T17D,NF,0.41575286559791935,1
8,T19D,D,0.41575286559791935,1
9,T5D,D,0.41575286559791935,1
0,A12D,E,0.5,2
1,A22D,D,0.5,2
2,A25D,D,0.5,2
3,C21D,D,0.5,2
4,T11D,E,0.5,2
5,T13D,D,0.5,2
6,T14D,D,0.5,2
7,T17D,NF,0.5,2
8,T19D,D,0.5,2
9,T5D,D,0.5,2
0,A12D,E,0.6265417838429879,3
1,A22D,D,0.48610462073958544,3
2,A25D,D,0.41136418282062415,3
3,C21D,D,0.5644497931022225,3
4,T11D,E,0.48591304032941895,3
5,T13D,D,0.576677528819579,3
6,T14D,D,0.5673985408081822,3
7,T17D,NF,0.5105022282728575,3
8,T19D,D,0.523605287965208,3
9,T5D,D,0.5416205842377066,3
0,A12D,E,0.4304070548457226,4
1,A22D,D,0.4312387248520813,4
2,A25D,D,0.4301267245170374,4
3,C21D,D,0.43018231838387844,4
4,T11D,E,0.431950823142978,4
5,T13D,D,0.43048623779552214,4
6,T17D,NF,0.43016046025907334,4
7,T19D,D,0.432973562145594,4
8,T5D,D,0.43032757740053496,4
0,A12D,E,0.512816239291549,5
1,A22D,D,0.5,5
2,A25D,D,0.5,5
3,C21D,D,0.5,5
4,T11D,E,0.4908686122353893,5
5,T13D,D,0.4935262281877592,5
6,T14D,D,0.5,5
7,T17D,NF,0.4839083739304415,5
8,T19D,D,0.5,5
9,T5D,D,0.5,5
0,A12D,E,0.36223501506311545,6
1,A22D,D,0.3622350150631531,6
2,A25D,D,0.3622350150631531,6
3,C21D,D,0.36223501506315364,6
4,T11D,E,0.3622350150631531,6
5,T13D,D,0.3622350150631531,6
6,T14D,D,0.36223501506325123,6
7,T17D,NF,0.362235015063153,6
8,T19D,D,0.36223501510623324,6
9,T5D,D,0.3622350150631531,6
0,A12D,E,0.4266917175451704,7
1,A22D,D,0.3440429575691397,7
2,A25D,D,0.34022219116788166,7
3,C21D,D,0.3953524584530175,7
4,T11D,E,0.3883029354747753,7
5,T13D,D,0.39559256416207705,7
6,T14D,D,0.40044868939479394,7
7,T17D,NF,0.4593847299954567,7
8,T19D,D,0.3424132865384278,7
9,T5D,D,0.37612270831350864,7
0,A12D,E,0.5,8
1,A22D,D,0.5079147603559977,8
2,A25D,D,0.5,8
3,C21D,D,0.5,8
4,T11D,E,0.5,8
5,T13D,D,0.5,8
6,T14D,D,0.5,8
7,T17D,NF,0.5,8
8,T19D,D,0.5,8
9,T5D,D,0.5,8
0,A12D,E,0.5987567654522291,9
1,A22D,D,0.6060571487270024,9
2,A25D,D,0.46607166939552164,9
3,C21D,D,0.5,9
4,T11D,E,0.3958700044407185,9
5,T13D,D,0.46968401937025644,9
6,T14D,D,0.5115409543334141,9
7,T17D,NF,0.4713198876966802,9
8,T19D,D,0.6004884774256894,9
9,T5D,D,0.5288890088993576,9
0,A12D,E,0.5659813521570033,10
1,A22D,D,0.5437579154545015,10
2,A25D,D,0.5609744548315418,10
3,C21D,D,0.5565183875379098,10
4,T11D,E,0.552805739782866,10
5,T13D,D,0.5418496115233176,10
6,T14D,D,0.5413383362139418,10
7,T17D,NF,0.5323104718580993,10
8,T19D,D,0.5665925892696242,10
9,T5D,D,0.5491393779691595,10
0,A12D,E,0.5611174039437066,11
1,A22D,D,0.561117399643156,11
2,A25D,D,0.5611173995768789,11
3,C21D,D,0.5611173994840591,11
4,T11D,E,0.561117361134055,11
5,T13D,D,0.5611173989424161,11
6,T14D,D,0.5611173994840591,11
7,T17D,NF,0.5611173994840591,11
8,T19D,D,0.561117399484471,11
9,T5D,D,0.5611173994812423,11
0,A12D,E,0.44658758172363794,12
1,A22D,D,0.5342009848290459,12
2,A25D,D,0.5386909022857351,12
3,C21D,D,0.5387147940870498,12
4,T11D,E,0.4319113865537473,12
5,T13D,D,0.5172035681685546,12
6,T14D,D,0.4150245787095957,12
7,T17D,NF,0.5484386122331288,12
8,T19D,D,0.5488673944311178,12
9,T5D,D,0.5571496958676103,12
0,A12D,E,0.3681697502239149,13
1,A22D,D,0.3814645660186086,13
2,A25D,D,0.3851326564585111,13
3,C21D,D,0.4080932180391973,13
4,T11D,E,0.40315442348665514,13
5,T13D,D,0.4037799617714507,13
6,T14D,D,0.435042449984026,13
7,T17D,NF,0.46528841540494015,13
8,T19D,D,0.3751172386595449,13
9,T5D,D,0.43369437432182817,13
0,A12D,E,0.670265124954609,14
1,A22D,D,0.6555566052983111,14
2,A25D,D,0.5885238329676129,14
3,C21D,D,0.6937952167685203,14
4,T11D,E,0.475522030228038,14
5,T13D,D,0.6789602637884616,14
6,T14D,D,0.7000040056732592,14
7,T17D,NF,0.6768771149828837,14
8,T19D,D,0.5394905900081337,14
9,T5D,D,0.6409461815353087,14
0,A12D,E,0.4807314976124158,15
1,A22D,D,0.4668534390988559,15
2,A25D,D,0.4782295173704513,15
3,C21D,D,0.5341162988172292,15
4,T11D,E,0.5496917249329271,15
5,T13D,D,0.5500722478258238,15
6,T14D,D,0.5918426169742902,15
7,T17D,NF,0.5692932208670185,15
8,T19D,D,0.49112169015850005,15
9,T5D,D,0.6352653606075247,15
0,A12D,E,0.6134910879572674,16
1,A22D,D,0.5170691531965588,16
2,A25D,D,0.5094658920760846,16
3,C21D,D,0.681963343580274,16
4,T11D,E,0.68190946617586,16
5,T13D,D,0.5759526621929603,16
6,T14D,D,0.7077072931523826,16
7,T17D,NF,0.5381356392038618,16
8,T19D,D,0.5152943847054519,16
9,T5D,D,0.49486719545885155,16
0,A12D,E,0.41974600949547675,17
1,A22D,D,0.4171301735183459,17
2,A25D,D,0.4203952162652227,17
3,C21D,D,0.42908595748559974,17
4,T11D,E,0.43900818576843714,17
5,T13D,D,0.4128407790212573,17
6,T14D,D,0.420231938071824,17
7,T17D,NF,0.4194960605327572,17
8,T19D,D,0.4231956364632684,17
9,T5D,D,0.4209611128440865,17
0,A12D,E,0.5,18
1,A22D,D,0.5068828341606841,18
2,A25D,D,0.5,18
3,C21D,D,0.5068828341606841,18
4,T11D,E,0.5068828341606841,18
5,T13D,D,0.5,18
6,T14D,D,0.5,18
7,T17D,NF,0.5,18
8,T19D,D,0.5068828341606841,18
9,T5D,D,0.5,18
0,A12D,E,0.4071418098739477,19
1,A22D,D,0.4554208682989227,19
2,A25D,D,0.41954135326902436,19
3,C21D,D,0.44465974266465247,19
4,T11D,E,0.4535825487294232,19
5,T13D,D,0.44798452275012507,19
6,T14D,D,0.4232728635973849,19
7,T17D,NF,0.38919980305449847,19
8,T19D,D,0.44459532437254295,19
9,T5D,D,0.3582177786088488,19
0,A12D,E,0.406866683551488,20
1,A22D,D,0.4364349633789283,20
2,A25D,D,0.4089896970108164,20
3,C21D,D,0.40235990572420655,20
4,T11D,E,0.38356706767641324,20
5,T13D,D,0.4546320029299601,20
6,T14D,D,0.38781688738818465,20
7,T17D,NF,0.4449001144840646,20
8,T19D,D,0.43310641375143494,20
9,T5D,D,0.4538949824686301,20
0,A12D,E,0.5492769238437147,22
1,A22D,D,0.47956615003898784,22
2,A25D,D,0.5399948305555642,22
3,C21D,D,0.4561830586147696,22
4,T11D,E,0.4572297175257916,22
5,T13D,D,0.514832960447143,22
6,T14D,D,0.4830292509538867,22
7,T17D,NF,0.4562578849976676,22
8,T19D,D,0.5,22
9,T5D,D,0.45548178773090675,22
0,A12D,E,0.5464013316857551,23
1,A22D,D,0.53358917166224,23
