"","cluster","gene","Time_p.value","Time_estimate","Time_x_status_p.value","status_p.value","d_f_p.value","d_f_estimate","d_m_p.value","d_m_estimate","f_m_p.value","f_m_estimate","Time_q.value","status_q.value","Time_x_status_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"10963",29,"sema4f",0.384951590966638,-0.000259655034986566,0.290874731219643,0.962495839416981,0.472430051719017,-0.185855750589107,0.461875956980824,-0.185813367192546,0.99988127848373,4.23833965607912e-05,0.930314586222221,0.999900403579898,0.908260725116513,0.99987331240719,0.999528564253519,0.999954320089235
"10964",29,"dok1b",0.272245772264197,-0.00118853499912991,0.0699119172274476,0.965424551442678,0.342600495453805,-0.150742679046141,0.583425164907793,-0.0839884950996687,0.701374806625535,0.0667541839464721,0.912176843453652,0.999900403579898,0.739674117825737,0.99987331240719,0.999528564253519,0.999912101669069
"10965",29,"paip2b",0.261603498519802,-0.000813644703867357,0.488937933548141,0.862535378752203,0.710499880491347,-0.0433495624494785,0.506406698065916,0.0761855092621395,0.364181340553842,0.119535071711618,0.906661825002002,0.999900403579898,0.963695190135482,0.99987331240719,0.999528564253519,0.999912101669069
"10966",29,"cct7",0.761316360195683,0.000375633238001012,0.69734816106466,0.47005083373955,0.525008924244604,-0.0695638732628494,0.423569412107281,-0.0858689086728232,0.892658192864824,-0.0163050354099737,0.977158532763107,0.999900403579898,0.985234712860753,0.99987331240719,0.999528564253519,0.999912101669069
"10967",29,"mark2b",0.0846126652568379,-0.00175072216515398,0.441546778719453,0.716272581094135,0.344783966641713,0.297500188815064,0.776021102810987,0.0860227516495086,0.541909369657153,-0.211477437165555,0.758452623134707,0.999900403579898,0.957760378338911,0.99987331240719,0.999528564253519,0.999912101669069
"10968",29,"LOC111568563",0.872672695793859,-0.00012336460636188,0.86418783373746,0.659524018704146,0.712517422550583,0.0139813557190401,0.711761447509342,-0.0136817411915886,0.514715843319133,-0.0276630969106287,0.984500447854466,0.999900403579898,0.994685674641859,0.99987331240719,0.999528564253519,0.999912101669069
"10969",29,"naa40",0.954981963009437,-0.000826454533820989,0.182070453321878,0.202452040955633,0.725465874784309,-0.0303083036573532,0.265927944553744,-0.0958145029687526,0.498016931385127,-0.0655061993113994,0.993010552925706,0.999900403579898,0.857026109713085,0.99987331240719,0.999528564253519,0.999912101669069
"10970",29,"LOC111577140",0.19050617726174,-7.37908169453209e-05,0.0158119449347185,0.17419121592315,0.767214257363175,0.00418242078981693,0.0392194565615504,-0.0309497823559078,0.0399542975000505,-0.0351322031457248,0.876891148377137,0.999900403579898,0.580155532655619,0.99987331240719,0.999528564253519,0.999912101669069
"10971",29,"arl2",0.346736989260199,-0.001001567506787,0.00305358019553374,0.112471828083256,0.120420862164896,0.0703549735047567,0.0746139961194351,0.0800699194339248,0.839774820766515,0.00971494592916811,0.927880625806602,0.999900403579898,0.410182633355208,0.99987331240719,0.999528564253519,0.999912101669069
"10972",29,"batf2",0.196079200708612,-0.000230605808357259,0.374342058738272,0.841074493453146,0.836256230764562,-0.0351730958786215,0.736735282987641,0.0559078478575659,0.631755764686912,0.0910809437361874,0.881402339347239,0.999900403579898,0.94469014298723,0.99987331240719,0.999528564253519,0.999912101669069
"10973",29,"ppp2r5b",0.507213444970305,4.37158328395525e-05,0.112233151558031,0.463343242959238,0.376529185609385,-0.220302241704694,0.0717359443696406,-0.46029304768766,0.386278444322028,-0.239990805982966,0.952005434539027,0.999900403579898,0.812582090402598,0.99987331240719,0.999528564253519,0.999912101669069
"10974",29,"badb",0.664667219316474,-0.000230039456060329,0.473302582827566,0.338540903534174,0.404611427635184,0.0460780138971896,0.0909759299434726,0.0952907048585829,0.423203979768174,0.0492126909613933,0.965347148416058,0.999900403579898,0.959763940931554,0.99987331240719,0.999528564253519,0.999912101669069
"10975",29,"LOC111588381",0.968888693802441,-0.00101501225415988,0.219748561366896,0.645034227415289,0.985837989756364,-0.0031536785141123,0.45193291866965,-0.131894274843122,0.518348708991262,-0.128740596329009,0.995615468591438,0.999900403579898,0.872463753171466,0.99987331240719,0.999528564253519,0.999912101669069
"10976",29,"plcb3",0.0709365867244756,0.000659131162554592,0.151649302540363,0.780931054744435,0.361051310322211,0.302163542632933,0.56072229443846,0.185966297566084,0.748716048917567,-0.116197245066848,0.736584258746796,0.999900403579898,0.852606839294483,0.99987331240719,0.999528564253519,0.999912101669069
"10977",29,"ppp1r14bb",0.499953420633611,0.00130637635580238,0.264925471522587,0.873207916414627,0.795857117405771,0.0747517697161917,0.547250754570336,-0.170711468062324,0.449699594752527,-0.245463237778516,0.952005434539027,0.999900403579898,0.89399149491645,0.99987331240719,0.999528564253519,0.999912101669069
"10978",29,"tmem179ba",0.845461645006505,-0.00013256707714571,0.544475081223558,0.732917924728771,0.452191145610111,-0.0315537315932223,0.5902662039071,-0.0219340620431587,0.8351151609234,0.00961966955006357,0.983740147024979,0.999900403579898,0.970813818652049,0.99987331240719,0.999528564253519,0.999912101669069
"10979",29,"prox3",0.821614251714468,-0.00040672660286896,0.127587631090811,0.274828888848266,0.889402129110726,-0.020189860092533,0.768746165956763,-0.0417128184600959,0.894000990193435,-0.0215229583675629,0.98274172367339,0.999900403579898,0.831011257520552,0.99987331240719,0.999528564253519,0.999912101669069
"10980",29,"snx15",0.304686609421664,0.000214881790289438,0.925317403742367,0.35207442717046,0.755401649939066,-0.0145502111253134,0.374448539529591,0.0410453105572907,0.294360006032576,0.0555955216826041,0.91321321271352,0.999900403579898,0.995232642971232,0.99987331240719,0.999528564253519,0.999912101669069
"10981",29,"slc3a2a",0.243887687963002,0.000261163858165164,0.298075371198872,0.401261063989472,0.177742787953283,-0.273558474816987,0.753680060125107,-0.0600458891704053,0.335750655244927,0.213512585646582,0.901002028413364,0.999900403579898,0.91149231387927,0.99987331240719,0.999528564253519,0.999912101669069
"10982",29,"pcxb",0.626756050716011,-0.000254447109284373,0.406790229716124,0.951981604434325,0.55709232990677,-0.329080834139337,0.65916470041474,-0.240512884300525,0.886326632196415,0.0885679498388118,0.963774677898837,0.999900403579898,0.949509816470833,0.99987331240719,0.999528564253519,0.999912101669069
