"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"LOC129348986",0.756115621920589,0.538983238211932,0.769549973761365,0.734392997947533,0.870800695488366,0.619514096789633,0.0592013809990316,0.0280216788188191,0.0872230598178507,0.938436994328826,0.689495120051839,0.540356713053775,0.0101168384496437,-0.0433194338618053,0.0729766589003328,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.989448673903889
"trip4",0.848513190935661,0.2925142070921,0.495443364399619,0.977007321193966,0.733245667385937,0.720423291482779,0.00523558354888871,0.0604651364730475,0.0657007200219362,0.738501225473068,0.202291700016291,0.294284066289505,-0.0467752064481044,0.150297636983154,0.1498505107512,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.976140666247416
"cln6a",0.895338086220873,0.988353151839792,0.213350646700836,0.757383258895411,0.241531052033088,0.373898074618267,-0.0664233617993873,0.254071029352571,0.187647667553184,0.225816827305783,0.204499958037203,0.988378965744667,-0.292556316794842,0.256784155593987,-0.00292429565315075,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.999535384301046
"rps17",0.939485825414716,0.445869918876577,0.597483878163838,0.417260043643465,0.799812200536831,0.546454101275617,0.170399368725711,-0.0528384848448792,0.117560883880831,0.484223391477933,0.939232958302116,0.447226482104571,0.16879188363141,-0.0124299700718654,-0.126201564335362,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.98186384669378
"csnk1g1",0.911975427857307,0.407112566890197,0.847562409312377,0.837511503342611,0.752374252865169,0.608906311885211,0.036750567770785,0.0559852381577565,0.0927358059285415,0.716818587721119,0.194085760067342,0.409284784548898,0.0537998641320581,0.165467767369492,0.112996731164845,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.979754016934808
"LOC111571203",0.92228723010333,0.552374826985907,0.648779395104282,0.481620415149761,0.865197942170735,0.609840792806115,0.140821800814048,-0.0336674000859132,0.107154400728135,0.498277408199106,0.824224847891497,0.554371046290648,0.116194521635363,-0.0445319897605461,-0.123504627776976,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.989448673903889
"neo1a",0.881215976679089,0.91864840965372,0.09496461716699,0.751660333910151,0.763335096961127,0.543953889305547,0.0554401027157061,0.0522635585133076,0.107703661229014,0.839262579301556,0.00327243108326909,0.919119067854287,0.0258989174374333,0.316626436316706,0.0121916883000212,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.999535384301046
"LOC111567962",0.831949124480527,0.135053472901458,0.313660709983791,0.845040854282824,0.649374357618469,0.523683584424801,0.0343400693286484,0.0796386279326602,0.113978697261309,0.830080227778495,0.0103856699397275,0.137813587981528,0.0285544200827286,0.294460412036535,0.183749151289425,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.914755893049484
"bbs4",0.77696495111947,0.611643032718694,0.0149561766441295,0.966708355223858,0.417363981923595,0.398570436282044,0.0075691530432848,0.147845981444468,0.155415134487752,0.0840222897112542,0.0251243076353857,0.613093296288482,-0.247875607744901,0.2862644657532,-0.063611760647953,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.989448673903889
"myo9aa",0.922329910173588,0.109070633981088,0.775316863329103,0.799226810358652,0.742407086746228,0.567084302473336,0.0472683382723732,0.0616780376155915,0.108946375887965,0.0954998770734521,0.449276512009362,0.111116197957078,-0.280078896078078,-0.122388441474156,-0.239518241302724,FALSE,NA,NA,0.999976647978995,0.999643990754494,0.892409059980042
