"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster","full_label","first_word","second_word","short_label"
"3232",3232,"tacr3a","2.64320071535268e-06",NA,"FALSE",0.000409958413240731,0.000703022244458507,0.363497351638838,1.21362765603816e-06,-1.35768095692797,0.372201864942414,1.72988282187038,"6_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"4046",4046,"cntn4","4.31114678663843e-07",NA,"FALSE",6.84327190710309e-05,6.09461220725249e-05,0.999948214970345,7.82068891780341e-06,0.825667990121119,-0.00200829301184025,-0.827676283132959,"6_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"6333",6333,"LOC111562717","5.82842579177587e-05",NA,"FALSE",0.00810738879510696,7.07075396639834e-05,0.0242944654193572,0.0710737660245764,-1.95948999236603,-0.907512767279501,1.05197722508653,"6_0","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"6485",6485,"pgr","4.009481576564e-05",NA,"FALSE",0.00569682843864526,0.170942982147823,0.0236515692811495,2.03742906514925e-05,0.619899947190164,-1.04960283925573,-1.66950278644589,"6_0","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"7840",7840,"shc1","0.000314018330989625",NA,"FALSE",0.0391424812824982,0.000211588558943876,0.25525445412657,0.0298457383593914,-0.869181671219547,-0.335755598345791,0.533426072873756,"6_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"8233",8233,"bcan","1.3897616279986e-05",NA,"FALSE",0.0020314515653004,7.27426751282456e-05,0.988488337293026,4.66941863519477e-05,-1.34902635107576,-0.0388791228425939,1.31014722823316,"6_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"8860",8860,"LOC111587111","1.02067734168075e-08",NA,"FALSE",1.71389439903053e-06,0.00122827621202126,0.124171688405697,1.03456906375143e-08,0.679299497345117,-0.409470424013302,-1.08876992135842,"6_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"11649",11649,"LOC111569503","0.000363351868012158",NA,"FALSE",0.0447429288137638,0.0016406051732577,0.860276445899596,0.00419754588156784,0.974012210682133,0.155959145210064,-0.818053065472069,"6_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"12261",12261,"si:dkey-175g6.2","0.000296383045219233",NA,"FALSE",0.0371722883503974,0.000165159155149697,0.132207628179505,0.062979634229285,-1.25669915646161,-0.570447723910591,0.686251432551015,"6_0","Terminally downregulated","Transiently","Downregulated","Transiently Downregulated"
"15887",15887,"LOC111566724","8.5964509552594e-05",NA,"FALSE",0.011644179367264,0.0116403581236383,0.683919401674465,0.000558583229197995,1.40550099161297,-0.534139581240731,-1.93964057285371,"6_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
