"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster","full_label","first_word","second_word","short_label"
"5865",5865,"lsamp",0.000125895393207712,NA,FALSE,0.0141210197510862,0.00984950539672347,0.540663829749267,9.28032527595102e-05,-0.863483442006904,0.290650860672537,1.15413430267944,"11_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"6353",6353,"wu:fa11c10",0.000102822348489076,NA,FALSE,0.0116703365535101,0.297021479283995,0.0402510986414333,8.79407500226081e-05,-0.314310297456072,0.461160225109098,0.77547052256517,"11_0","Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"7659",7659,"nr1d2a",1.59744828998092e-05,NA,FALSE,0.00184606933293068,0.00176954623917847,6.14704010813982e-05,0.6344574760686,-1.33161795469209,-1.73845767270754,-0.406839718015451,"11_0","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"11761",11761,"opcml",0.000108934467220853,NA,FALSE,0.0122909018992144,0.00524038134660332,5.90823269804863e-05,0.271553715251903,1.02471451719465,1.36911676131355,0.344402244118896,"11_0","Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"11945",11945,"slco2b1",0.000238654705794926,NA,FALSE,0.0264573716866142,0.000130933268442823,0.0365972566600972,0.159188862007766,0.629394727030762,0.379751416795468,-0.249643310235294,"11_0","Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"12358",12358,"LOC111572229",0.00036829485939885,NA,FALSE,0.04059333167062,0.00231370193016822,0.666326746535697,0.000206442213941505,-1.89636522921755,0.265100309596783,2.16146553881433,"11_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"13505",13505,"LOC111565980",1.25221152554674e-05,NA,FALSE,0.00145592496153203,0.000169864857556878,0.903222604295551,1.42824969007194e-05,-2.28183281266592,0.193501568090632,2.47533438075655,"11_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"13869",13869,"mast4",0.00042679065609408,NA,FALSE,0.0465031098880109,0.000828276084513524,0.0136777978292402,0.505591652340903,-1.41980994301788,-0.964366560695943,0.455443382321941,"11_0","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"15406",15406,"asic2",9.3941270616127e-05,NA,FALSE,0.0107261805275947,0.00308171649604805,0.808187548736713,0.000132070961500474,-0.904462346226007,0.165515354996179,1.06997770122219,"11_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"18023",18023,"kcnip4a",0.00017564364697207,NA,FALSE,0.0195858073711312,0.0596414100330185,0.000123820729592494,0.0759726991769478,-1.22434715088034,-2.65642123787566,-1.43207408699533,"11_0","Early downregulated, reduced rebound","Early","Downregulated","Early Downregulated"
"4514",4514,"ctsla",2.49222566895447e-83,NA,FALSE,1.66271581176644e-81,0,2.44249065417534e-14,0,0.912766141237389,0.308176864309868,-0.604589276927521,"11_1","Progressively upregulated","Progressively","Upregulated","Progressively Upregulated"
"9743",9743,"cnih2",2.7504753976436e-41,NA,FALSE,1.80442646399577e-39,0.30968747565561,0,0.831000837127698,-1.06108105710654,-0.64050489707791,0.420576160028633,"11_1","Early downregulated, reduced rebound","Early","Downregulated","Early Downregulated"
"9816",9816,"trpv1",0.000359489841872445,NA,FALSE,0.0227315966276371,0.179475273888516,0.00445236606452326,0.00943940409720934,1.95600279831635,3.40691184779825,1.4509090494819,"11_1","Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"12835",12835,"LOC111562889",0.000272995691119523,NA,FALSE,0.0173319240188585,0.0102995586526341,0.0008492040241731,0.501369108380851,-1.51842559581977,-2.27030726702087,-0.751881671201101,"11_1","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"499",499,"LOC111587406",2.22877853615128e-28,NA,FALSE,2.96796083491264e-26,0.136322320713691,0.30254125277365,7.99360577730113e-15,1.99049056467255,1.53847431395347,-0.452016250719074,"11_2","Late upregulated_2","Late","Upregulated","Late Upregulated"
"5996",5996,"LOC111567042",2.25308981239646e-96,NA,FALSE,3.17535457560408e-94,0,8.91842155681388e-13,0,1.00145373669222,0.272005200142872,-0.729448536549348,"11_2","Progressively upregulated","Progressively","Upregulated","Progressively Upregulated"
"13087",13087,"LOC111582626",2.82858853692268e-19,NA,FALSE,3.67977610280279e-17,1.81399339993504e-12,3.47499806707674e-14,0.58074743674057,-0.35943906904397,-0.324372637798878,0.0350664312450924,"11_2","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"15118",15118,"lrmp",1.30495047153062e-19,NA,FALSE,1.71080018407178e-17,0.0197176957285616,3.0994701240572e-05,3.49720252756924e-14,-0.187480089269062,0.217820563309249,0.405300652578311,"11_2","Transiently upregulated, high rebound","Transiently","Upregulated","Transiently Upregulated"
