"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","cluster"
"3567","smu1b",0.693102621389469,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3568","LOC111579522",0.784189772749967,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3569","rps6",0.915846923499276,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3570","acer2",0.762831790733907,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3571","LOC111575318",0.454111072761737,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3572","mttp",0.999908331244968,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3573","LOC111575336",0.649080081424586,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3574","LOC111575327",0.119810841097063,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3575","LOC111575330",0.474611904801357,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3576","LOC111575314",0.655768528815178,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3577","myoz2b",0.999999999206968,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3578","usp53b",0.502557878399318,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3579","fabp2",0.993428421642953,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3580","gucy1b1",0.161608909832435,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3581","gucy1a1",0.694067002430754,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3582","ufsp2",0.387161588584365,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3583","cfap97",0.589422422388081,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3584","slc25a4",0.802474116618977,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3585","LOC129348683",0.11086828665066,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3586","acsl1a",0.590975521938536,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3587","primpol",0.779603492765947,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3588","si:ch211-145b13.6",0.99993133523112,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3589","LOC129348654",0.581661148477185,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3590","rnf24",0.855570113959506,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3591","ccdc86",0.81942996593025,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3592","glb1",0.579283383200396,NA,FALSE,"0.999999999899967",NA,NA,NA,4
"3593","cldnd1b",0.788758583570833,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3594","tacr3l",0.534188462047785,NA,TRUE,"0.999999999899967",NA,NA,NA,4
"3595","LOC129348664",0.0859614646398983,NA,TRUE,"0.999999999899967",NA,NA,NA,4
