"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster"
"1863","gdpgp1",0.9927480861069,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1864","LOC111563172",0.9999999999028,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1865","LOC111563076",0.999999535231876,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1866","LOC111563067",0.999999999936243,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1867","unc45a",0.93969483769908,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1868","man2a2",0.127007889664221,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1869","furinb",0.0571631510386521,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1870","accs",0.685429819035274,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1871","rag1",0.999999544994052,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1872","LOC111562979",0.950894461606626,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1873","lrrc4ca",0.449023287436695,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1874","pdhx",0.0903920341137074,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1875","cd44b",0.265008374876159,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1876","LOC129348592",0.995899231601625,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1877","slc1a2b",0.0258718800138794,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1878","pamr1b",0.999999999935717,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1879","fjx1",0.878405896765947,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1880","trim44",0.188291899105544,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1881","ldlrad3",0.725864327188552,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1882","phrf1",0.843488558822778,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1883","irf7",0.999999866757867,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1884","LOC118469116",0.71953573215319,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1885","rassf7a",0.740110837312148,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"1886","hrasa",0.4469052006457,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1887","tsg101a",0.950160904992118,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1888","ldha",0.764669271323307,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1889","brsk2a",0.141052721962911,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1890","abtb2b",0.0622896638399358,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1891","LOC129348554",0.885188667355982,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1892","b4galnt4a",0.163333340480541,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1893","LOC111578075",0.538988809014078,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1894","tmem86a",0.151472877195246,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1895","spty2d1",0.113789945649225,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1896","uevld",0.429828275430286,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1897","si:dkeyp-19e1.3",0.0465618319332865,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1898","cpt1ab",0.0756141822507883,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1899","mrpl23",0.854798319344364,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1900","igf2b",0.0929180202120885,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"1901","th",0.859602670265824,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1902","nap1l4a",0.353205058812341,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1903","phlda2",0.999996411109715,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1904","LOC129348551",0.999999999897663,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1905","osbpl5",0.608766113628404,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1906","ptprja",0.726636959613807,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1907","ptpn5",0.219075391325828,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1908","dusp8a",0.670739171648152,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1909","LOC129348258",0.999999999936753,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1910","mob2a",0.832373567308813,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1911","kcnj11",0.869356605184043,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1912","abcc8",0.225504283062517,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1913","LOC129348257",0.698827117784415,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1914","ush1c",0.886700565335686,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1915","ccdc77",0.99815690288348,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1916","hdhd5",0.99425927319382,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1917","LOC111563353",0.82961178046549,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1918","ccdc34",0.590453628801909,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"1919","LOC111563365",0.999999997756215,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
