"","gene","av_p.value","warning","singular","av_q.value","cluster"
"30","LOC111564421",0.910900735649463,"unable to evaluate scaled gradient",FALSE,"NA",14
"31","LOC111564418",0.651278395460741,NA,TRUE,"0.999999999964445",14
"32","LOC111564417",0.466738514480913,NA,TRUE,"0.999999999964445",14
"33","LOC111564410",0.92559941127421,NA,TRUE,"0.999999999964445",14
"34","LOC111564425",0.999999997545672,NA,TRUE,"0.999999999964445",14
"35","ccnb2",0.999999999943276,NA,TRUE,"0.999999999964445",14
"36","cars1",0.742196898516574,NA,TRUE,"0.999999999964445",14
"37","pex16",0.893734250813624,NA,FALSE,"0.999999999964445",14
"38","arfgap2",0.118339223261872,NA,FALSE,"0.999999999964445",14
"39","LOC118469870",0.118152589172596,NA,FALSE,"0.999999999964445",14
"40","glceb",0.416928790697154,NA,FALSE,"0.999999999964445",14
"41","paqr5b",0.987662584298195,"unable to evaluate scaled gradient",FALSE,"NA",14
"42","LOC111564414",0.55520909485696,NA,TRUE,"0.999999999964445",14
"43","tle3b",0.267330283675732,NA,FALSE,"0.999999999964445",14
"44","LOC129348677",0.999999999951127,NA,TRUE,"0.999999999964445",14
"45","uacab",0.934243842653624,NA,TRUE,"0.999999999964445",14
"46","LOC111564639",0.872390781616916,NA,TRUE,"0.999999999964445",14
"47","rxfp3.3a1",0.981297230939985,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",14
"48","pias1a",0.924342942183793,NA,TRUE,"0.999999999964445",14
"49","skor1a",0.971662292129567,NA,TRUE,"0.999999999964445",14
"50","map2k5",0.117710158654958,NA,TRUE,"0.999999999964445",14
"51","smad3a",0.887372404649659,NA,TRUE,"0.999999999964445",14
"52","tmem208",0.59477334584122,NA,FALSE,"0.999999999964445",14
"53","slc39a1",0.706402721150271,NA,FALSE,"0.999999999964445",14
"54","rlbp1a",0.938546419520708,NA,TRUE,"0.999999999964445",14
"55","LOC111565738",0.836795609116249,NA,FALSE,"0.999999999964445",14
"56","LOC111565745",0.748847977764806,NA,TRUE,"0.999999999964445",14
"57","mibp2",0.722773967692493,NA,TRUE,"0.999999999964445",14
