"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","cluster"
"1","LOC129348986",0.162725087076547,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"2","trip4",0.890545892759359,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"3","chrna7a",0.685645124404033,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,24
"4","cln6a",0.760522339411771,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"5","LOC118470268",0.640155306967264,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"6","calml4a",0.56247224029645,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"7","LOC111568352",0.0517507178982272,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"8","rxfp3.3a2",0.959168280853409,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"9","rps17",0.50351389535558,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"10","LOC129347713",0.99999837467973,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"11","csnk1g1",0.773135822715931,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"12","LOC111571203",0.402737976881937,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"13","neo1a",0.167918349088359,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"14","LOC129349243",0.985771021741725," Hessian is numerically singular: parameters are n",FALSE,"NA",NA,NA,NA,24
"15","LOC111567962",0.330701892070265,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"16","bbs4",0.136605260432213,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"17","scamp2l",0.698516264833685,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"18","LOC129347348",0.159778893215889,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"19","myo9aa",0.608064765577066,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"20","senp8",0.566636819179257,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"21","LOC111580711",0.43260963795252,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"22","anp32a",0.682073046426578,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"23","coro2ba",0.145164022205953,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"24","itga11a",0.607687780028343,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"25","LOC111588606",0.983379335887655,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"26","LOC111564424",0.583491641119397,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,24
"27","LOC129349160",0.985631567050581,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"28","LOC111564416",0.584386720606022,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"29","cpeb1b",0.179735965960139,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"30","LOC111564421",0.877263846437239,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"31","LOC111564418",0.649627204036416,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"32","LOC111564417",0.789881280827089,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"33","LOC111564410",0.563093675357675,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"34","LOC111564425",0.999999990655578,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"35","ccnb2",0.999999999979426,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"36","cars1",0.877106645621261,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"37","pex16",0.158134088935649,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"38","arfgap2",0.732937535604988,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"39","LOC118469870",0.972540085159155,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"40","glceb",0.0126806202268358,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"41","LOC111564414",0.786331286147907,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"42","tle3b",0.846741327269121,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"43","LOC129348677",0.999999999890157,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"44","uacab",0.733986016006466,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"45","LOC111564639",0.420398992422244,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"46","rxfp3.3a1",0.861540943363595,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"47","pias1a",0.739746166891918,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"48","skor1a",0.999999999466105,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,24
"49","map2k5",0.772105891483248,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"50","smad3a",0.949483558430101,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"51","smad6a",0.999999999959212,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"52","tmem208",0.577626866614611,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"53","slc39a1",0.951934642340807,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"54","LOC111565738",0.669729498814333,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"55","LOC111565745",0.640722902429166,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"56","mibp2",0.0998891297790684,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"57","bloc1s6",0.936308171690466,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"58","slc30a4",0.887869748265901,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"59","c1h15orf48",0.986453535224369,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"60","spata5l1",0.638014194743735,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"61","LOC111565744",0.757623378206559,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"62","dtwd1",0.833850355381075,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"63","LOC129349619",0.305239610261763,NA,FALSE,"0.999999999985569",NA,NA,NA,24
"64","cops2",0.888731906733996,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"65","secisbp2l",0.391914113720809,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"66","LOC111565759",0.944661733241798,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"67","fbn1",0.881312577067972,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"68","dut",0.877401622975652,NA,TRUE,"0.999999999985569",NA,NA,NA,24
"69","slc12a1",0.521931284739796,NA,TRUE,"0.999999999985569",NA,NA,NA,24
