"","model","figure","anova_p.value","sum_of_squares","Df","f_value","covariate","covariate_p.value","covariate_sum_of_squares","covariate_Df","covariate_f_value","p.value_adjustment","p.value_adjusted","pairwise_test_statistic","m_i_p.value","m_i_statistic","m_f_p.value","m_f_statistic","i_f_p.value","i_f_statistic","i_ip_p.value","i_ip_statistic","i_li_p.value","i_li_statistic","i_lip_p.value","i_lip_statistic","i_nf_p.value","i_nf_statistic","i_nm_p.value","i_nm_statistic","ip_li_p.value","ip_li_statistic","ip_lip_p.value","ip_lip_statistic","ip_nf_p.value","ip_nf_statistic","ip_nm_p.value","ip_nm_statistic","li_lip_p.value","li_lip_statistic","li_nf_p.value","li_nf_statistic","li_nm_p.value","li_nm_statistic","lip_nf_p.value","lip_nf_statistic","lip_nm_p.value","lip_nm_statistic","nf_nm_p.value","nf_nm_statistic"
"1","lm(Behaviors_Day_2 ~ Phase)",NA,0.0457865955479785,698645.041666667,7,2.47918090658158,NA,NA,NA,NA,NA,"none",0.0457865955479785,"t.ratio",0.898900027660705,-0.128402952074223,NA,NA,NA,NA,0.0137865299924697,2.65738035961882,0.0635011700100237,1.94563754984957,0.334329977468466,-0.98525096374171,0.106255631107117,1.67834549028557,0.587318030749125,0.550124355149159,0.863285471135479,0.174050643437022,0.0109732054845056,-2.75683787015425,0.729647031584147,0.34965531047616,0.443844452610224,-0.778565824660249,0.0273357655133946,-2.34993871214779,0.849929736373208,0.191261284032543,0.435244362080021,-0.793530859283952,0.045473699547435,2.10997820789092,0.27163736452852,1.12518606457442,0.402171171147582,-0.85285501355941
"2","lm(Log10_Volume ~ Phase + length_final_cm)",NA,0.000981540668975841,1.06533380616045,5,6.83109440245776,"length_final_cm",0.0166323709376501,0.217406704033399,1,6.97023651362318,"none",0.000981540668975841,"t.ratio",0.0170086834579838,2.62951744463405,NA,NA,NA,NA,0.249167819424186,1.19088245323262,0.0128468953451507,-2.76171937464589,0.691676284601009,-0.403025385586946,NA,NA,0.106751612995915,-1.69787754610715,0.0062094063355676,-3.09777932467587,0.130898227383871,-1.58271438573012,NA,NA,0.0148571574264057,-2.69343976529145,0.117383627572708,1.64469342167766,NA,NA,0.857271091249172,0.182446925295175,NA,NA,0.20543576198714,-1.31373024230237,NA,NA
"3","lm(Percent_Ovarian ~ Phase)",NA,4.93840713511005e-07,0.869939998319985,5,20.3489341693791,NA,NA,NA,NA,NA,"none",4.93840713511005e-07,"t.ratio",2.87337860295151e-07,-7.71257986003228,NA,NA,NA,NA,0.188711459278307,-1.36334644237066,0.00600599261770161,3.09163828641819,0.0236289601818329,2.46038331250235,NA,NA,0.00692401409261713,3.02765811510866,0.000765254961876554,4.0005359146653,0.0032205171451798,3.36928094074946,NA,NA,0.00148775655441418,3.70933133629399,0.61858765475098,-0.506129964876428,NA,NA,0.543393824381669,0.618804312234578,NA,NA,0.315004170344428,1.03205769806125,NA,NA
"4","lm(Percent_Testicular ~ Phase)",NA,2.70248648799743e-07,1.22631372740842,5,21.9733853479998,NA,NA,NA,NA,NA,"none",2.70248648799743e-07,"t.ratio",7.99626291748166e-07,7.18240171313227,NA,NA,NA,NA,0.178856838582811,1.39585558974552,0.0101659218223517,2.85341862701742,0.0200282495337105,-2.53881690392229,NA,NA,0.00905694459800183,-2.90607524223797,0.0696190045914443,1.92284823385374,0.0025675856982598,-3.46938729708597,NA,NA,0.00189114354753929,-3.60400303711073,0.000366317270825592,-4.32340669404974,NA,NA,0.000304495221928025,-4.40463141115635,NA,NA,0.392721291348863,-0.874584627504693,NA,NA
"5","lm(Time_Day_2 ~ Phase)",NA,0.0171230243342537,571821.595238095,7,3.12678462527429,NA,NA,NA,NA,NA,"none",0.0171230243342537,"t.ratio",0.691297417396756,0.401923294652833,NA,NA,NA,NA,0.0069075240015484,2.95480116923047,0.173342866128435,1.40326875151293,0.614447815928239,-0.510379758012947,0.0194343942829942,2.50504967620826,0.990208012631019,-0.0124012360208331,0.576247817046867,-0.566598694640723,0.0205362342594554,-2.4802472041666,0.314361356353959,1.02764909159303,0.149301864812678,-1.48980182063607,0.138026442713534,-1.53433223171923,0.216985520569419,1.26793158194636,0.361895699601648,-0.929479725410876,0.0187672868769672,2.52070860315232,0.749270240533058,0.323297295795085,0.0691012470481306,-1.90301401473454
"6","lm(Behaviors_Day_2 ~ Phase)",NA,0.0457865955479785,698645.041666667,7,2.47918090658158,NA,NA,NA,NA,NA,"none",0.0457865955479785,"t.ratio",0.898900027660705,-0.128402952074223,NA,NA,NA,NA,0.0137865299924697,2.65738035961882,0.0635011700100237,1.94563754984957,0.334329977468466,-0.98525096374171,0.106255631107117,1.67834549028557,0.587318030749125,0.550124355149159,0.863285471135479,0.174050643437022,0.0109732054845056,-2.75683787015425,0.729647031584147,0.34965531047616,0.443844452610224,-0.778565824660249,0.0273357655133946,-2.34993871214779,0.849929736373208,0.191261284032543,0.435244362080021,-0.793530859283952,0.045473699547435,2.10997820789092,0.27163736452852,1.12518606457442,0.402171171147582,-0.85285501355941
