"","model","figure","anova_p.value","sum_of_squares","Df","f_value","p.value_adjustment","p.value_adjusted","pairwise_test_statistic","m_i_p.value","m_i_statistic","m_f_p.value","m_f_statistic","i_f_p.value","i_f_statistic","i_ip_p.value","i_ip_statistic","i_li_p.value","i_li_statistic","i_lip_p.value","i_lip_statistic","i_nf_p.value","i_nf_statistic","i_nm_p.value","i_nm_statistic","ip_li_p.value","ip_li_statistic","ip_lip_p.value","ip_lip_statistic","ip_nf_p.value","ip_nf_statistic","ip_nm_p.value","ip_nm_statistic","li_lip_p.value","li_lip_statistic","li_nf_p.value","li_nf_statistic","li_nm_p.value","li_nm_statistic","lip_nf_p.value","lip_nf_statistic","lip_nm_p.value","lip_nm_statistic","nf_nm_p.value","nf_nm_statistic"
"1","lm(Change_Mass ~ Phase)",NA,0.000411584021211357,7560.74794650102,5,9.467195818173,"none",0.000411584021211357,"t.ratio",NA,NA,NA,NA,NA,NA,0.00111437456615208,4.08497108317908,0.81912809379525,-0.233007088153085,0.0345802422301728,2.34055268656709,0.0017008290613442,-3.86952286353957,0.132568312938618,1.59707223408715,0.010414755604737,-2.95632114360581,0.707645174735097,-0.382761368885634,3.78840715323592e-05,-5.9120084051291,0.662831036827579,-0.44541330750239,0.0581253100184351,2.06343834458272,0.00610839303329131,-3.22505751644576,0.144266867162909,1.54657787946832,0.000230029300719559,-4.90984786975272,0.89204077480208,-0.138212473838636,0.00101591206975595,4.13235747045861
"2","lm(Change_Length ~ Phase)",NA,0.00527013691635011,284.713369125559,5,5.49355259939573,"none",0.00527013691635011,"t.ratio",NA,NA,NA,NA,NA,NA,0.00652765376573167,3.19168041332837,0.891261915602548,0.139216491319317,0.0520818476390344,2.12283801411541,0.0126054755198567,-2.85973590297667,0.329516369361955,1.01025366827043,0.0666612850285691,-1.98857045089959,0.996121171277496,-0.0049489281034997,0.000543550422749659,-4.45557610964086,0.567473733968284,-0.585586538393757,0.134057961277056,1.5904354550001,0.0215012002411673,-2.58732072858404,0.44231785969524,0.790683109307303,0.00164682043933113,-3.88590583977785,0.619429765343117,-0.507902001886508,0.0110710721414653,2.92543713769523
"3","lm(Log10_Testicular_Estimate ~ Phase)",NA,4.48219329364118e-15,73.3491260077339,5,169.415612662504,"none",4.48219329364118e-15,"t.ratio",NA,NA,NA,NA,NA,NA,0.000694943863412064,4.04273008082623,3.05899700239276e-16,25.7616905554108,0.496080844471942,-0.693999659320653,NA,NA,0.100277704633547,-1.72761389912618,2.34674638327424e-15,23.0665371681933,0.00307907539630316,-3.38915304653814,NA,NA,0.00135914060973043,-3.7489789395393,1.0902502042314e-14,-21.2117418673185,NA,NA,1.4805205232374e-13,-18.3729703265815,NA,NA,0.305256337112774,-1.05365561639442,NA,NA
"4","lm(Log10_Ovarian_Estimate ~ Phase)",NA,0.00821202465765373,0.925873571608047,5,4.36008490903049,"none",0.00821202465765373,"t.ratio",NA,NA,NA,NA,NA,NA,0.00293364973058901,3.41054370044358,0.146791509733685,-1.51278105200016,0.103497894610357,1.71026022813958,NA,NA,0.601263810191207,0.53145281934082,0.0012476925912821,-3.78647685229588,0.579727910398006,-0.56343557215614,NA,NA,0.254971962534865,-1.17381903088097,0.0181883417158457,2.58418204579547,NA,NA,0.16220121416527,1.45423772065548,NA,NA,0.519854807347646,-0.655738084231344,NA,NA
"5","lm(mass_final_cm ~ Phase)",NA,1.9459358610096e-06,226.895388541667,7,11.8328978274188,"none",1.9459358610096e-06,"t.ratio",0.0102230764149151,-2.78743136238634,NA,NA,NA,NA,0.0011964985523256,3.6736614062351,0.615634329681185,-0.508660810094084,0.0461857588041164,2.10246468172224,0.554726788813812,-0.599089398555261,0.100759846736508,1.70683960720462,0.00685921903766007,-2.95776841425082,0.73188050418308,-0.346642922434498,0.0226507757530777,-2.43592010167281,0.897656850713405,-0.129991095912934,0.0470427703628788,2.09355792519606,0.85096014619967,-0.189931431988529,0.0808088101122855,1.82284841869507,0.069607100090918,-1.89931431988526,0.910605308735994,0.113465530798345,0.0941128407231593,1.74311848291745
"6","lm(length_final_cm ~ Phase)",NA,7.94180654788312e-06,32.1274255952381,7,10.045924793091,"none",7.94180654788312e-06,"t.ratio",0.00266932727827481,-3.34938729603958,NA,NA,NA,NA,0.000217208654125004,4.34945343205878,0.705658477984484,-0.382224695544553,0.0252933846124481,2.38560930667466,0.829678285743551,-0.217472671602939,0.0754197176607769,1.85840283006148,0.00314812878408871,-3.28186031691707,0.61193431209071,-0.514026314697862,0.0249317737974279,-2.39219938763233,0.754491509237273,-0.316323885967911,0.0361786116281372,2.21920425852163,0.952337931658472,0.060399089648768,0.0733892988909972,1.87237177911193,0.0926185215726214,-1.75157359981439,0.952337931658465,0.0603990896487763,0.129689674800686,1.56921438003871
