"","cluster","anova_p.value","anova_statistic","anova_Df","pairwise_test_statistic","m_i_estimate","m_f_estimate","i_f_estimate","m_i_SE","m_f_SE","i_f_SE","m_i_df","m_f_df","i_f_df","m_i_z.ratio","m_f_z.ratio","i_f_z.ratio","m_i_p.value","m_f_p.value","i_f_p.value","anova_q.value","test"
"1","0",2.99276870725992e-05,"likelihood_ratio_chisq",2,"z.ratio",-0.0808630787723006,0.0926186599221108,0.173481738694411,0.0389704900472656,0.0384962896371856,0.0380812716864537,Inf,Inf,Inf,-2.07498234367147,2.40591134353492,4.55556579419911,0.0379881711878984,0.0161321791304695,5.22447588831853e-06,0.000299276870725992,"Neurons"
"2","3",0.112456303274495,"likelihood_ratio_chisq",2,"z.ratio",0.044143234582122,0.12260600220419,0.0784627676220681,0.0605653508259493,0.0595994470352311,0.0600469521041355,Inf,Inf,Inf,0.728852949419534,2.05716677424396,1.30669026274631,0.466091618274854,0.0396701863803123,0.191317927015235,0.160651861820707,"Neurons"
"3","4",0.00591377134504777,"likelihood_ratio_chisq",2,"z.ratio",0.138053327153547,-0.0678445181053232,-0.205897845258871,0.0677427195273015,0.0615068011046386,0.0650098321100269,Inf,Inf,Inf,2.0379064808272,-1.10304091396174,-3.16718007993615,0.0415592863513358,0.270009397972214,0.00153924968819729,0.0168964895572794,"Neurons"
"4","5",0.636747421265258,"likelihood_ratio_chisq",2,"z.ratio",0.0397171162050447,-0.027451414291694,-0.0671685304967388,0.0736078839020741,0.070336059624008,0.0708757366493646,Inf,Inf,Inf,0.539576932518306,-0.390289340040368,-0.947694283997836,0.589488828319771,0.696322604956042,0.343285111706347,0.670260443437114,"Neurons"
"5","6",0.0180310893618083,"likelihood_ratio_chisq",2,"z.ratio",-0.0520826550183789,-0.199498013474459,-0.14741535845608,0.0789812859117162,0.0744570261744067,0.0733296535426565,Inf,Inf,Inf,-0.659430324755612,-2.67937122558667,-2.01031030878016,0.509619474388894,0.00737605686062675,0.0443983564975642,0.0439486537827071,"Neurons"
"6","7",1.37194697287356e-11,"likelihood_ratio_chisq",2,"z.ratio",0.138412650045144,-0.3597269176014,-0.498139567646544,0.0832339142748903,0.0730098567603241,0.0757698458678999,Inf,Inf,Inf,1.66293573059677,-4.92710071713066,-6.57437747088755,0.0963253011474019,8.34587403394285e-07,4.88571434576183e-11,2.74389394574712e-10,"Neurons"
"7","8",0.106447619571215,"likelihood_ratio_chisq",2,"z.ratio",-0.052082655019097,-0.154115889645194,-0.102033234626097,0.0789812652751515,0.075094827286051,0.0739771530115036,Inf,Inf,Inf,-0.659430497063496,-2.05228369536208,-1.37925332987917,0.50961936377261,0.0401420996279973,0.16781666046467,0.160651861820707,"Neurons"
"8","9",0.000222518178073571,"likelihood_ratio_chisq",2,"z.ratio",0.0622893089158069,0.319880564450063,0.257591255534256,0.0805716757540726,0.0828544080487093,0.0838141065928696,Inf,Inf,Inf,0.773091887848174,3.86075493125252,3.07336397183729,0.439468001674045,0.000113037234759877,0.00211660159336567,0.00111259089036786,"Neurons"
"9","10",0.176120147210176,"likelihood_ratio_chisq",2,"z.ratio",0.119395833773419,-0.0234750305569378,-0.142870864330357,0.0838514627180996,0.078670415293896,0.080907456854038,Inf,Inf,Inf,1.42389685168422,-0.298397186149838,-1.76585533504167,0.154476333329549,0.765400036428347,0.0774201222123226,0.234826862946901,"Neurons"
"10","12",0.088746471994197,"likelihood_ratio_chisq",2,"z.ratio",0.19906384728844,0.0942480082650023,-0.104815839023438,0.0906379185679384,0.0855032828292407,0.0896358613444776,Inf,Inf,Inf,2.1962535154559,1.1022735636154,-1.16935161275042,0.02807380288325,0.270342758853744,0.2422619964118,0.147910786656995,"Neurons"
