"","cluster","anova_p.value","anova_statistic","anova_Df","pairwise_test_statistic","m_i_estimate","m_f_estimate","i_f_estimate","m_i_SE","m_f_SE","i_f_SE","m_i_df","m_f_df","i_f_df","m_i_z.ratio","m_f_z.ratio","i_f_z.ratio","m_i_p.value","m_f_p.value","i_f_p.value","anova_q.value","test"
"11","14",0.00515362767399619,"likelihood_ratio_chisq",2,"z.ratio",-0.338232445880656,-0.242811918739413,0.0954205271412429,0.107357515625534,0.106479059950852,0.0973394962412372,Inf,Inf,Inf,-3.15052415203441,-2.28037248686727,0.98028581229516,0.00162977781019207,0.02258560596913,0.326945056039836,0.0168964895572794,"Neurons"
"12","16",0.928518204723539,"likelihood_ratio_chisq",2,"z.ratio",-0.0329246221190863,0.00389287446490748,0.0368174965839938,0.106776962508698,0.104392377927699,0.103353230973558,Inf,Inf,Inf,-0.308349491739889,0.03729079212664,0.356229759216847,0.757816410418371,0.970253147206444,0.72166850718266,0.928518204723539,"Neurons"
"13","17",0.0222334680200573,"likelihood_ratio_chisq",2,"z.ratio",-0.293839083572746,-0.119867726965204,0.173971356607542,0.108308599210084,0.109128119930319,0.10124844775956,Inf,Inf,Inf,-2.71298018546792,-1.09841282926658,1.71826196309381,0.00666810936224754,0.272024262825889,0.0857488439658506,0.0443756698627685,"Neurons"
"14","18",0.0197768942022182,"likelihood_ratio_chisq",2,"z.ratio",-0.258073176885772,-0.296579164182241,-0.0385059872964684,0.117213879678525,0.113237287090799,0.105331640749825,Inf,Inf,Inf,-2.20172881909184,-2.61909457389623,-0.36556904480321,0.0276844697451275,0.00881635014054627,0.714686677204725,0.0439486537827071,"Neurons"
"15","19",0.0244066184245227,"likelihood_ratio_chisq",2,"z.ratio",0.229042583774645,-0.0693523025753189,-0.298394886349964,0.118272813654809,0.106629718006798,0.113340751839626,Inf,Inf,Inf,1.93656155372383,-0.650403132182131,-2.63272372475686,0.0527989614326833,0.515431854628781,0.00847032166583318,0.0443756698627685,"Neurons"
"16","21",0.207451669779724,"likelihood_ratio_chisq",2,"z.ratio",-0.168454261239869,0.0605953079029924,0.229049569142861,0.136188686788813,0.139172313202159,0.133417921490795,Inf,Inf,Inf,-1.23691817001724,0.435397720342357,1.71678262248047,0.216117463659729,0.663273764784075,0.0860188972121291,0.259314587224655,"Neurons"
"17","22",0.00342943696763196,"likelihood_ratio_chisq",2,"z.ratio",-0.110511365115966,0.367663497373211,0.478174862489177,0.125262912267777,0.150880614674796,0.147920706604252,Inf,Inf,Inf,-0.882235317024429,2.43678419633738,3.2326431739438,0.377649567086002,0.0148185199753403,0.00122650657842622,0.0137177478705278,"Neurons"
"18","23",0.295991295169157,"likelihood_ratio_chisq",2,"z.ratio",0.235665834764769,0.0977207436359765,-0.137945091128792,0.151892936436576,0.141786534981997,0.150529434472658,Inf,Inf,Inf,1.55152596489022,0.689210323451266,-0.916399451124282,0.120775689907855,0.490690921225566,0.359457423112328,0.348225053140184,"Neurons"
"19","24",0.000115228660335451,"likelihood_ratio_chisq",2,"z.ratio",-0.178102471001601,0.489306990821776,0.667409461823377,0.147922366208237,0.169478068343518,0.163588655278717,Inf,Inf,Inf,-1.20402664970136,2.88714047548614,4.07980284871385,0.228579278353171,0.00388760618206905,4.50739123153392e-05,0.00076819106890301,"Neurons"
"20","25",0.426782087512267,"likelihood_ratio_chisq",2,"z.ratio",0.146231190534741,0.2397316827358,0.0935004922010596,0.186971522643802,0.185143434743039,0.19148451587349,Inf,Inf,Inf,0.782104079097245,1.29484301222198,0.488292704893347,0.434153409692735,0.195374390734811,0.625342527989127,0.474202319458074,"Neurons"
"21","0",1.12863686955326e-05,"likelihood_ratio_chisq",2,"z.ratio",-0.0103973661509525,0.143619391567648,0.1540167577186,0.0370633123019697,0.0367680164451739,0.0361788424778527,Inf,Inf,Inf,-0.280529869166604,3.90609571723304,4.25709467661614,0.779071012769788,9.37993690440001e-05,2.0710066718747e-05,0.000101577318259794,"All Cells"
"22","1",0.000956184230030055,"likelihood_ratio_chisq",2,"z.ratio",-0.152544832589047,0.00577744887369641,0.158322281462744,0.0494928752634177,0.0494782906508739,0.0472356015307464,Inf,Inf,Inf,-3.08215741714646,0.116767349835566,3.35175749502606,0.00205506128565277,0.90704441777118,0.000803003246642579,0.00430282903513525,"All Cells"
"23","2",9.60960844911556e-15,"likelihood_ratio_chisq",2,"z.ratio",-0.204823221285978,-0.435394979470534,-0.230571758184556,0.0592010713990609,0.0555200218665428,0.0517345722730845,Inf,Inf,Inf,-3.45978909579712,-7.84212550414915,-4.45682158088535,0.000540598625144979,4.4298328005835e-15,8.31837794183354e-06,2.5945942812612e-13,"All Cells"
"24","3",0.0150417328169436,"likelihood_ratio_chisq",2,"z.ratio",0.0963196500984547,0.170438754204808,0.0741191041063531,0.0597566703471678,0.0588369946418104,0.0592414358870838,Inf,Inf,Inf,1.61186440842281,2.89679571912892,1.25113618528131,0.106991448663558,0.00376995149650503,0.210884795609518,0.0375014927194203,"All Cells"
"25","4",0.00536101781249523,"likelihood_ratio_chisq",2,"z.ratio",0.176587736211424,-0.0155012603521557,-0.19208899656358,0.0670207960388519,0.0607763864850106,0.0642565589458167,Inf,Inf,Inf,2.63482003569543,-0.255053997920374,-2.9894068358929,0.00841819029166396,0.798681393656925,0.00279519675212354,0.0180934351171714,"All Cells"
"26","5",0.426290844710824,"likelihood_ratio_chisq",2,"z.ratio",0.0910826153814062,0.0229285578998033,-0.068154057481603,0.0729824297616599,0.0697229829450792,0.0702272011652084,Inf,Inf,Inf,1.2480074406793,0.328852222485433,-0.970479477336305,0.212028332342124,0.742267388436954,0.331807549683862,0.479577200299678,"All Cells"
"27","6",0.0615292950605626,"likelihood_ratio_chisq",2,"z.ratio",0.00037676135075358,-0.146735260857297,-0.147112022208051,0.0784074658832303,0.073884896910148,0.072707617991222,Inf,Inf,Inf,0.00480517188649712,-1.98599804552401,-2.02333711751926,0.996166042293906,0.0470335409321612,0.0430384025503208,0.108812020065246,"All Cells"
"28","7",7.24063545510554e-11,"likelihood_ratio_chisq",2,"z.ratio",0.188118132406832,-0.303957031808347,-0.492075164215179,0.0826949409807274,0.0724221287352414,0.0751689085825206,Inf,Inf,Inf,2.27484450893645,-4.19701874436119,-6.54625926455987,0.0229152591443137,2.70451557175569e-05,5.89961258197276e-11,9.77485786439247e-10,"All Cells"
"29","8",0.266226066813537,"likelihood_ratio_chisq",2,"z.ratio",0.000376761347179239,-0.10216253912611,-0.10253930047329,0.0784074174733664,0.0745289215881072,0.0733619267212062,Inf,Inf,Inf,0.00480517480769237,-1.37077710168307,-1.39771820419827,0.996166039963157,0.17044445116296,0.162197705439024,0.34229065733169,"All Cells"
"30","9",3.1066297298011e-05,"likelihood_ratio_chisq",2,"z.ratio",0.113046197993918,0.365199746728852,0.252153548734935,0.0800115991757924,0.0823510485549115,0.0832835414956396,Inf,Inf,Inf,1.4128726229499,4.43467026998859,3.02765161287163,0.157693180056234,9.2213314541846e-06,0.00246462045969085,0.000209697506761574,"All Cells"
"31","10",0.0879162398510453,"likelihood_ratio_chisq",2,"z.ratio",0.169343131460194,0.0262430663732964,-0.143100065086897,0.0833173308710262,0.0781358786119861,0.0803549330380846,Inf,Inf,Inf,2.03250787909101,0.335864481714175,-1.78084978328679,0.0421022669511879,0.736973062212652,0.0749369940888313,0.131874359776568,"All Cells"
"32","11",0.0078384712635023,"likelihood_ratio_chisq",2,"z.ratio",-0.185817441601574,-0.261063697618164,-0.0752462560165895,0.0891306071408624,0.0855286837975533,0.0800014992945624,Inf,Inf,Inf,-2.08477702062444,-3.05235256789526,-0.94056057299046,0.0370895455341048,0.00227055238747001,0.346930094676459,0.0235154137905069,"All Cells"
"33","12",0.021287953145502,"likelihood_ratio_chisq",2,"z.ratio",0.248120639806543,0.142280626515853,-0.10584001329069,0.0901499653435241,0.0850187225879147,0.0891454086073626,Inf,Inf,Inf,2.75230987456355,1.67352110435118,-1.18727385901452,0.00591764967473713,0.0942247554666461,0.23511961577631,0.0478978945773795,"All Cells"
"34","13",0.521339718449725,"likelihood_ratio_chisq",2,"z.ratio",0.0188928115158527,0.0933502735312317,0.074457462015379,0.0887070497082577,0.0874987881880945,0.0866237358222337,Inf,Inf,Inf,0.212979820408726,1.06687504437842,0.85955034504836,0.831342702569389,0.286028265293674,0.390036956645967,0.541391246082407,"All Cells"
"35","14",0.025243552388972,"likelihood_ratio_chisq",2,"z.ratio",-0.284865192793784,-0.192480743925551,0.092384448868233,0.106953990012906,0.106100334985715,0.0968931149736085,Inf,Inf,Inf,-2.66343679893953,-1.81413888986746,0.95346763176513,0.00773469399596494,0.0696563455501237,0.34035318862553,0.0524289165001727,"All Cells"
"36","15",0.413230222503204,"likelihood_ratio_chisq",2,"z.ratio",-0.0395995729715824,0.0953675702341811,0.134967143205764,0.107052169254981,0.10712315764976,0.104566253035462,Inf,Inf,Inf,-0.36990911297895,0.890261007297655,1.29073328428429,0.711450211151356,0.373325753230502,0.196796178902985,0.479577200299678,"All Cells"
"37","16",0.875174886616724,"likelihood_ratio_chisq",2,"z.ratio",0.0180893385729753,0.0524519805827895,0.0343626420098141,0.106371419838905,0.104005675867225,0.102935347743391,Inf,Inf,Inf,0.170058260013554,0.504318443637157,0.333827424331215,0.864964318986599,0.614037618811117,0.738509787775579,0.875174886616724,"All Cells"
"38","17",0.0644811970757016,"likelihood_ratio_chisq",2,"z.ratio",-0.240888998806736,-0.07054269997361,0.170346298833126,0.10790881156318,0.108759704226137,0.100820746817026,Inf,Inf,Inf,-2.23233853952414,-0.648610627212953,1.68959568552173,0.0255925965361483,0.516590084703515,0.0911053319288682,0.108812020065246,"All Cells"
"39","18",0.0712942595196172,"likelihood_ratio_chisq",2,"z.ratio",-0.205849337068539,-0.246212791182881,-0.0403634541143418,0.116847373491172,0.112883109746153,0.104922389607682,Inf,Inf,Inf,-1.76169417350311,-2.18113047856809,-0.384698197069907,0.0781209828124588,0.0291737670908898,0.700461031125748,0.113232059237039,"All Cells"
"40","19",0.0152783859227268,"likelihood_ratio_chisq",2,"z.ratio",0.278203891637464,-0.0203089540603871,-0.298512845697851,0.117909940412619,0.106251894802033,0.112962488318281,Inf,Inf,Inf,2.3594608789039,-0.191139688362513,-2.64258383594355,0.0183015104363544,0.848416153998704,0.00822760937080216,0.0375014927194203,"All Cells"
"41","20",0.471056621911529,"likelihood_ratio_chisq",2,"z.ratio",-0.162906512926015,-0.0805935410938829,0.0823129718321317,0.133228231147535,0.131858388525191,0.124435005152394,Inf,Inf,Inf,-1.22276270969637,-0.611212847322835,0.661493698909917,0.22141933377636,0.541058679215256,0.508295754203782,0.508741151664451,"All Cells"
"42","21",0.236513249136327,"likelihood_ratio_chisq",2,"z.ratio",-0.117321933188792,0.108498249627086,0.225820182815878,0.135876636069103,0.138888541651109,0.133100279153336,Inf,Inf,Inf,-0.86344449335002,0.781189350375903,1.69661689856957,0.38789312530678,0.43469113636254,0.089769112873421,0.319292886334041,"All Cells"
"43","22",0.00265796809826067,"likelihood_ratio_chisq",2,"z.ratio",-0.0594358502198767,0.412633501490818,0.472069351710695,0.12492205324093,0.15056693685025,0.147581595683504,Inf,Inf,Inf,-0.475783488006287,2.74053195291616,3.1987006884183,0.634228634605548,0.00613398173808006,0.00138048411827308,0.0102521626647197,"All Cells"
"44","23",0.168222235737084,"likelihood_ratio_chisq",2,"z.ratio",0.285032209013503,0.145467160673144,-0.139565048340359,0.151614897736843,0.14150832461002,0.150249938113119,Inf,Inf,Inf,1.8799749448648,1.02797599416172,-0.928885895681932,0.0601114926953463,0.303961120046613,0.352948223181084,0.239052650784277,"All Cells"
"45","24",8.50805046664619e-05,"likelihood_ratio_chisq",2,"z.ratio",-0.127150871871903,0.535926892954551,0.663077764826454,0.147636822271415,0.169246621987136,0.163331736128224,Inf,Inf,Inf,-0.861240914804773,3.1665441038775,4.05969948366863,0.389105370020395,0.00154261951707161,4.91359141518763e-05,0.000459434725198894,"All Cells"
"46","25",0.285936433511735,"likelihood_ratio_chisq",2,"z.ratio",0.19593839146746,0.287099604712474,0.091161213245014,0.18674777974965,0.184932760839688,0.191266955136493,Inf,Inf,Inf,1.04921403472711,1.55245400224869,0.476617684324819,0.294079620622565,0.120553630659154,0.633634388296932,0.350921986582584,"All Cells"
"47","26",0.0400392337908858,"likelihood_ratio_chisq",2,"z.ratio",-0.481126546378103,0.49853061833771,0.979657164715812,0.39602653539373,0.486197467378607,0.413129341837026,Inf,Inf,Inf,-1.2148846185263,1.02536654710605,2.37130860848483,0.224410101080874,0.30519026658405,0.0177252241507551,0.077218522310994,"All Cells"
