"","cluster","gene","KT_estimate","KT_summary_p.value","KT_anova_p.value","m_d_estimate","m_d_p.value","status_anova_p.value","interaction_estimate","interaction_summary_p.value","interaction_anova_p.value","KT_summary_q.value","KT_anova_q.value","m_d_q.value","status_anova_q.value","interaction_summary_q.value","interaction_anova_q.value"
"3998",31,"dctn3",-0.00384950921521241,0.961560232173899,0.911916191855363,-0.694300311043699,0.10416400675699,0.221600979595337,-0.59880608477097,0.306361159720224,0.115392720716858,0.99874646896011,0.991418367413812,0.663610410656842,0.99964938658493,0.999247367358334,0.765003700927798
"3999",31,"bbs9",-0.00371050695224185,0.974014724809657,0.967263369482548,-0.20876981503182,0.714164467147548,0.1047923924051,0.538335744058347,0.512243170721467,0.655770147971672,0.99874646896011,0.996910133693555,0.956561594762012,0.99964938658493,0.999247367358334,0.978997891293003
"4000",31,"bmper",0.15144590813991,0.436825870795211,0.659486823518559,0.119258445351051,0.900758918880309,0.622034577632321,-0.387868535136864,0.777078247639742,0.95575282742109,0.961844128791517,0.953873315373301,0.98228255543069,0.99964938658493,0.999247367358334,0.996971424139832
"4001",31,"sh3bp5b",0.0385907293492581,0.89192456441784,0.144542700126392,3.26226624387561,0.0397671659530146,0.742781361288909,0.614031230439503,0.762202538603452,0.093553712906885,0.99874646896011,0.840900198203591,0.554057419950201,0.99964938658493,0.999247367358334,0.733527019430825
"4002",31,"capn7",-0.0163890042270447,0.882691689848085,0.256555062788329,0.396697606547169,0.47934310580123,0.918451358517898,-0.0413719698081292,0.958320073313476,0.735397444253387,0.99874646896011,0.877260316911062,0.907208493783701,0.99964938658493,0.999247367358334,0.986911262011607
"4003",31,"nes",0.0639045916653688,0.345141650030043,0.913533057765926,0.129621849528084,0.695399500390815,0.912877719443081,0.722303035094264,0.147374247550722,0.32729579362149,0.95626074822141,0.991418367413812,0.95105135815309,0.99964938658493,0.999247367358334,0.880879545356957
"4004",31,"mef2d",-0.861200123524475,0.00849691143951978,0.91974684840776,-5.85506410699599,0.0012311094298445,0.205371719945582,-2.84404088636872,0.161418846011023,0.00658278091325803,0.550522111764442,0.992109548916909,0.305099694451213,0.99964938658493,0.999247367358334,0.52647644230964
"4005",31,"LOC111580561",-0.154883483865953,0.674216437367733,0.733849536360875,0.60936319473101,0.739702152118532,0.971667886882883,-2.46026982865141,0.357539718627179,0.532606696667675,0.975885175994834,0.966345703233974,0.963556824435086,0.99964938658493,0.999247367358334,0.955514942717887
"4006",31,"mettl25b",0.0464610837842802,0.471524782411595,0.817162735266397,-0.168141152610101,0.598976479176813,0.875718033926555,0.668995252756585,0.161737458936847,0.233145957525563,0.961844128791517,0.979019953650905,0.932951341083346,0.99964938658493,0.999247367358334,0.840151502814044
"4007",31,"plekhf2",0.0851562844106885,0.330254175970446,0.150375716174233,-0.132628833926919,0.755819333188945,0.00384275183583677,-0.554389037183766,0.372165725752988,0.819359445438772,0.946969675260835,0.841713424299925,0.964898525422023,0.684293648866305,0.999247367358334,0.991653263419044
"4008",31,"nagpa",-0.0230460112253416,0.747914906585422,0.271084430077458,-0.152927765182058,0.669515807792089,0.426203937048685,0.557585547956754,0.288481233291812,0.510726267245101,0.986522830794676,0.880914119992619,0.944429461995003,0.99964938658493,0.999247367358334,0.947997711520771
"4009",31,"tp53inp1",-0.0987383682133021,0.542284947631923,0.765010939455935,-1.25627225323442,0.13854936249704,0.836966776175435,0.133020980723829,0.907490380692849,0.264973227720342,0.967693398021516,0.972307691816016,0.707597842992207,0.99964938658493,0.999247367358334,0.849783114329263
"4010",31,"si:dkey-22o22.2",0.162421201999578,0.497308725012508,0.297991737563473,0.866406533405272,0.468545397584557,0.156218046206333,-0.115141018005265,0.945559820055297,0.833292151729203,0.961844128791517,0.885884366366867,0.905990922460218,0.99964938658493,0.999247367358334,0.99248168930573
"4011",31,"mag",0.0949060640247793,0.235903549223677,0.18242256323091,0.216341964587088,0.577021151320067,0.491652340987507,-0.185076057007976,0.737336211751116,0.853409343486744,0.938596975391804,0.851329464946987,0.930061468552432,0.99964938658493,0.999247367358334,0.993834817354317
"4012",31,"ethe1",-0.0866362410106198,0.19134120185389,0.145090721568726,0.2210195371523,0.489780566257374,0.207688263406999,0.178661274229209,0.693800048017471,0.498309595690368,0.938426156350382,0.840900198203591,0.911510245256477,0.99964938658493,0.999247367358334,0.943419217356497
"4013",31,"drd2l",-0.28555696349892,0.156415645055931,0.687570935187045,-1.90492976267116,0.0674939143568729,0.496420871113119,-1.61098261475427,0.25323404587556,0.172268968609928,0.926192662179667,0.956975753894627,0.608427651584329,0.99964938658493,0.999247367358334,0.812761635446098
"4014",31,"xrcc1",0.0317404245343641,0.760997137129161,0.355945987312934,-0.766054879891725,0.1612026836748,0.7907579187957,0.176677152182134,0.812148407016827,0.249264301409285,0.988362951781817,0.906374677529539,0.724612059472614,0.99964938658493,0.999247367358334,0.844236525318443
"4015",31,"LOC111572526",-0.0587945932961109,0.687139929673752,0.515524628102424,-0.199769085435277,0.78328101236616,0.666590250521409,0.314299502242705,0.762292302042527,0.943092251447176,0.978873830772843,0.924269674718853,0.96772778772208,0.99964938658493,0.999247367358334,0.996971424139832
"4016",31,"iglon5",-0.280282071507198,0.0956471708086617,0.00983873147182362,-1.16445891520286,0.156332415857522,0.00159195718187436,-1.58261687552681,0.175862956668337,0.496880318448168,0.857434767501751,0.724077032425191,0.718953651760618,0.684293648866305,0.999247367358334,0.942166477659017
"4017",31,"LOC111578592",-0.282717141179222,0.23928050410543,0.521991761918932,-2.13783808939378,0.0869575427714018,0.891149908011431,-0.374692378970537,0.820782692297168,0.229003017483583,0.940091887996431,0.927006772851763,0.646184498870244,0.99964938658493,0.999247367358334,0.840151502814044
"4018",31,"ago1",-0.156394900964113,0.275010564686385,0.888454186147975,-1.02483092256698,0.160075511306471,0.13805579763158,-0.139323608297072,0.888154304641386,0.474279224878725,0.946787002651744,0.989630725840611,0.724054268171398,0.99964938658493,0.999247367358334,0.933180106816849
"4019",31,"LOC111578587",0.0160966480390044,0.956570090039902,0.384603859900751,-0.220502421811758,0.881134747218061,0.112063317579172,1.13184116733156,0.593990759845443,0.897969864642029,0.99874646896011,0.90880208086218,0.980441085716757,0.99964938658493,0.999247367358334,0.996336668923172
