Barcode,Anatomical
cellid_000000007-1,Dl-v2
cellid_000000008-1,Dl-v2
cellid_000000009-1,Dl-v2
cellid_000000010-1,Dl-v2
cellid_000000011-1,Dl-v2
cellid_000000012-1,Dl-v2
cellid_000000013-1,Dl-v2
cellid_000000014-1,Dl-v2
cellid_000000015-1,Dl-v2
cellid_000000016-1,Dl-v2
cellid_000000017-1,Dl-v2
cellid_000000018-1,Dl-v2
cellid_000000019-1,Dl-v2
cellid_000000020-1,Dl-v2
cellid_000000021-1,Dl-v2
cellid_000000022-1,Dl-v2
cellid_000000023-1,Dl-v2
cellid_000000024-1,Dl-v2
cellid_000000025-1,Dl-v2
cellid_000000026-1,Dl-v2
cellid_000000027-1,Dl-v2
cellid_000000028-1,Dl-v2
cellid_000000029-1,Dl-v2
cellid_000000030-1,Dl-v2
cellid_000000031-1,Dl-v2
cellid_000000032-1,Dl-v2
cellid_000000033-1,Dl-v2
cellid_000000034-1,Dl-v2
cellid_000000035-1,Dl-v2
cellid_000000036-1,Dl-v2
cellid_000000037-1,Dl-v2
cellid_000000038-1,Dl-v2
cellid_000000039-1,Dl-v2
cellid_000000040-1,Dl-v2
cellid_000000041-1,Dl-v2
cellid_000000042-1,Dl-v2
cellid_000000043-1,Dl-v2
cellid_000000044-1,Dl-v2
cellid_000000045-1,Dl-v2
cellid_000000046-1,Dl-v2
cellid_000000047-1,Dl-v2
cellid_000000048-1,Dl-v2
cellid_000000049-1,Dl-v2
cellid_000000050-1,Dl-v2
cellid_000000051-1,Dl-v2
cellid_000000052-1,Dl-v2
cellid_000000053-1,Dl-v2
cellid_000000054-1,Dl-v2
cellid_000000055-1,Dl-v2
cellid_000000056-1,Dl-v2
cellid_000000057-1,Dl-v2
cellid_000000058-1,Dl-v2
cellid_000000059-1,Dl-v2
cellid_000000060-1,Dl-v2
cellid_000000061-1,Dl-v2
cellid_000000062-1,Dl-v2
cellid_000000063-1,Dl-v2
cellid_000000064-1,Dl-v2
cellid_000000065-1,Dl-v2
cellid_000000066-1,Dl-v2
cellid_000000067-1,Dl-v2
cellid_000000068-1,Dl-v2
cellid_000000069-1,Dl-v2
cellid_000000070-1,Dl-v2
cellid_000000071-1,Dl-v2
cellid_000000072-1,Dl-v2
cellid_000000073-1,Dl-v2
cellid_000000074-1,Dl-v2
cellid_000000075-1,Dl-v2
cellid_000000076-1,Dl-v2
cellid_000000077-1,Dl-v2
cellid_000000078-1,Dl-v2
cellid_000000079-1,Dl-v2
cellid_000000080-1,Dl-v2
cellid_000000081-1,Dl-v2
cellid_000000082-1,Dl-v2
cellid_000000083-1,Dl-v2
cellid_000000084-1,Dl-v2
cellid_000000085-1,Dl-v2
cellid_000000086-1,Dl-v2
cellid_000000087-1,Dl-v2
cellid_000000088-1,Dl-v2
cellid_000000089-1,Dl-v2
cellid_000000090-1,Dl-v2
cellid_000000091-1,Dl-v2
cellid_000000092-1,Dl-v2
cellid_000000093-1,Dl-v2
cellid_000000094-1,Dl-v2
cellid_000000095-1,Dl-v2
cellid_000000096-1,Dl-v2
cellid_000000097-1,Dl-v2
cellid_000000098-1,Dl-v2
cellid_000000099-1,Dl-v2
cellid_000000100-1,Dl-v2
cellid_000000101-1,Dl-v2
cellid_000000102-1,Dl-v2
cellid_000000103-1,Dl-v2
cellid_000000104-1,Dl-v2
cellid_000000105-1,Dl-v2
cellid_000000106-1,Dl-v2
cellid_000000107-1,Dl-v2
cellid_000000108-1,Dl-v2
cellid_000000109-1,Dl-v2
cellid_000000110-1,Dl-v2
cellid_000000111-1,Dl-v2
cellid_000000112-1,Dl-v2
cellid_000000113-1,Dl-v2
cellid_000000114-1,Dl-v2
cellid_000000115-1,Dl-v2
cellid_000000116-1,Dl-v2
cellid_000000117-1,Dl-v2
cellid_000000118-1,Dl-v2
cellid_000000119-1,Dl-v2
cellid_000000120-1,Dl-v2
cellid_000000121-1,Dl-v2
cellid_000000122-1,Dl-v2
cellid_000000123-1,Dl-v2
cellid_000000124-1,Dl-v2
cellid_000000125-1,Dl-v2
cellid_000000126-1,Dl-v2
cellid_000000127-1,Dl-v2
cellid_000000128-1,Dl-v2
cellid_000000129-1,Dl-v2
cellid_000000130-1,Dl-v2
cellid_000000131-1,Dl-v2
cellid_000000132-1,Dl-v2
cellid_000000133-1,Dl-v2
cellid_000000134-1,Dl-v2
cellid_000000135-1,Dl-v2
cellid_000000136-1,Dl-v2
cellid_000000137-1,Dl-v2
cellid_000000138-1,Dl-v2
cellid_000000139-1,Dl-v2
cellid_000000140-1,Dl-v2
cellid_000000141-1,Dl-v2
cellid_000000142-1,Dl-v2
cellid_000000143-1,Dl-v2
cellid_000000144-1,Dl-v2
cellid_000000145-1,Dl-v2
cellid_000000146-1,Dl-v2
